ticker,publish_date,publish_time,title,url,sentiment,importance,summary,translate
NVDA,2025-06-09,05:04,Taiwan May exports hit record on AI demand and ahead of US tariffs By Reuters,https://www.investing.com/news/economic-indicators/taiwan-may-exports-hit-record-on-ai-demand-and-ahead-of-us-tariffs-4086199,Positive,5,"Taiwan's May exports hit a record $51.74 billion, surging 38.6% year-on-year, driven by booming demand for artificial intelligence and customers ordering ahead of potential US tariffs. This growth, the fastest in nearly 15 years and exceeding expectations, highlights strong performance in key sectors like semiconductors.",ยอดส่งออกเดือนพฤษภาคมของไต้หวันทำสถิติสูงสุดที่ $51.74 billion เพิ่มขึ้น 38.6% เมื่อเทียบเป็นรายปี โดยได้แรงหนุนจากความต้องการที่เฟื่องฟูสำหรับ artificial intelligence และลูกค้าที่สั่งซื้อล่วงหน้าก่อนที่อาจจะมีการเก็บภาษีของ US การเติบโตนี้ ซึ่งเร็วที่สุดในรอบเกือบ 15 ปี และเกินความคาดหมาย แสดงให้เห็นถึงผลการดำเนินงานที่แข็งแกร่งในภาคส่วนหลัก เช่น semiconductors
NVDA,2025-06-08,04:00,UBS addresses 5 most frequently asked questions on Nvidia By Investing.com,https://www.investing.com/news/pro/ubs-addresses-5-most-frequently-asked-questions-on-nvidia-432SI-4085888,Neutral,1,"The provided text is a standard risk disclosure and legal disclaimer from Investing.com/Fusion Media. It warns users about the high risks of trading, the potential inaccuracy of data, and outlines usage restrictions and compensation models.","ข้อความที่ให้มานี้เป็นข้อความเปิดเผยความเสี่ยงและข้อจำกัดความรับผิดชอบทางกฎหมายมาตรฐานจาก Investing.com/Fusion Media โดยเตือนผู้ใช้เกี่ยวกับความเสี่ยงสูงของการ trading, ความไม่ถูกต้องที่อาจเกิดขึ้นของ data, และสรุปข้อจำกัดในการใช้งานและ compensation models"
NVDA,2025-06-08,01:58,"Meta in talks over Scale AI investment that could exceed $10 billion, Bloomberg reports By Reuters",https://www.investing.com/news/stock-market-news/meta-in-talks-for-scale-ai-investment-that-could-top-10-billion-bloomberg-news-reports-4085884,Neutral,2,"Meta Platforms is reportedly in talks to make a significant investment exceeding $10 billion in the artificial intelligence startup Scale AI. The terms of the potential deal are not yet finalized. Scale AI, a data labeling company valued at nearly $14 billion, is already backed by tech giants including Nvidia.",มีรายงานว่า Meta Platforms กำลังเจรจาเพื่อลงทุนครั้งใหญ่กว่า $10 billion ใน startup ด้านปัญญาประดิษฐ์ Scale AI โดยเงื่อนไขของข้อตกลงที่อาจเกิดขึ้นยังไม่ได้ข้อสรุป Scale AI ซึ่งเป็นบริษัท data labeling ที่มีมูลค่าเกือบ $14 billion ได้รับการสนับสนุนจากบริษัทยักษ์ใหญ่ด้านเทคโนโลยีรวมถึง Nvidia อยู่แล้ว
NVDA,2025-06-07,04:00,Here’s a closer look at the largest AI construction site in the world By Investing.com,https://www.investing.com/news/stock-market-news/heres-a-closer-look-at-the-largest-ai-construction-site-in-the-world-4075691,Positive,5,"A massive AI data center project in West Texas, potentially the world's largest, is being developed by Crusoe Energy and leased by Oracle to support OpenAI, planning to house 400,000 Nvidia GPUs. Despite facing construction delays and supply chain challenges, the project is progressing and represents significant revenue potential for Oracle and an estimated $20 billion in GPU revenue for Nvidia.","โครงการศูนย์ข้อมูล AI ขนาดใหญ่ใน West Texas ซึ่งอาจเป็นโครงการที่ใหญ่ที่สุดในโลก กำลังถูกพัฒนาโดย Crusoe Energy และให้เช่าโดย Oracle เพื่อสนับสนุน OpenAI โดยวางแผนที่จะติดตั้ง Nvidia GPUs จำนวน 400,000 ตัว แม้ว่าจะเผชิญกับความล่าช้าในการก่อสร้างและความท้าทายด้าน supply chain แต่โครงการก็ยังคงดำเนินต่อไปและแสดงถึงศักยภาพในการสร้างรายได้จำนวนมากสำหรับ Oracle และรายได้จาก GPU ประมาณ 2 หมื่นล้านดอลลาร์สหรัฐสำหรับ Nvidia"
NVDA,2025-06-06,14:08,Trump-Musk induced Tesla slide points to market risks from massive stocks By Reuters,https://www.investing.com/news/stock-market-news/trumpmusk-induced-tesla-slide-points-to-market-risks-from-massive-stocks-4085554,Negative,4,"A significant stock slide in Tesla, triggered by a feud between Elon Musk and Donald Trump, heavily impacted major market indexes like the S&P 500 and Nasdaq 100 due to Tesla's large market capitalization. This event is highlighted as an example of the market risk associated with the heavy weighting of a few ""megacap"" stocks, including the ""Magnificent Seven,"" in broad market indexes and ETFs.","การร่วงลงของหุ้นอย่างมีนัยสำคัญใน Tesla ซึ่งมีสาเหตุจากความขัดแย้งระหว่าง Elon Musk และ Donald Trump ส่งผลกระทบอย่างมากต่อดัชนีตลาดหลัก เช่น S&P 500 และ Nasdaq 100 เนื่องจากการมีมูลค่าตามราคาตลาดที่สูงของ Tesla เหตุการณ์นี้ถูกเน้นว่าเป็นตัวอย่างของความเสี่ยงของตลาดที่เกี่ยวข้องกับน้ำหนักที่มากของหุ้น ""megacap"" ไม่กี่ตัว รวมถึง ""Magnificent Seven"" ในดัชนีตลาดในวงกว้างและ ETFs"
NVDA,2025-06-06,10:56,UAE’s data center project with U.S. tech firms faces security concerns By Investing.com,https://www.investing.com/news/stock-market-news/uaes-data-center-project-with-us-tech-firms-faces-security-concerns-4085362,Negative,4,"A large data center project in the UAE involving US tech firms like Nvidia faces persistent security concerns from the US government. The deal, aimed at boosting the UAE's AI industry, is reportedly far from finalized due to worries about the UAE's ties with China and the potential misuse of advanced US technology.",โครงการ data center ขนาดใหญ่ใน UAE ที่เกี่ยวข้องกับบริษัทเทคโนโลยีของสหรัฐฯ เช่น Nvidia กำลังเผชิญกับความกังวลด้านความปลอดภัยอย่างต่อเนื่องจากรัฐบาลสหรัฐฯ ข้อตกลงนี้ซึ่งมีเป้าหมายเพื่อส่งเสริมอุตสาหกรรม AI ของ UAE มีรายงานว่ายังห่างไกลจากความสมบูรณ์เนื่องจากความกังวลเกี่ยวกับความสัมพันธ์ของ UAE กับจีน และความเป็นไปได้ที่จะมีการใช้เทคโนโลยีขั้นสูงของสหรัฐฯ ในทางที่ผิด
NVDA,2025-06-06,10:49,"US-UAE multi-billion dollar AI data campus deal far from finalised, sources say By Reuters",https://www.investing.com/news/stock-market-news/usuae-multibillion-dollar-ai-data-campus-deal-far-from-finalised-sources-say-4085355,Negative,5,"A multi-billion dollar deal for a large AI data campus in the UAE, planned to use advanced Nvidia chips, is reportedly far from finalized. This delay is attributed to persistent US security concerns regarding the UAE's relationship with China and the potential for technology diversion. US officials have not yet determined the necessary security conditions or enforcement mechanisms for the agreement.",มีรายงานว่าข้อตกลงมูลค่าหลายพันล้านดอลลาร์สำหรับ AI data campus ขนาดใหญ่ใน UAE ซึ่งวางแผนที่จะใช้ชิป Nvidia ขั้นสูงนั้นยังห่างไกลจากความสมบูรณ์ การชะลอตัวนี้มีสาเหตุมาจากความกังวลด้านความปลอดภัยของสหรัฐฯ อย่างต่อเนื่องเกี่ยวกับความสัมพันธ์ของ UAE กับจีน และศักยภาพในการ technology diversion เจ้าหน้าที่สหรัฐฯ ยังไม่ได้กำหนดเงื่อนไขด้านความปลอดภัยหรือกลไกการบังคับใช้ที่จำเป็นสำหรับข้อตกลงนี้
NVDA,2025-06-06,10:28,Arista Networks receives Investment Bank Analyst Rating Update By Investing.com,https://www.investing.com/news/pro/barclays-maintains-arista-networks-at-overweight-with-a-price-target-of-11900-4085324,Neutral,1,"The article title indicates that Arista Networks has received an updated analyst rating from an investment bank, as reported by Investing.com. The body of the article consists solely of standard risk disclosures and website terms.",หัวข้อข่าวระบุว่า Arista Networks ได้รับการปรับปรุง analyst rating จาก investment bank แห่งหนึ่ง ตามรายงานของ Investing.com เนื้อหาของบทความประกอบด้วย standard risk disclosures และ website terms เท่านั้น
NVDA,2025-06-06,05:42,Broadcom shares drop as revenue forecast fails to impress By Reuters,https://www.investing.com/news/stock-market-news/broadcom-shares-drop-as-revenue-forecast-fails-to-impress-4084594,Neutral,4,"Broadcom shares dropped over 3% after its third-quarter revenue forecast, while slightly above analyst estimates, failed to meet the high expectations of investors bullish on AI chip stocks. The company is a significant player in AI data center networking gear and custom AI processors, competing in the market alongside companies like Nvidia.",หุ้น Broadcom ร่วงลงกว่า 3% หลังจากคาดการณ์รายได้ไตรมาสที่สามของบริษัท แม้ว่าจะสูงกว่าประมาณการของนักวิเคราะห์เล็กน้อย แต่ก็ไม่เป็นไปตามความคาดหวังที่สูงของนักลงทุนที่เชื่อมั่นในหุ้น AI chip บริษัทเป็นผู้เล่นสำคัญใน AI data center networking gear และ custom AI processors โดยแข่งขันในตลาดร่วมกับบริษัทต่างๆ เช่น Nvidia
NVDA,2025-06-06,05:02,Avago Technologies receives Investment Bank Analyst Rating Update By Investing.com,https://www.investing.com/news/pro/morgan-stanley-maintains-broadcom-at-overweight-with-a-price-target-of-27000-4084482,Neutral,1,"The article title indicates that Avago Technologies received an analyst rating update. However, the body of the article consists solely of standard financial risk disclosures and data disclaimers, providing no details about the actual rating or its content.",ชื่อบทความบ่งชี้ว่า Avago Technologies ได้รับ analyst rating update อย่างไรก็ตาม เนื้อหาของบทความประกอบด้วย standard financial risk disclosures และ data disclaimers เท่านั้น โดยไม่มีรายละเอียดเกี่ยวกับ rating ที่แท้จริงหรือเนื้อหาของ rating นั้นเลย
