publish_date,publish_time,title,url,sentiment,importance,summary,translate
2025-06-05,03:34,"ECB decision due, jobless claims ahead, Broadcom to report",https://www.investing.com/news/economy-news/ecb-decision-due-jobless-claims-ahead-broadcom-to-report--whats-moving-markets-4082167,Neutral,5,"The article reports on subdued U.S. stock futures ahead of key economic events and corporate earnings. It highlights the upcoming European Central Bank interest rate decision, U.S. jobless claims data, and significant earnings reports, including from Broadcom, while noting market sentiment is influenced by trade tensions and recent mixed economic data.","บทความรายงานเกี่ยวกับ U.S. stock futures ที่ซบเซาก่อนหน้าเหตุการณ์ทางเศรษฐกิจที่สำคัญและผลประกอบการของบริษัท โดยเน้นการตัดสินใจเรื่องอัตราดอกเบี้ยของ European Central Bank ที่กำลังจะมาถึง, ข้อมูล U.S. jobless claims และรายงานผลประกอบการที่สำคัญ รวมถึงจาก Broadcom ในขณะที่สังเกตว่าความเชื่อมั่นของตลาดได้รับอิทธิพลจากความตึงเครียดทางการค้าและข้อมูลเศรษฐกิจที่ผสมปนเปกันล่าสุด"
2025-06-05,02:01,"Bitcoin price today: down to $104.7k as trade, economic uncertainty quashes risk By Investing.com",https://www.investing.com/news/cryptocurrency-news/bitcoin-price-today-down-to-1047k-as-trade-economic-uncertainty-quashes-risk-4082059,Negative,4,"Bitcoin's price fell, remaining rangebound due to persistent concerns over U.S. trade tariffs, weaker economic conditions, and increased profit-taking after recent record highs. Broader crypto markets also declined, largely tracking Bitcoin's underperformance despite rallies in U.S. technology stocks.","ราคาของ Bitcoin ลดลง โดยยังคงอยู่ในกรอบเนื่องจากความกังวลอย่างต่อเนื่องเกี่ยวกับ U.S. trade tariffs, สภาวะเศรษฐกิจที่อ่อนแอลง และการทำกำไรที่เพิ่มขึ้นหลังจากราคาสูงสุดเป็นประวัติการณ์เมื่อเร็วๆ นี้ ตลาด crypto ในวงกว้างก็ลดลงเช่นกัน โดยส่วนใหญ่เป็นไปตามผลงานที่ไม่ดีของ Bitcoin แม้ว่าจะมี rallies ในหุ้นเทคโนโลยีของ U.S."
2025-06-05,01:42,"Gold prices steady after advancing on soft US jobs data, trade uncertainty By Investing.com",https://www.investing.com/news/commodities-news/gold-prices-steady-after-advancing-on-soft-us-jobs-data-trade-uncertainty-4082049,Neutral,5,"Gold prices experienced a slight dip in Asian trade but maintained significant weekly gains, supported by soft U.S. labor data that increased expectations for Federal Reserve rate cuts. Ongoing trade policy uncertainty, a weaker U.S. dollar, and geopolitical jitters also contributed to strong haven demand for the precious metal.",ราคาทองคำมีการปรับตัวลดลงเล็กน้อยในการซื้อขายในเอเชีย แต่ยังคงรักษาระดับการเพิ่มขึ้นรายสัปดาห์ที่สำคัญ โดยได้รับการสนับสนุนจากข้อมูลแรงงานของ U.S. ที่อ่อนแอ ซึ่งเพิ่มความคาดหวังสำหรับการปรับลดอัตราดอกเบี้ยของ Federal Reserve ความไม่แน่นอนของนโยบายการค้าที่ดำเนินอยู่ ค่าเงิน U.S. dollar ที่อ่อนค่าลง และความกังวลทางภูมิรัฐศาสตร์ ยังส่งผลให้มีความต้องการสินทรัพย์ปลอดภัยสำหรับโลหะมีค่าอย่างแข็งแกร่ง
2025-06-04,23:07,"Asia stocks retreat: HK buoyed by tech, S.Korea extends post-election rally By Investing.com",https://www.investing.com/news/stock-market-news/asia-stocks-retreat-hk-buoyed-by-tech-skorea-extends-postelection-rally-4081971,Neutral,5,"Most Asian stock markets declined on Thursday due to concerns over U.S. trade policy and weak economic data. However, Hong Kong and South Korea outperformed, driven by strong gains in the technology sector and optimism following South Korea's recent election. Other markets like Japan and Australia fell on soft domestic data, while mainland China was largely flat.",ตลาดหุ้นส่วนใหญ่ในเอเชียปรับตัวลดลงในวันพฤหัสบดีเนื่องจากความกังวลเกี่ยวกับนโยบายการค้าของ U.S. และข้อมูลเศรษฐกิจที่อ่อนแอ อย่างไรก็ตาม Hong Kong และ South Korea มีผลการดำเนินงานที่ดีกว่า โดยได้รับแรงหนุนจากการเพิ่มขึ้นอย่างแข็งแกร่งในกลุ่ม technology และความเชื่อมั่นเชิงบวกหลังจากการเลือกตั้งครั้งล่าสุดของ South Korea ตลาดอื่นๆ เช่น Japan และ Australia ปรับตัวลดลงจากข้อมูลภายในประเทศที่อ่อนแอ ในขณะที่จีนแผ่นดินใหญ่โดยรวมทรงตัว
2025-06-04,20:34,Trump orders investigation into Biden over ‘cognitive decline’; Biden responds By Investing.com,https://www.investing.com/news/economy-news/trump-orders-investigation-into-bidens-presidency-over-cognitive-decline-4081893,Neutral,1,"Former President Donald Trump has ordered an investigation into Joe Biden's presidency, questioning his mental health while in office and the legitimacy of his actions, citing concerns about cognitive decline and the use of an autopen. Biden responded, stating he made all decisions during his presidency and dismissing suggestions otherwise as ""ridiculous and false.""","อดีตประธานาธิบดี Donald Trump ได้สั่งให้มีการสอบสวนการดำรงตำแหน่งประธานาธิบดีของ Joe Biden โดยตั้งคำถามถึงสุขภาพจิตของเขาขณะอยู่ในตำแหน่ง และความถูกต้องตามกฎหมายของการกระทำของเขา โดยอ้างถึงความกังวลเกี่ยวกับการลดลงของความสามารถทางสมอง และการใช้ autopen Biden ตอบโต้โดยระบุว่าเขาได้ตัดสินใจทั้งหมดในระหว่างการดำรงตำแหน่งประธานาธิบดีของเขา และปฏิเสธข้อเสนอแนะอื่นๆ ว่า ""ไร้สาระและเป็นเท็จ"""
2025-06-04,19:41,Trump losing patience with Musk’s criticism of tax bill- WSJ By Investing.com,https://www.investing.com/news/economy-news/trump-losing-patience-with-musks-criticism-of-tax-bill-wsj-4081859,Negative,3,"President Trump is reportedly losing patience with Elon Musk due to Musk's strong criticism of the administration's tax bill, which Musk called a ""disgusting abomination."" This friction is linked to Musk's frustration over a withdrawn NASA nomination and his broader opposition to some administration policies, despite past cooperation.","มีรายงานว่า President Trump กำลังหมดความอดทนกับ Elon Musk เนื่องจากการวิพากษ์วิจารณ์อย่างรุนแรงของ Musk ต่อร่างกฎหมายภาษีของรัฐบาล ซึ่ง Musk เรียกว่า ""disgusting abomination"" ความขัดแย้งนี้เชื่อมโยงกับความไม่พอใจของ Musk ต่อการถอนการเสนอชื่อ NASA และการคัดค้านนโยบายบางอย่างของรัฐบาลในวงกว้าง แม้จะเคยมีความร่วมมือกันในอดีตก็ตาม"
2025-06-04,16:28,Bond yields fall as rate cut bets rise By Investing.com,https://www.investing.com/news/economy-news/bond-yields-fall-as-rate-cut-bets-rise-4081617,Neutral,5,"Bond yields fell following weaker-than-expected U.S. economic data, including a soft ADP jobs report and a contraction in the ISM services index. This data boosted market expectations for Federal Reserve interest rate cuts in the coming months.",อัตราผลตอบแทนพันธบัตรรัฐบาลลดลงตามข้อมูลเศรษฐกิจของ U.S. ที่อ่อนแอกว่าที่คาดการณ์ไว้ ซึ่งรวมถึงรายงานการจ้างงาน ADP ที่ไม่ดีนัก และการหดตัวของดัชนี ISM services สิ่งนี้กระตุ้นความคาดหวังของตลาดเกี่ยวกับการปรับลดอัตราดอกเบี้ยของ Federal Reserve ในอีกไม่กี่เดือนข้างหน้า
2025-06-04,13:37,Trump: abolish the debt limit By Investing.com,https://www.investing.com/news/economy-news/trump-abolish-the-debt-limit-4081353,Neutral,4,"Former President Donald Trump has expressed support for abolishing the U.S. debt limit, agreeing with Senator Elizabeth Warren on the issue. He cited the potential for economic disaster if the limit is used improperly and called for bipartisan cooperation.",อดีตประธานาธิบดี Donald Trump ได้แสดงการสนับสนุนการยกเลิก U.S. debt limit โดยเห็นด้วยกับ Senator Elizabeth Warren ในประเด็นนี้ เขาอ้างถึงศักยภาพที่จะเกิดหายนะทางเศรษฐกิจหากมีการใช้ limit อย่างไม่เหมาะสม และเรียกร้องให้เกิดความร่วมมือแบบ bipartisan
2025-06-04,12:55,"Alibaba, JD.com shares rally on 618 festival gains By Investing.com",https://www.investing.com/news/stock-market-news/alibaba-jdcom-shares-rally-on-618-festival-gains-4081304,Positive,5,"Alibaba and JD.com shares rallied sharply following upbeat preliminary results from China's 618 shopping festival, which showed surging sales momentum, particularly in subsidy-backed categories like electronics. The strong performance reassured investors about consumer demand and outweighed concerns about other issues like regulatory hurdles for Alibaba's AI initiatives.",หุ้นของ Alibaba และ JD.com ปรับตัวสูงขึ้นอย่างมากหลังผลประกอบการเบื้องต้นที่สดใสจากเทศกาลช้อปปิ้ง 618 ของจีน ซึ่งแสดงให้เห็นถึงแรงผลักดันด้านยอดขายที่เพิ่มขึ้น โดยเฉพาะอย่างยิ่งในหมวดหมู่ที่ได้รับการสนับสนุนด้านเงินอุดหนุน เช่น electronics ผลการดำเนินงานที่แข็งแกร่งนี้ช่วยสร้างความมั่นใจให้กับนักลงทุนเกี่ยวกับความต้องการของผู้บริโภค และมีน้ำหนักมากกว่าความกังวลเกี่ยวกับปัญหาอื่นๆ เช่น regulatory hurdles สำหรับ AI initiatives ของ Alibaba
2025-06-04,09:50,AST SpaceMobile soars on speculation of strategic tie-up with Jeff Bezos By Investing.com,https://www.investing.com/news/stock-market-news/ast-spacemobile-soars-on-speculation-of-strategic-tieup-with-jeff-bezos-4080910,Positive,5,"AST SpaceMobile shares surged following speculation of a strategic tie-up with Jeff Bezos, Blue Origin, or Amazon, triggered by an Instagram post showing a meeting between Bezos and ASTS executives. The speculation suggests potential collaboration beyond existing launch agreements, possibly involving deeper commercial integration or a strategic stake, given synergies with Amazon's Project Kuiper.","หุ้นของ AST SpaceMobile พุ่งสูงขึ้นหลังจากการคาดการณ์ถึงความร่วมมือทางยุทธศาสตร์กับ Jeff Bezos, Blue Origin หรือ Amazon ซึ่งมีสาเหตุจากโพสต์ใน Instagram ที่แสดงให้เห็นการประชุมระหว่าง Bezos และผู้บริหารของ ASTS การคาดการณ์นี้ชี้ให้เห็นถึงความร่วมมือที่เป็นไปได้ที่นอกเหนือไปจากข้อตกลงการปล่อยที่มีอยู่ ซึ่งอาจเกี่ยวข้องกับการบูรณาการเชิงพาณิชย์ที่ลึกซึ้งยิ่งขึ้น หรือการถือหุ้นเชิงยุทธศาสตร์ โดยพิจารณาจากความสอดคล้องกับ Project Kuiper ของ Amazon"
