publish_date,publish_time,title,body_text,url
2025-05-27,11:16,NeuroPace stock sinks following clinical study results By Investing.com,"Investing.com -- Shares of NeuroPace Inc (NASDAQ: ) plummeted 36.1% today after the company reported that its primary effectiveness endpoint for the NAUTILUS study did not reach statistical significance in the overall study population. The study was designed to evaluate the safety and effectiveness of the RNS System for the treatment of individuals with drug-resistant idiopathic generalized epilepsy (IGE).

While the study met the 12-week post-implant primary safety endpoint, demonstrating a favorable safety profile of the RNS System, the lack of statistical significance in the primary effectiveness endpoint for the broader study population has raised concerns among investors. However, the company noted a statistically significant response in a subset of patients with lower baseline frequency of generalized tonic-clonic seizures, which represents the majority of participants.

Despite the setback in the overall effectiveness endpoint, NeuroPace highlighted several positive outcomes from the study. The data showed clinically meaningful improvements in median percent seizure reduction, responder rates, and an increase in seizure-free days over the first year of treatment. These improvements continued into the second year for patients who have progressed in the study, suggesting the RNS System’s potential for personalized patient treatment through programming over time.

Dr. Martha Morrell, NeuroPace’s Chief Medical Officer, expressed optimism about the results, emphasizing the statistically significant seizure reduction in a substantial patient subgroup and durable improvements across multiple secondary endpoints. CEO Joel Becker reiterated the company’s confidence in its long-term growth strategy and the potential for future indication expansion into IGE.

Leerink analyst Mike Kratky called the NAUTILUS study ""surprising and disappointing,"" but clarified that a follow-up conference call eased fears a bit. ""Overall, we would have preferred cleaner, more definitively positive topline results, but management has offered some reasons to remain positive on NPCE’s path forward in drug-resistant IGE,"" he said.

The NAUTILUS study is a prospective, multicenter, randomized, single-blind, sham-stimulation controlled study that enrolled 100 participants, with 87 undergoing implantation of the RNS Neurostimulator and Leads across 23 epilepsy centers in the US. NeuroPace received FDA Breakthrough Device Designation status in 2021 for the potential use of its RNS System to treat IGE.

NeuroPace plans to submit the full dataset to the FDA and for peer-reviewed publication and will engage with the FDA to discuss regulatory pathways based on the data. These discussions may include utilizing overall median seizure reduction data across the full study population and pursuing a more targeted indication focused on patients with lower baseline seizure frequency, who may represent a majority of patients with IGE.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",https://www.investing.com/news/stock-market-news/neuropace-stock-sinks-following-clinical-study-results-93CH-4065598
2025-05-27,11:15,Telus to invest over $50 billion in Canadian network expansion By Investing.com,"Risk Disclosure: Trading in financial instruments and/or cryptocurrencies involves high risks including the risk of losing some, or all, of your investment amount, and may not be suitable for all investors. Prices of cryptocurrencies are extremely volatile and may be affected by external factors such as financial, regulatory or political events. Trading on margin increases the financial risks.

Before deciding to trade in financial instrument or cryptocurrencies you should be fully informed of the risks and costs associated with trading the financial markets, carefully consider your investment objectives, level of experience, and risk appetite, and seek professional advice where needed.

Fusion Media would like to remind you that the data contained in this website is not necessarily real-time nor accurate. The data and prices on the website are not necessarily provided by any market or exchange, but may be provided by market makers, and so prices may not be accurate and may differ from the actual price at any given market, meaning prices are indicative and not appropriate for trading purposes. Fusion Media and any provider of the data contained in this website will not accept liability for any loss or damage as a result of your trading, or your reliance on the information contained within this website.

It is prohibited to use, store, reproduce, display, modify, transmit or distribute the data contained in this website without the explicit prior written permission of Fusion Media and/or the data provider. All intellectual property rights are reserved by the providers and/or the exchange providing the data contained in this website.

Fusion Media may be compensated by the advertisers that appear on the website, based on your interaction with the advertisements or advertisers.",https://www.investing.com/news/stock-market-news/telus-to-invest-over-50-billion-in-canadian-network-expansion-93CH-4065596
2025-05-27,11:12,TSMC still evaluating ASML’s ’High-NA’ as Intel eyes future use By Reuters,"By Nathan Vifflin

AMSTERDAM (Reuters) -Taiwan Semiconductor Manufacturing Co (2330.TW), the world’s largest contract chipmaker, is still assessing when it will use ASML (AS: )’s cutting-edge high numerical aperture (NA) machines for its future process nodes, an executive said on Tuesday.

Chipmakers are weighing when the speed and accuracy benefits of these nearly $400 million machines will outweigh the almost doubled price tag of what is already the most expensive piece of equipment in a chip fabrication plant.

Asked if TSMC plans to use the machine for its upcoming A14, and enhanced versions of the future node, Kevin Zhang said the company hasn’t yet found a compelling reason.

""A14, the enhancement I talk about, is very substantial without using High-NA. So our technology team continues to find a way to extend the life of current (Low-NA EUV machines) by harvesting the scaling benefit,"" he said at a press briefing.

""As long as they continue to find a way, obviously we don’t have to use it,"" Zhang said.

Rival Intel (NASDAQ: ) has planned to use the High-NA EUV machine in its future manufacturing process, known as 14A, in an attempt to revive its contract chip business and better compete with TSMC.

However, Intel also says that customers will still have the option of using older and more proven technologies.

During ASML’s last earnings report, CEO Christophe Fouquet said he expects customers to test High-NA for high-volume manufacturing readiness through 2026-2027, before they evaluate the tool on their most advanced nodes in a latter phase.

Last year, Zhang had told reporters TSMC will not use High-NA for its A16 node, adding he did not like the sticker price.

So far, ASML has shipped five of the 180 ton, double-decker sized machine across the world to three customers, counting Intel, TSMC and Samsung (KS: ).",https://www.investing.com/news/stock-market-news/tsmc-still-evaluating-asmls-highna-as-intel-eyes-future-use-4065599
2025-05-27,11:10,Morocco stocks lower at close of trade; Moroccan All Shares down 0.09% By Investing.com,"Investing.com – Morocco stocks were lower after the close on Tuesday, as losses in the , and sectors led shares lower.

At the close in Casablanca, the fell 0.09%.

The best performers of the session on the were Stokvis Nord Afrique (CSE: ), which rose 4.55% or 2.70 points to trade at 62.00 at the close. Meanwhile, Colorado (CSE: ) added 3.52% or 2.08 points to end at 61.18 and Societe d’Exploitation des Ports SA (CSE: ) was up 3.46% or 26.80 points to 801.90 in late trade.

The worst performers of the session were IB Maroc Com SA (CSE: ), which fell 9.02% or 3.49 points to trade at 35.20 at the close. Ste de Travaux de Realisation d’Ouvrages et de Constuction Industielle SA (CSE: ) declined 5.34% or 3.95 points to end at 70.05 and Taqa Morocco SA (CSE: ) was down 3.30% or 99.00 points to 2,900.00.

Falling stocks outnumbered advancing ones on the Casablanca Stock Exchange by 27 to 27 and 6 ended unchanged.

Shares in Stokvis Nord Afrique (CSE: ) rose to 5-year highs; rising 4.55% or 2.70 to 62.00. Shares in Societe d’Exploitation des Ports SA (CSE: ) rose to all time highs; gaining 3.46% or 26.80 to 801.90.

Crude oil for July delivery was down 1.50% or 0.92 to $60.61 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August fell 1.34% or 0.86 to hit $63.26 a barrel, while the August Gold Futures contract fell 1.92% or 65.26 to trade at $3,329.24 a troy ounce.

EUR/MAD was up 0.13% to 10.47, while USD/MAD rose 0.47% to 9.24.

The US Dollar Index Futures was up 0.55% at 99.41.",https://www.investing.com/news/stock-market-news/morocco-stocks-lower-at-close-of-trade-moroccan-all-shares-down-009-4065582
2025-05-27,11:07,Neinor Homes eyes significant stake in rival Aedas Homes,"Investing.com -- Neinor Homes SA, a prominent real estate firm, is reportedly considering the acquisition of a substantial stake in its competitor, Aedas Homes SA. This information comes from Bloomberg, citing individuals familiar with the situation.

Neinor Homes has expressed its interest to Aedas’ principal shareholder, Castlelake LP, in discussing a potential deal. The deal in question would involve the private equity firm’s 79% stake in Aedas Homes. Assisting Neinor Homes with the funding for this potential deal is Apollo Global Management (NYSE: ) Inc.

However, it is important to note that no final decision has been made regarding this potential acquisition. Furthermore, there is no guarantee that this expressed interest from Neinor Homes will result in a finalized deal.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",https://www.investing.com/news/stock-market-news/neinor-homes-eyes-significant-stake-in-rival-aedas-homes--bloomberg-93CH-4065575
2025-05-27,11:02,Goldman Sachs: Machinery supply is improving for the first time in three years By Investing.com,"Investing.com -- Goldman Sachs has upgraded Cummins Inc (NYSE: ). to Buy from Neutral, citing a turning point in machinery supply trends and improving fundamentals in the company’s Power Systems division.

“Machinery supply is inflecting positively for the first time in three years,” Goldman Sachs wrote, noting that its April Supply Tracker and backtesting reports support the view.

The firm has increased its weighting in the machinery sector and now prefers it over construction materials and environmental services.

According to Goldman Sachs, “new equipment destock is more than halfway complete, margin expectations have been reset embedding tariff headwinds, and valuations appear reasonable on mid-cycle earnings.”

The analysts believe that the supply picture has improved enough to justify a more bullish stance, with used equipment inventory changes serving as a leading indicator for production adjustments.

The firm now rates Cummins a Buy, highlighting “structurally higher Power Systems profitability (pricing structure beyond data center), derisked EPA 2027 expectations,” and “U.S. truck demand expectations that have been significantly reduced while used sleeper inventory levels are now down 30% year-over-year.”

Goldman Sachs estimates that Cummins is trading at 16x mid-cycle EPS of $20.50, or 14x if improved margins in Power Systems persist.

“We acknowledge our call could be early,” the note added, “as we expect production to bottom in 4Q25/1Q26, but we believe CMI’s Power Systems performance is a meaningful offset.”

The bank also upgraded Terex (NYSE: ), reiterated Buy ratings on Deere (NYSE: ), Caterpillar (NYSE: ), United Rentals (NYSE: ), and Herc Holdings (NYSE: ), and downgraded KBR (NYSE: ) and Atmus Filtration Technologies to Neutral.",https://www.investing.com/news/stock-market-news/goldman-sachs-machinery-supply-is-improving-for-the-first-time-in-three-years-4065561
2025-05-27,10:55,Israel stocks higher at close of trade; TA 35 up 0.54% By Investing.com,"Investing.com – Israel stocks were higher after the close on Tuesday, as gains in the , and sectors led shares higher.

At the close in Tel Aviv, the added 0.54% to hit a new all time high.

The best performers of the session on the were Nova (TASE: ), which rose 4.68% or 3,080.00 points to trade at 68,910.00 at the close. Meanwhile, Tower Semiconductor Ltd (TASE: ) added 2.56% or 370.00 points to end at 14,810.00 and Delek Group (TASE: ) was up 1.96% or 1,220.00 points to 63,500.00 in late trade.

The worst performers of the session were Israel Corp (TASE: ), which fell 1.96% or 2,200.00 points to trade at 110,190.00 at the close. NICE Ltd (TASE: ) declined 1.71% or 1,000.00 points to end at 57,650.00 and ICL Israel Chemicals Ltd (TASE: ) was down 1.64% or 38.00 points to 2,276.00.

Rising stocks outnumbered declining ones on the Tel Aviv Stock Exchange by 234 to 218 and 86 ended unchanged.

Shares in Delek Group (TASE: ) rose to 5-year highs; gaining 1.96% or 1,220.00 to 63,500.00.

Crude oil for July delivery was down 1.54% or 0.95 to $60.58 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August fell 1.39% or 0.89 to hit $63.23 a barrel, while the August Gold Futures contract fell 1.98% or 67.09 to trade at $3,327.41 a troy ounce.

USD/ILS was down 0.41% to 3.53, while EUR/ILS fell 0.80% to 4.01.

The US Dollar Index Futures was up 0.53% at 99.39.",https://www.investing.com/news/stock-market-news/israel-stocks-higher-at-close-of-trade-ta-35-up-054-4065557
2025-05-27,10:55,Norway stocks higher at close of trade; Oslo OBX up 0.77% By Investing.com,"Investing.com – Norway stocks were higher after the close on Tuesday, as gains in the , and sectors led shares higher.

At the close in Oslo, the rose 0.77% to hit a new all time high.

The best performers of the session on the were Norwegian Air Shuttle ASA (OL: ), which rose 4.67% or 0.61 points to trade at 13.67 at the close. Meanwhile, Subsea 7 SA (OL: ) added 3.43% or 5.70 points to end at 171.80 and Nordic Semiconductor ASA (OL: ) was up 2.75% or 3.40 points to 126.90 in late trade.

The worst performers of the session were Frontline Ltd (OL: ), which fell 2.96% or 5.75 points to trade at 188.60 at the close. Gjensidige Forsikring ASA (OL: ) declined 0.68% or 1.80 points to end at 262.00 and Hafnia Ltd (OL: ) was down 0.45% or 0.24 points to 52.96.

Rising stocks outnumbered declining ones on the Oslo Stock Exchange by 146 to 131 and 26 ended unchanged.

Crude oil for July delivery was down 1.56% or 0.96 to $60.57 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August fell 1.39% or 0.89 to hit $63.23 a barrel, while the August Gold Futures contract fell 2.00% or 67.84 to trade at $3,326.66 a troy ounce.

EUR/NOK was up 0.18% to 11.51, while USD/NOK rose 0.59% to 10.15.

The US Dollar Index Futures was up 0.54% at 99.40.",https://www.investing.com/news/stock-market-news/norway-stocks-higher-at-close-of-trade-oslo-obx-up-077-4065560
2025-05-27,10:50,Greece stocks higher at close of trade; Athens General Composite up 0.85% By Investing.com,"Investing.com – Greece stocks were higher after the close on Tuesday, as gains in the , and sectors led shares higher.

At the close in Athens, the rose 0.85% to hit a new 5-year high.

The best performers of the session on the were Holding Company ADMIE IPTO SA (AT: ), which rose 4.60% or 0.14 points to trade at 3.07 at the close. Meanwhile, Gr Sarantis SA (AT: ) added 4.35% or 0.58 points to end at 13.90 and Alpha Bank SA (AT: ) was up 4.26% or 0.11 points to 2.79 in late trade.

The worst performers of the session were Papoutsanis Industrial and Commercial of Consumer Goods SA (AT: ), which fell 1.43% or 0.04 points to trade at 2.76 at the close. Hellenic Exchanges Athens Stock Exchange SA (AT: ) declined 1.01% or 0.06 points to end at 5.90 and Bank of Cyprus Holdings PLC (AT: ) was down 0.96% or 0.06 points to 6.18.

Rising stocks outnumbered declining ones on the Athens Stock Exchange by 69 to 54 and 21 ended unchanged.

Shares in Alpha Bank SA (AT: ) rose to 5-year highs; rising 4.26% or 0.11 to 2.79.

Gold Futures for August delivery was down 1.97% or 66.96 to $3,327.54 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.64% or 1.01 to hit $60.52 a barrel, while the August Brent oil contract fell 1.45% or 0.93 to trade at $63.19 a barrel.

EUR/USD was unchanged 0.38% to 1.13, while EUR/GBP unchanged 0.10% to 0.84.

The US Dollar Index Futures was up 0.51% at 99.37.",https://www.investing.com/news/stock-market-news/greece-stocks-higher-at-close-of-trade-athens-general-composite-up-085-4065546
2025-05-27,10:46,Eos Energy stock tumbles after sudden CFO termination By Investing.com,"Investing.com -- Shares of Eos Energy Enterprises Inc (NASDAQ: ) fell sharply by 10.1% following the abrupt termination of the company’s CFO, Eric Javidi, announced on May 27, 2025. The company clarified that Javidi’s departure was not due to any issues with financial results or disagreements over financial practices. Instead, he was let go ""without cause"" and is set to receive severance as outlined in his offer letter.

The news has raised concerns among investors, leading to a significant drop in the company’s stock price during the trading session. Despite the company’s reassurances that the termination was unrelated to its financial or operating results, such executive changes often trigger uncertainty in the market.

In the interim, Nathan Kroeker, the current Chief Commercial Officer and former CFO, will take on the CFO responsibilities while continuing his role as Chief Commercial Officer. Eos Energy has confirmed that Kroeker will not receive additional compensation during his tenure as interim CFO.

This executive shake-up comes at a critical time for Eos Energy Enterprises as the company navigates the competitive energy storage market. The search for a new CFO is underway, and the company’s ability to quickly fill the role with a qualified candidate will be crucial for maintaining investor confidence.

The departure of a chief financial officer can be a significant event for a company, as the CFO is often seen as key to financial stability and strategic planning. Investors typically watch such developments closely for indications of internal stability and future financial direction.

However, Stifel analyst Stephen Gengaro reiterated a Buy rating and a $9 price target on the stock, saying, ""Our sense is he was simply not a good fit, and if there were any material issues, EOSE would have to disclose them in the 8-K. Given what we currently know and our trust in management, we are buyers on any material weakness today.""

As Eos Energy Enterprises continues its search for a new CFO, the market will be looking for signs of a smooth transition and sustained financial performance. The company has not provided any further details on the reasons behind Javidi’s termination or on the expected timeline for appointing a permanent CFO.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",https://www.investing.com/news/stock-market-news/eos-energy-stock-tumbles-after-sudden-cfo-termination-93CH-4065527
