currency,date,time,intensity,event
NZD,2025/06/16,05:30:00,1,ดัชนีชี้วัดผลสำเร็จภาคการบริการ  ( พ.ค.)
GBP,2025/06/16,06:01:00,1,ดัชนีราคาบ้านจากสถาบัน Rightmove (เดือนต่อเดือน)
GBP,2025/06/16,06:01:00,1,ดัชนีราคาบ้านจากสถาบัน Rightmove (ปีต่อปี)  (มิ.ย.)
KRW,2025/06/16,06:55:00,1,ปริมาณการส่งออก (ปีต่อปี)  ( พ.ค.)
KRW,2025/06/16,06:55:00,1,ปริมาณการนำเข้า (ปีต่อปี)  ( พ.ค.)
KRW,2025/06/16,06:55:00,1,ดุลการค้าของเกาหลีใต้  ( พ.ค.)
CNY,2025/06/16,08:30:00,1,ดัชนีราคาบ้านในจีน (ปีต่อปี)  ( พ.ค.)
CNY,2025/06/16,09:00:00,2,การลงทุนในสินทรัพย์คงที่ของจีน (Fixed Asset Investment) (ปีต่อปี)  ( พ.ค.)
CNY,2025/06/16,09:00:00,2,ดัชนีการผลิตภาคอุตสาหกรรมของจีน (ปีต่อปี)  ( พ.ค.)
CNY,2025/06/16,09:00:00,2,ผลผลิตอุตสาหกรรมของจีนตั้งแต่ต้นปี (ปีต่อปี)  ( พ.ค.)
CNY,2025/06/16,09:00:00,1,ดัชนียอดขายปลีกของจีน (ปีต่อปี)  ( พ.ค.)
CNY,2025/06/16,09:00:00,1,ดัชนียอดค้าปลีกของจีนตั้งแต่ต้นปี (ปีต่อปี)  ( พ.ค.)
CNY,2025/06/16,09:00:00,2,อัตราการว่างงานของจีน  ( พ.ค.)
CNY,2025/06/16,09:00:00,2,การแถลงข่าวต่อสื่อมวลชนของสำนักงานสถิติแห่งชาติของจีน
KRW,2025/06/16,10:00:00,1,ปริมาณเงิน M3  (เม.ย.)
KRW,2025/06/16,10:00:00,1,ปริมาณเงิน M2  ของเกาหลีใต้  (เม.ย.)
NOK,2025/06/16,13:00:00,1,ดุลการค้าของนอร์เวย์  ( พ.ค.)
CHF,2025/06/16,13:30:00,1,ดัชนี ราคาผู้ผลิตของสวิสเซอร์แลนด์ (ปีต่อปี)  ( พ.ค.)
CHF,2025/06/16,13:30:00,2,ดัชนีราคาผู้ผลิต (PPI) ของสวิสเซอร์แลนด์ (เดือนต่อเดือน)  ( พ.ค.)
INR,2025/06/16,13:30:00,1,ดัชนีราคาขายส่ง (WPI) ของสินค้าอาหารของอินเดีย (ปีต่อปี)  ( พ.ค.)
INR,2025/06/16,13:30:00,1,ดัชนีราคาขายส่ง (WPI) สำหรับน้ำมันเชื้อเพลิงของอินเดีย (ปีต่อปี)  ( พ.ค.)
INR,2025/06/16,13:30:00,2,ดัชนีราคาค้าส่งของอินเดีย (ปีต่อปี)  ( พ.ค.)
INR,2025/06/16,13:30:00,1,ภาวะเงินเฟ้อภาคการผลิตในดัชนี WPI ของอินเดีย (ปีต่อปี)  ( พ.ค.)
EUR,2025/06/16,14:00:00,2,คำกล่าวของนาเจล (Nagel) ประธานธนาคาร Buba ของเยอรมนี
EUR,2025/06/16,15:00:00,1,ดัชนีราคาผู้บริโภค (CPI) ของอิตาลี (ปีต่อปี)  ( พ.ค.)
EUR,2025/06/16,15:00:00,1,ดัชนีราคาผู้บริโภค (CPI) ของอิตาลี (เดือนต่อเดือน)  ( พ.ค.)
EUR,2025/06/16,15:00:00,1,ดัชนี CPI ของอิตาลี ไม่รวมกลุ่มสินค้ายาสูบ (ปีต่อปี)  ( พ.ค.)
EUR,2025/06/16,15:00:00,1,ดัชนี HICP ขั้นสุดท้ายของอิตาลี (เดือนต่อเดือน)  ( พ.ค.)
EUR,2025/06/16,15:00:00,1,ดัชนี HICP ขั้นสุดท้ายของอิตาลี (ปีต่อปี)  ( พ.ค.)
CHF,2025/06/16,15:00:00,1,การพยากรณ์ทางเศรษฐกิจของ SECO
EUR,2025/06/16,16:00:00,2,ค่าจ้างในเขตยูโรโซน (ปีต่อปี)  (ไตรมาส 1)
EUR,2025/06/16,16:00:00,1,ดัชนีอัตราค่าจ้างแรงงาน (ปีต่อปี)  (ไตรมาส 1)
EUR,2025/06/16,16:30:00,1,การประมูลพันธบัตรรัฐบาลเยอรมนี Bubill อายุ 12 เดือน
EUR,2025/06/16,17:00:00,1,รายงานประจำเดือนของธนาคารกลางเยอรมนี
USD,2025/06/16,18:00:00,2,รายงานประจำเดือนของ OPEC
INR,2025/06/16,18:00:00,1,ปริมาณการส่งออกของอินเดีย (ดอลลาร์สหรัฐ)  ( พ.ค.)
INR,2025/06/16,18:00:00,1,ปริมาณการนำเข้าของอินเดีย (ดอลลาร์สหรัฐ)  ( พ.ค.)
INR,2025/06/16,18:00:00,1,ดุลการค้าของอินเดีย  ( พ.ค.)
BRL,2025/06/16,18:00:00,1,ดัชนีเงินเฟ้อ IGP-10 (เดือนต่อเดือน)  (มิ.ย.)
EUR,2025/06/16,18:00:00,1,เงินสำรองระหว่างประเทศทั้งหมด  ( พ.ค.)
BRL,2025/06/16,18:25:00,1,รายงานตลาดมุ่งเน้นของธนาคารกลางบราซิล
BRL,2025/06/16,19:00:00,1,ดัชนีกิจกรรมทางเศรษฐกิจ IBC-Br ของบราซิล  (เม.ย.)
CAD,2025/06/16,19:15:00,2,จำนวนที่อยู่อาศัยเริ่มสร้าง  ( พ.ค.)
USD,2025/06/16,19:30:00,2,ดัชนีภาคการผลิตเขตรัฐนิวยอร์ก  (มิ.ย.)
EUR,2025/06/16,20:00:00,1,การประมูลพันธบัตร BTF ของฝรั่งเศสอายุ 12 เดือน
EUR,2025/06/16,20:00:00,1,การประมูลพันธบัตร BTF ของฝรั่งเศสอายุ 3 เดือน
EUR,2025/06/16,20:00:00,1,การประมูลพันธบัตร BTF ของฝรั่งเศสอายุ 6 เดือน
USD,2025/06/16,22:30:00,1,การประมูลตั๋วเงินคลังอายุ 3 เดือน
USD,2025/06/16,22:30:00,1,การประมูลตั๋วเงินคลังอายุ 6 เดือน
EUR,2025/06/16,23:00:00,2,คำกล่าวของนาเจล (Nagel) ประธานธนาคาร Buba ของเยอรมนี
