ticker,publish_date,publish_time,title,body_text,url
NDX,2025-05-25,20:41,US stock futures jump as Trump agrees to postpone 50% EU tariffs By Investing.com,"Investing.com-- U.S. stock index futures rose sharply on Sunday evening after President Donald Trump said he will postpone his recently proposed 50% tariffs on the European Union to July, offering some relief over his tariff plans.

Focus this week is also on quarterly earnings from artificial intelligence darling NVIDIA Corporation (NASDAQ: ), which are set to offer more insight into the trajectory of the AI industry. Nvidia’s earnings are expected to face some headwinds from increased U.S. restrictions on sales in China, which is still a major market.

rose 0.8% to 5,865.50 points, while rose 1% to 21,177.25 points by 20:26 ET (00:26 GMT). rose 0.7% to 41,972.0 points.

Trading volumes were thin before the Memorial Day holiday on Monday, while futures advanced after Trump’s threats of more EU tariffs sparked deep losses in Wall Street on Friday.

Trump agrees to postpone 50% EU tariffs to July

Trump said in a social media post that he had a productive call with EU head Ursula Von Der Leyen, and had agreed to postpone his proposed 50% levies on the bloc to July 9.

Trump said trade talks with the EU were set to begin in earnest immediately, while EU head Von Der Leyen also flagged improving relations with Washington.

Trump had on Friday threatened to impose 50% tariffs on the EU due to what he saw as a lack of progress in trade talks with the bloc. Separately, Trump had also threatened to impose 25% tariffs on Apple (NASDAQ: ) Inc’s imported iPhones, as well as any other smartphone.

His threats had rattled risk appetite, sparking steep losses on Wall Street.

The fell 0.7% to 5,802.82 points on Friday, while the fell 1% to 18,737.21 points. The fell 0.6% to 41,603.07 points.

Nvidia Q1 earnings on tap, AI demand, China, in focus

NVIDIA Corporation (NASDAQ: ) is set to report its fiscal first-quarter earnings after the bell on Wednesday, with focus squarely on whether the AI-fuelled demand boost it received over the past two years remained in play.

The company had recently flagged some headwinds for its China sales, especially after the Trump administration introduced even tighter curbs on chip sales to the country.

But outsized AI demand through the first quarter is expected to have boosted Nvidia’s earnings despite difficulties in China, especially as its biggest customers– Wall Street’s so-called AI hyperscalers– continued spending vast amounts of money on the technology this year.

Reuters reported over the weekend that Nvidia planned to sell a cheaper, lower-spec AI chip from its Blackwell line in China later this year.





",https://www.investing.com/news/stock-market-news/us-stock-futures-jump-as-trump-agrees-to-postpone-50-eu-tariffs-4063319
NDX,2025-05-23,17:48,US regulators greenlight construction of Venture Global CP2 LNG plant in Louisiana By Reuters,"By Curtis Williams

HOUSTON (Reuters) -U.S. regulators have given Venture Global permission to proceed with construction of its CP2 liquefied (LNG) plant in Louisiana, a FERC document showed on Friday.

If constructed, CP2 will be the single largest LNG export facility in the U.S. and help the country remain the world’s largest exporter of the superchilled gas. It also could make Venture Global the largest U.S. LNG company.

The decision follows a final environmental study that shows the 28 million metric tons per annum plant is in the public interest.

Venture Global had obtained approval to construct the plant, but after a court ruling, FERC conducted an additional environmental review of the impact on air quality.

The study concluded that the project should be allowed to continue.

""Neither the presumptive stay ...nor the Commission’s regulations barring construction for a limited period pending rehearing will apply upon issuance of this order,"" federal regulators said.

With federal approvals in hand, the company will immediately launch on-site construction for the project, the company’s CEO Mike Sabel said on Friday.

The additional review followed an August 2024 decision from the U.S. Court of Appeals for the District of Columbia Circuit that quashed FERC approval of rival LNG exporter NextDecade (NASDAQ: )’s plant at the Port of Brownsville, Texas. In light of the court ruling, FERC decided to review the CP2 project’s impact on air quality.

CP2 has been at the center of a fight between the energy sector and environmentalists seeking to limit future LNG projects on the U.S. Gulf Coast.",https://www.investing.com/news/stock-market-news/us-regulators-greenlights-construction-of-venture-global-cp2-lng-plant-in-louisiana-4062621
NDX,2025-05-23,10:10,TSX closes mixed amid more Trump trade turmoil By Investing.com,"Investing.com -- Canada’s main stock index was down Friday at market close on trade uncertainty.

By the 4:00 ET close, the bellwether index was down 1 point or 0.05%, having gained 0.1% in yesterday’s session.

However, Toronto’s rose by 25.9 or 0.1% following the previous session, in which the index posted gains of 14.8 points or 0.1%.

Underpinning sentiment was uncertain following a new slew of tariffs threatened by U.S. President Donald Trump. In a Truth Social post, Trump furthered pressured tech giant Apple Inc (NASDAQ: ), saying that all Apple products not manufactured in the U.S. would be under a 25% tariff.

Apple had previously announced movement of some manufacturing to India in order to mitigate the impact of U.S. tariffs on China. Apple stock dropped down 3% on the day.

Trump threatened tariffs of 50% on the EU if trade talks continue to stall. Treasury Secretary Scott Bessent later said in a Fox News Interview that Trump has not seen the EU’s offers on trade as being of ""good quality.""

In Canadian earnings, mining company Silvercorp Metals (NYSE: ) Inc (TSX: ) offered solid results, with in-line EPS and a revenue beat, dropping 5.7% at close.

March retail sales

Canada’s retail sales report for the month of March came in, as Statistics Canada reported a rise of 0.8%, beating economists’ expectations of a 0.7% gain. The bounce back was led by the auto sector, with parts and vehicles recording their strongest increase in three months.

CIBC Andrew Grantham responded in saying, ""Overall, consumer spending growth does appear to have slowed relative to the second half of last year, but not worryingly so as yet.""

U.S. stocks drop

Trading in U.S. stock indexes was down on Friday, as investors gauged the recent trade developments.

As of the 4:00 ET, the fell 39.2 points or 0.7%, the decreased 188.5 points or 1%, and the declined 256 points or 0.6%.

In yesterdays trading, the S&P lost 0.04%, the gained 0.3%, and the Dow was flat.

Crude Oil prices gain slightly

Oil prices retreated Friday, before a slight rebound, experiencing their first weekly decline in three weeks, weighed down by renewed supply pressure with OPEC+ considering another increase in production levels.

By 5:10 ET, were up 0.9%, pricing in at $61.76 a barrel, while rose by 0.9% to $65.01 per barrel.

For the week, both benchmarks have fallen over 2%, falling to their lowest in more than one week, following two weeks of gains.

Gold Futures gain

Gold traded higher on Friday, as investors turned to the safe haven on renewed tariff uncertainty.

At 5:10 ET, was up 1.9% to $3,357.94/oz, while traded up 1.9%, pricing in at $3,357.20/oz.

(Peter Nurse also contributed to this article)",https://www.investing.com/news/stock-market-news/tsx-opens-lower-amid-more-trump-trade-turmoil-4062094
NDX,2025-05-23,07:37,Apple stock trades lower after Trump threatens 25% tariff By Investing.com,"Investing.com -- Apple Inc (NASDAQ: ) shares tumbled Friday following President Trump’s threat to impose a 25% tariff on the company’s products if they are not manufactured in the United States. The announcement also affected U.S. stocks, with the main indexes down 0.5% to 0.9%.

As of 12:55 PM ET, Apple shares are down 2.7%, dragging both the and lower.

The President expressed his demands on Truth Social, insisting that iPhones sold in the U.S. should be made domestically rather than abroad. ""I have long ago informed Tim Cook of Apple that I expect their iPhone’s that will be sold in the United States of America will be manufactured and built in the United States, not India, or anyplace else. If that is not the case, a Tariff of at least 25% must be paid by Apple to the U.S. Thank you for your attention to this matter!"" Trump posted.

This development comes as Apple’s key contractor, Foxconn (SS: ), reportedly plans to invest $1.5 billion in a new facility in Tamil Nadu, India, to produce display modules for iPhones. The move is part of Apple’s strategy to diversify its supply chain, which currently extends to countries like Vietnam and Malaysia, with India becoming a significant focus of these efforts.

Despite the threats from Trump, analysts remain skeptical that Apple can produce iPhones in the U.S. anytime soon, and without the device’s price skyrocketing.

""The pressure from Trump Administration on Apple to build iPhone production in the US as we have discussed this would result in an iPhone price point that is a non-starter for Cupertino and translate into iPhone prices of ~$3,500 if it was made in the US which is not realistic as this would take 5-10 years to shift production to the US,"" Wedbush analyst Dan Ives commented following the news.

""We believe the concept of Apple producing iPhones in the US is a fairy tale that is not feasible,"" Ives added.

Meanwhile, UBS analyst David Vogt said that while the announcement creates headline risk for Apple, the actual impact of a blanket 25% tariff on U.S. iPhones is only a modest incremental EPS headwind.

""If a 25% blanket tariff is applied to ~70M annual iPhones imported into the US from China and India, we estimate the annual EPS headwind would be $0.51, only slightly worse than our prior expectation of $0.34 without any offsets,"" Vogt stated.",https://www.investing.com/news/stock-market-news/apple-stock-falls-after-trump-threatens-25-tariff-4061806
NDX,2025-05-23,04:04,"U.S. federal spending: $100 a second for 2,248 years By Investing.com","Investing.com -- Investors pulled $4.1 billion from global equity funds in the week to May 21, ending an eight-week streak of inflows as capital rotated into bonds, cash and crypto, according to Bank of America (BofA).

Bond funds drew $25 billion, money markets added $16.1 billion, and crypto saw $2.3 billion of inflows. Gold, by contrast, lost $2.9 billion—the third-biggest weekly outflow ever.

Tech equities recorded a record $6.8 billion exit, mostly tied to the $6.7 billion liquidation of the leveraged FNGA ETF.

Investment-grade bonds led fixed-income flows with a $13.5 billion weekly gain, the strongest since September. High-yield bonds posted a fourth consecutive weekly inflow, totaling $1.9 billion, and $9.8 billion over four weeks—the most since November.

Emerging market (EM) debt inflows hit $1.7 billion, the best since January 2023, while Treasuries saw $5.1 billion return after recent outflows.

The note’s most arresting stat captures the scale of U.S. government spending. “If you spent $100 every second, it would take you 2248 years to equal the $7.1 trillion the U.S. government spent in the past year,” BofA strategists led by Michael Hartnett highlighted.

The strategists say this fiscal trajectory is unsustainable. Bond yields above 5%, they argue, are damaging to the highly “financialized” U.S. economy and bond vigilantes are now incentivized to punish the government’s failure to rein in debt and deficits.

Hartnett warns that above 5%—paired with a sub-100 dollar strength index (DXY)—remain negative for risk assets.

The report also points to a structural shift in markets as the “Anything but Bonds” trade takes hold. A 40-year bond bull market has reversed, driven by persistent inflation, tighter monetary policy, expansive fiscal spending, and protectionist industrial strategies—marking a clear break from the disinflationary era that long supported fixed income.

Regionally, U.S. equity funds saw $1.8 billion in outflows in the past week. Emerging markets lost $5.5 billion—their worst week in 14—and Japan posted a $4 billion exit. Europe remained resilient with $400 million in inflows.

Sector-wise, Materials, , and Tech led the outflows.",https://www.investing.com/news/stock-market-news/us-federal-spending-100-a-second-for-2248-years-4061418
NDX,2025-05-23,03:27,"Futures stabilize, Apple’s discounts, BYD outsells Tesla","Investing.com - U.S. stock futures stabilized Friday, but Wall Street was still on course for a losing week as debt concerns lifted Treasury yields. BYD (SZ: ) outsold Tesla in Europe for the first time, Apple is offering trade-in discounts in China, while a trade deal between the U.S. and the European Union still seems a far way off.

1. U.S. futures fall on elevated Treasury yields

U.S. stock futures steadied Friday after previous losses, with elevated U.S. Treasury yields weighing on sentiment as President Donald Trump’s tax bill makes its way through Congress.

At 03:20 ET (07:20 GMT), rose 40 points, or 0.1%, and traded 3 points, or 0.1%, higher, while slipped 3 points, or 0.1%.

All three indices are on pace for losses this week, with the broad-based down nearly 2%, the blue chip around 1.9% lower, and the tech-heavy set for a 1.5% drop.

The House of Representatives passed Trump’s tax and spending bill with only one vote to spare on Thursday, and it now goes to the Senate, where more heated debate is likely.

Republicans broadly agree on the main planks of the legislation, including the extension of Trump’s 2017 tax cuts, but there remains concerns that the measure does not sufficiently cut spending.

The nonpartisan Congressional Budget Office estimates it will add $3.8 trillion to the federal government’s $36.2 trillion in debt.

Worries about the cost of the measure – and its impact on the nation’s debt and deficit – sent long-term Treasury yields higher. The 30-year Treasury bond yield touched a high of 5.161%, its highest level since October 2023, while the 10-year Treasury note breached 4.6%.

2. BYD outsells Tesla in Europe for first time

Electric vehicle market leader Tesla (NASDAQ: ) received another blow Friday following the news that Chinese EV giant BYD outsold its U.S. rival for the first time in Europe.

A report from analytics firm JATO Dynamics said BYD registered 7,231 battery-powered vehicles in Europe in April, overtaking the 7,165 units registered by Tesla.

BYD’s sales also came despite the European Union imposing steep import tariffs on Chinese EVs last year.

“Although the difference between the two brands’ monthly sales totals may be small, the implications are enormous,” said Felipe Munoz, a global analyst at Jato Dynamics. “This is a watershed moment for Europe’s car market, particularly when you consider that Tesla has led the European BEV market for years, while BYD only officially began operations beyond Norway and the Netherlands in late 2022.”

Tesla is struggling with slowing sales across the globe, with the company logging its first ever drop in annual deliveries in 2024.

3. U.S.-EU trade deal still far away - FT

Equity markets globally received a boost with the trade deal between China and the U.S. earlier this month, but further good news in the form of an agreement between the European Union and Washington still looks far away.

U.S. trade negotiators are pushing the EU to make unilateral tariff reductions on U.S. goods, saying without concessions the bloc will not progress in talks to avoid additional 20% ""reciprocal"" duties, the Financial Times reported on Friday.

The FT added that the European Union has been pushing for a jointly agreed framework text for the talks but the two sides remain too far apart.

The U.S. imposed 25% tariffs on EU cars, steel and aluminium in March and 20% tariffs on other EU goods in April. It then halved the 20% rate until July 8, setting a 90-day window for talks to reach a more comprehensive tariff deal.

In response, the 27-nation EU suspended its own plans to impose retaliatory tariffs on some U.S. goods and proposed zero duties for all industrial goods on both sides.

4. Apple offers trade-in discounts in China

Apple (NASDAQ: ) is offering additional trade-in discounts for new iPhones in China until June 18, according to its website on Friday, in what appears to be the latest attempt by the tech giant to boost sales in this vital market.

Apple’s market share in China has shrunk significantly, falling from 15.6% in the first quarter of 2024 to 13.7% in the first quarter of this year, resulting in the U.S. company falling to fifth place in the Chinese smartphone market, behind Xiaomi (OTC: ), Huawei, Oppo, and Vivo.

This is a significant drop, as Apple was previously the market leader in China.

The company is also facing severe headwinds from high U.S. trade tariffs on China, which stand to severely increase the prices of its devices. Over 90% of Apple’s flagship iPhones are manufactured in China, while the country is also Apple’s largest market outside North America.

5. Crude set for weekly decline on supply pressures

Oil prices retreated Friday, on course for their first weekly decline in three weeks, weighed down by renewed supply pressure with OPEC+ considering another increase in production levels.

At 03:20 ET, futures dropped 0.7% to $63.99 a barrel, and U.S. West Texas Intermediate crude futures fell 0.7% to $60.80 a barrel.

For the week, both benchmarks have fallen around 2%, falling to their lowest in more than one week, following two weeks of gains.

The Organization of Petroleum Exporting Countries and allies, collectively known as OPEC+, are weighing the possibility of another production boost at their upcoming meeting on June 1, Bloomberg News reported Thursday.

According to delegates cited in the report, one option under consideration is a supply increase of 411,000 barrels per day in July, though no final decision has been made.

The market is also closely watching U.S.-Iranian nuclear negotiations which could determine the future supply of Iranian oil. The fifth round of talks will take place in Rome later Friday.

(Reuters contributed reporting.)",https://www.investing.com/news/economy-news/futures-stabilize-apples-discounts-byd-outsells-tesla--whats-moving-markets-4061356
NDX,2025-05-22,03:37,"Futures muted, Trump tax bill in focus, flash PMIs ahead","Investing.com - U.S. stock futures hovered around the flatline following a drop in equities and uptick in U.S. government bond yields in the prior session. Traders eye upcoming business activity data as well as a potential pre-dawn vote in the U.S. House of Representatives on President Donald Trump’s sweeping tax and spending bill. Meanwhile, OpenAI’s CEO reportedly aims to ship an artificial intelligence product in 2026.

1. Futures subdued

U.S. stock futures were muted on Thursday, pointing to a breather for markets after a sell-off in the prior session.

By 03:31 ET (07:31 GMT), the contract was mostly unchanged, had risen by 6 points, or 0.1%, and had advancedby 26 points, or 0.1%.

The main averages slumped on Wednesday, weighed down by a spike in U.S. Treasury yields partly sparked by concerns that Trump’s tax bill would add trillions of dollars to America’s already-massive debt pile. Weak demand for a $16 billion auction of 20-year Treasury bonds also put upward pressure on yields, which tend to move inversely to prices.

Traders were also assessing mixed earnings from retail companies, which have been seen as potentially exposed to punishing U.S. tariffs. Home improvement firm Lowe’s (NYSE: ) backed its full-year guidance, although numbers from big-box group Target — whose offerings include more on discretionary items — disappointed.

2. Flash PMIs ahead

Investors are now turning their focus to an upcoming preliminary reading of business activity that could provide fresh insight into the impact of Trump’s tariffs.

S&P Global’s composite purchasing managers’ index cooled to 50.6 last month, down from 53.5 in March and only slightly above the 50-point level denoting expansion.

The index’s tracker of the manufacturing sector is seen slowing to 49.9 in May, while the services gauge is expected to edge up slightly to 51.0.

Several companies have flagged that uncertainty around the effect of the sweeping U.S. levies have made planning out future investments more difficult. Analysts have noted that while the duties have yet to heavily sway U.S. inflation, prices could start to move higher as businesses use up inventories built prior to the implementation of the tariffs.

Murkiness also surrounds whether Trump will extend a delay to his elevated “reciprocal” levies on a host of countries after the pause expires in July. A separate postponement of tariffs on China are also due to end in August.

3. House moves ahead with tax and spending bill

The U.S. House of Representatives is tipped to hold a pre-dawn vote on Trump’s ""big, beautiful"" budget bill, with Republicans in power in the chamber hoping to overcome days of internal disagreements over the measure.

Along with the extension of 2017 tax cuts, the legislation would slash taxes charged on tips and car loans, while boosting spending on defense and border security. Reductions to key food and health programs for low-income Americans are also included in the bill.

Nonpartisan analysts have said the changes would add between $3 trillion to $5 trillion to the U.S.’s $36.2 trillion debt load.

Still, it remained uncertain if House Speaker Mike Johnson had secured enough Republcian support to pass the bill. Some GOP lawmakers have demanded even greater spending cuts to offset Trump’s desired tax breaks, although Johnson said he was confident he could garner their backing to overcome united Democratic opposition.

Should it pass the House, the bill would go to the Senate, which is also controlled by Republicans.

4. OpenAI aims to begin shipping AI devices by late-2026 -- WSJ

OpenAI CEO Sam Altman told employees that he plans to lead the company in shipping a planned AI device by at least end-2026, the Wall Street Journal has reported.

Altman told employees at the AI startup that he was targeting sales of 100 million devices, and that OpenAI was seeking to create a new class of devices as integral as a smartphone, the WSJ report said, citing a recording of a meeting between Altman and OpenAI employees.

Altman’s comments come just after OpenAI bought a company led by former Apple (NASDAQ: ) designer Jony Ive for $6.5 billion earlier this week. Altman said that the deal had the potential to add $1 trillion in value to OpenAI, the WSJ reported.

Altman and Ive were reportedly aiming to create a third core device for everyday use, after a smartphone and a personal computer. The AI device will reportedly feature no screens, will not be a phone, and is not a wearable.

5. Oil retreats

Oil prices fell Thursday as traders digested a surprise build in stockpiles, as well as uncertainty ahead of renewed U.S.-Iran nuclear negotiations and talk of an Israeli strike on Iran’s nuclear sites.

At 03:32 ET, futures dropped 1.6% to $63.89 a barrel, and U.S. West Texas Intermediate crude futures fell 1.5% to $60.60 a barrel.

The Energy Information Administration reported late Wednesday a 1.3 million-barrel rise in U.S. crude oil inventories, defying expectations of a 1.3 million-barrel drawdown and raising concerns about demand from the world’s largest oil consumer.

Both benchmarks retreated on Wednesday after reports that nuclear talks between Iran and the United States will take place on Friday in Rome.

Prices had jumped earlier on Wednesday following a CNN report that U.S. intelligence suggests Israel is preparing to strike Iranian nuclear facilities, but later surrendered those gains.",https://www.investing.com/news/economy-news/futures-muted-trump-tax-bill-in-focus-flash-pmis-ahead--whats-moving-markets-4058800
NDX,2025-05-21,21:05,Stock market today: S&P 500 ends flat as US debt concerns weigh on sentiment By Investing.com,"Investing.com-- The S&P 500 closed just below the flatline Thursday following the recent rout as dip-buying in tech was kept in check by fragile sentiment amid ongoing concerns over high U.S. debt levels.

At 4:00 p.m. ET (20:00 GMT), the fell 1 point, or 0%, and the index gained 0.03%, while the added 0.3%.

The main averages slumped on Wednesday, with the blue chip falling over 800 points, weighed down by a spike in U.S. Treasury yields.

Tech leads market bounce off lows

Dip-buying in tech stocks, led by Alphabet (NASDAQ: ), helped the broader market steady, with the latter adding to this weeks gains following its developer conference earlier this week.

The tech giant used the event to defend its Search product, which is under threat from newer generative AI rivals.

Elsewhere in tech, Snowflake (NYSE: ) stock surged after the cloud-based data storage company raised its fiscal 2026 forecast for product revenue, betting on strong demand for its data analytics services as enterprises prioritize artificial intelligence spending.

House passes tax and spending bill

U.S. President Donald Trump’s tax bill narrowly passed the House on Thursday morning, overcoming days of political wrangling between Republicans in control of the lower chamber of Congress.

The measure passed by a narrow 215-214 margin, with all Democrats opposing the bill.

The bill now moves to the Senate, where some lawmakers are pushing for revisions, with a vote on approval expected by August.

The U.S. House Rules Committee on late Wednesday approved President Donald Trump’s expansive tax and spending bill after a nearly 22-hour session, media reports showed.

Along with the extension of 2017 tax cuts, the legislation would slash taxes charged on tips and car loans, while boosting spending on defense and border security. Reductions to key food and health programs for low-income Americans are also included in the bill.

Critics have expressed concerns over potential cuts to social programs and increased national debt. Nonpartisan analysts have estimated that the reductions could add between $3 trillion to $5 trillion to the country’s $36.2 trillion debt pile over the next decade.

Jobless claims point to still-solid labor market

Economic concerns, exacerbated by the trade turmoil over the last couple of months, have also weighed on stock markets.

The number of Americans filing dropped last week, suggesting the economy maintained a steady pace of job growth in May.

Initial claims for state unemployment benefits fell 2,000 to a seasonally adjusted 227,000 for the week ended May 17, the Labor Department said on Thursday.

S&P Global’s cooled to 50.6 last month, down from 53.5 in March and only slightly above the 50-point level denoting expansion.

The index’s tracker of the manufacturing sector is seen slowing to 49.9 in May, while the services gauge is expected to edge up slightly to 51.0.

Urban Outfitters shines on earnings stage

Urban Outfitters (NASDAQ: ) stock soaring following a stronger-than-expected quarterly report - the second straight quarter of strong revenue gains and the third consecutive quarter of accelerating EPS growth.

Analog Devices (NASDAQ: ) stock rose after the chipmaker beat expectations for quarterly revenue, driven by upbeat demand for its chips used in the automotive and industrial sectors.

Additionally, Nike (NYSE: ) stock rose 2% after the footwear retailer said it is planning to raise prices of some products from next week and will sell items on Amazon (NASDAQ: ) after six years.

(Peter Nurse, Ambar Warrick contributed to this article.)",https://www.investing.com/news/stock-market-news/us-stock-futures-flat-after-rising-yields-spook-wall-street-4058548
NDX,2025-05-21,15:32,"S&P 500 Weakness Continues, Down 1.75% on Yield Concerns By Investing.com","Risk Disclosure: Trading in financial instruments and/or cryptocurrencies involves high risks including the risk of losing some, or all, of your investment amount, and may not be suitable for all investors. Prices of cryptocurrencies are extremely volatile and may be affected by external factors such as financial, regulatory or political events. Trading on margin increases the financial risks.

Before deciding to trade in financial instrument or cryptocurrencies you should be fully informed of the risks and costs associated with trading the financial markets, carefully consider your investment objectives, level of experience, and risk appetite, and seek professional advice where needed.

Fusion Media would like to remind you that the data contained in this website is not necessarily real-time nor accurate. The data and prices on the website are not necessarily provided by any market or exchange, but may be provided by market makers, and so prices may not be accurate and may differ from the actual price at any given market, meaning prices are indicative and not appropriate for trading purposes. Fusion Media and any provider of the data contained in this website will not accept liability for any loss or damage as a result of your trading, or your reliance on the information contained within this website.

It is prohibited to use, store, reproduce, display, modify, transmit or distribute the data contained in this website without the explicit prior written permission of Fusion Media and/or the data provider. All intellectual property rights are reserved by the providers and/or the exchange providing the data contained in this website.

Fusion Media may be compensated by the advertisers that appear on the website, based on your interaction with the advertisements or advertisers.",https://www.investing.com/news/assorted/sp-500-weakness-continues-down-175-on-yield-concerns-432SI-4058070
NDX,2025-05-21,08:22,"Hedge funds cut U.S. Big Tech stocks, bought China: Goldman By Investing.com","Investing.com -- Hedge funds slashed their exposure to U.S. Big Tech stocks in early 2025 and rotated into Chinese equities, according to Goldman Sachs’ latest Hedge Fund Trend Monitor.

The quarterly analysis, based on 13-F filings from 684 hedge funds managing $3.1 trillion in gross equity positions, shows a shift away from the “Magnificent 7” stocks, even as those names outperformed.

“Funds cut net positions most in Microsoft (NASDAQ: ),” Goldman noted, placing the tech giant on its list of “Falling Stars” — a group of stocks that saw the largest decline in hedge fund ownership.

Apple (NASDAQ: ) also lost ground, slipping from the sixth to the ninth spot on Goldman’s Hedge Fund VIP list, displaced by Taiwan Semiconductor (NYSE: ), Netflix (NASDAQ: ), and Uber (NYSE: ).

Despite the pullback, Amazon (NASDAQ: ), Meta (NASDAQ: ), Microsoft, Nvidia (NASDAQ: ), and Alphabet (NASDAQ: ) still top the list of most-owned stocks.

The timing of these trades proved costly. “These rotations proved poorly timed as the Mag 7 has returned +12% during 2QTD while trade tensions have weighed on China ADRs,” Goldman strategists led by Ben Snider noted.

Hedge funds added to China ADRs during the first quarter, increasing exposure to names like Alibaba (NYSE: ), PDD Holdings (NASDAQ: ), Baidu (NASDAQ: ), and JD.com (NASDAQ: ), even as geopolitical uncertainty loomed.

While the basket of China ADRs outperformed in Q1, it has underperformed the equal-weight by five percentage points since the start of Q2.

Still, performance held up. “Solid stock-picking has allowed U.S. equity long/short hedge funds to maintain a return of +1% YTD despite a volatile macro backdrop,” the report said. The VIP basket of most popular long positions outperformed, up 6% year-to-date.

The overall hedge fund landscape remains heavily tilted toward high leverage. Gross leverage hit a record, fueled by surging short interest.

Hedge funds entered Q2 with $948 billion in single-stock shorts and $218 billion in ETF shorts. Short interest in the median S&P 500 stock climbed to 2.3% of float, the highest since the 2021 short squeeze.

Despite the volatility, hedge funds stayed the course on artificial intelligence. Exposure to AI-related stocks remained steady, with new VIP entries from semiconductor and software names such as Lam Research (NASDAQ: ) and Micron (NASDAQ: ).

In sector positioning, hedge funds cut their net tilt to Health Care, especially in Biopharma, while increasing allocations to Information Technology, Consumer Discretionary, and Industrials.",https://www.investing.com/news/stock-market-news/hedge-funds-cut-us-big-tech-stocks-bought-china-goldman-4056728
