ticker,publish_date,publish_time,title,body_text,url
NVDA,2025-05-27,22:52,Asia stocks rise tracking Wall St gains; Tech upbeat before Nvidia earnings By Investing.com,"Investing.com-- Most Asian stocks rose on Wednesday tracking a strong overnight session on Wall Street, as investors cheered President Donald Trump’s postponement of steep trade tariffs against Europe.

Technology stocks led gains for the day, buoyed by stellar earnings from China’s Xiaomi (OTC: ) (HK: ), and as investors piled into the sector before earnings from artificial intelligence major NVIDIA Corporation (NASDAQ: ), which are due later today.

Gains in Asian markets came tracking a sharp overnight jump in Wall Street, as investors also cheered some signs of stability in the bond market. U.S. stock index futures were flat in regional trade, with steady around 5,934.0 points after the surged over 2%.

Some regional markets also lagged, with Australian shares rising marginally after a strong consumer inflation print.

Chinese shares moved in a flat-to-low range as weak earnings from ecommerce giant PDD Holdings (NASDAQ: ) added to concerns over sustained deflation and weak consumer spending in the country.

Tech stocks advance with Nvidia earnings in focus

Japan’s rose 0.6%, while South Korea’s rallied 1.8% to a nine-month high on outsized gains in technology stocks.

Japan’s Advantest Corp. (TYO: )- an Nvidia supplier- rose 2.2%, while South Korea’s SK Hynix Inc (KS: ) and Samsung Electronics Co Ltd (KS: ), who both supply Nvidia with memory chips– rose 2.7% and 3.3%, respectively.

Taiwan’s TSMC (TW: ) and Hon Hai Precision Industry Co Ltd (TW: ) (Foxconn) rose about 0.5% each.

Investors were seen piling into tech, especially in chipmakers and AI-tangential stocks, as they positioned for a strong earnings print from Nvidia.

The AI major is set to report earnings after the U.S. close on Wednesday, and is forecast to clock strong earnings and revenue growth, as it continued to benefit from outsized spending on AI infrastructure, especially by major U.S. companies.

But focus will be on Nvidia’s outlook on AI demand and China, especially as the company grapples with stricter U.S. restrictions on chip exports to Beijing.

China shares lag, deflation concerns outweigh strong Xiaomi earnings

China’s and indexes fell marginally, while Hong Kong’s shed 0.3%.

Concerns over Chinese deflation and weak consumer spending came to fore this week following weak earnings from ecommerce major PDD. The company’s first-quarter profit nearly halved as local sales suffered from heightened competition and weak spending, while its international business, specifically budget marketplace Temu, was hit by heightened uncertainty over U.S. trade tariffs.

PDD’s weak print comes just a week after ecommerce major Alibaba’s earnings underwhelmed.

Concerns over deflation largely offset a strong showing from Xiaomi, which clocked a record first quarter profit. Xiaomi’s shares rose 1.6% in Hong Kong trade.

Broader Asian markets mostly advanced, although gains were limited in several markets. Australia’s rose 0.2%, lagging its regional peers as mildly stronger than expected raised some doubts over when the Reserve Bank of Australia will cut interest rates next.

Singapore’s index rose 0.4%, while Japan’s index rose 0.5%.

for India’s index fell 0.1%, pointing to a weaker open for the index as it struggled to make headway above 25,000 points.",https://www.investing.com/news/stock-market-news/asia-stocks-rise-tracking-wall-st-gains-tech-upbeat-before-nvidia-earnings-4066438
NVDA,2025-05-27,22:39,"Asian shares, U.S. dollar climb on rosy data, tech optimism By Reuters","By Rocky Swift

TOKYO (Reuters) - Asian shares continued a rally from Wall Street and the dollar held gains on Wednesday on promising economic signs in the United States and speculation of strong tech earnings.

Markets welcomed what appeared to be easing trade frictions between the U.S. and Europe while global bond markets settled down after a scary surge in long-term yields. U.S. consumer confidence surprised on the upside ahead of closely watched jobs figures on Thursday.

Nvidia (NASDAQ: ) jumped more than 4% yesterday and will be the last of the Magnificent 7 tech giants to report earnings after markets close in the U.S.

""There is renewed confidence that Nvidia can beat the consensus estimates,"" said Chris Weston, head of research at Pepperstone.

If Nvidia comes through with better-than-expected sales and profit margins ""the rally is on,"" he added.

The chipmaker is expected to report that first-quarter revenue surged 66.2% to $43.28 billion, according to data compiled by LSEG.

In signs of a thaw between the U.S. and Europe, European Union officials have asked companies for details of their U.S. investment plans, according to two sources familiar with the matter.

MSCI’s broadest index of Asia-Pacific shares outside Japan was up 0.3% in morning trading while advanced 0.6%, climbing a fourth straight session.

The , which tracks the greenback against a basket of currencies, rose 0.1%, adding to Tuesday’s 0.6% rally. The greenback advanced 0.1% to $1.132 against the euro.

Australian shares were up 0.17%, but the nation’s currency slid 0.2% after April consumer price data came in above expectations. The dollar slid 0.3% after the Reserve Bank of New Zealand cut rates as expected.

Japanese bonds slid, trimming a surge yesterday, ahead of a 40-year auction and on speculation the Ministry of Finance will reduce the issuance of long-dated securities.

Oil prices ticked up in early trading as the U.S. barred Chevron (NYSE: ) CVX.N from exporting crude from Venezuela under a new authorization on its assets there, raising the prospect of tighter supply.

futures rose 0.4% to $64.37 a barrel, while U.S. rallied 0.1% after dropping more than 1% on Tuesday.

(Rocky Swift in Tokyo; Editing by Saad Sayeed)",https://www.investing.com/news/stock-market-news/asian-shares-us-dollar-climb-on-rosy-data-tech-optimism-4066432
NVDA,2025-05-27,20:07,US stock futures steady with Nvidia earnings in focus By Investing.com,"Investing.com-- U.S. stock index futures rose slightly on Tuesday evening with focus squarely on earnings from artificial intelligence major Nvidia, with sentiment upbeat on some trade tariff deescalation and positive consumer data.

Futures steadied after a stellar session on Wall Street, as investors cheered President Donald Trump’s delaying of steep trade tariffs against the European Union, while stronger-than-expected consumer confidence data pointed to resilience in the economy.

Technology stocks also courted heavy buying before Nvidia’s earnings, which are likely to act as a bellwether for the sector. Analysts expect another strong quarter from the chipmaker.

rose 0.1% to 5,939.75 points, while rose 0.1% to 21,476.75 points by 19:14 ET (23:14 GMT) rose 0.1% to 42,465.0 points.

Nvidia Q1 earnings awaited for more AI cues; shares surge

NVIDIA Corporation (NASDAQ: ) is set to report its first-quarter earnings after the bell on Wednesday, with analysts expecting a strong print.

Shares of the AI major surged 3.2% on Tuesday and were flat in after-hours trade.

Nvidia is forecast to post earnings per share of $0.893 on revenue of $43.12 billion for the three months to April 31, both up substantially from last year, Investing.com data showed.

The chipmaker is expected to have benefited from outsized domestic demand, especially as its biggest customers– Wall Street’s so-called AI hyperscalers– continued spending billions on building more data center capacity.

But focus will be on Nvidia’s outlook, which is likely to set the tone for the tech industry going forward in 2025. Investors will also be watching for comments on Nvidia’s China sales, as the company grapples with more U.S. export controls and increased competition in the country.

CEO Jensen Huang recently criticized the U.S. export restrictions, calling them a ""failure,"" and also forecast China becoming a $50 billion market in the coming years.

Wall St rises on Trump tariff delay, strong consumer sentiment

Wall Street clocked strong gains on Tuesday, after Trump’s delaying of 50% tariffs against the EU boosted risk appetite. Trump’s move– which is another instance of the president flip-flopping on his tariff plans– spurred bets that he will not deliver on his agenda of imposing steep reciprocal trade tariffs in July.

Sentiment was also boosted by substantially stronger than expected data for May, which rebounded after five months of declines.

The rebound also comes following a deescalation in trade tensions between the U.S. and China, and as Trump’s administration attempts to reach trade deals with several major economies.

The rose 2.1% to 5,921.54 points, while the surged 2.5% to 19,199.16 points on Tuesday. The rose 1.8% to 42,343.65 points.",https://www.investing.com/news/stock-market-news/us-stock-futures-steady-with-nvidia-earnings-in-focus-4066366
NVDA,2025-05-27,19:59,"Japan proposes to buy U.S. chip products in tariff talks, Asahi says By Reuters","Risk Disclosure: Trading in financial instruments and/or cryptocurrencies involves high risks including the risk of losing some, or all, of your investment amount, and may not be suitable for all investors. Prices of cryptocurrencies are extremely volatile and may be affected by external factors such as financial, regulatory or political events. Trading on margin increases the financial risks.

Before deciding to trade in financial instrument or cryptocurrencies you should be fully informed of the risks and costs associated with trading the financial markets, carefully consider your investment objectives, level of experience, and risk appetite, and seek professional advice where needed.

Fusion Media would like to remind you that the data contained in this website is not necessarily real-time nor accurate. The data and prices on the website are not necessarily provided by any market or exchange, but may be provided by market makers, and so prices may not be accurate and may differ from the actual price at any given market, meaning prices are indicative and not appropriate for trading purposes. Fusion Media and any provider of the data contained in this website will not accept liability for any loss or damage as a result of your trading, or your reliance on the information contained within this website.

It is prohibited to use, store, reproduce, display, modify, transmit or distribute the data contained in this website without the explicit prior written permission of Fusion Media and/or the data provider. All intellectual property rights are reserved by the providers and/or the exchange providing the data contained in this website.

Fusion Media may be compensated by the advertisers that appear on the website, based on your interaction with the advertisements or advertisers.",https://www.investing.com/news/stock-market-news/japan-proposes-to-buy-us-chip-products-in-tariff-talks-asahi-says-4066362
NVDA,2025-05-27,19:51,"Japan offers to buy US chips as part of tariff negotiations, Asahi reports By Investing.com","Investing.com-- Japan has proposed purchasing billions of dollars’ worth of U.S. semiconductor products as part of ongoing tariff negotiations with Washington, the Asahi Shimbun reported on Wednesday, citing government sources.

The purchases, potentially totaling hundreds of billions to 1 trillion yen, would be supported by Japanese government subsidies to domestic firms acquiring chips from companies such as NVIDIA (NASDAQ: ), the report said.

Tokyo aims to use the offer as a “negotiating card” to address the U.S. trade deficit with Japan, which currently stands at approximately 10 trillion yen, the Asahi said.

Nvidia, which commands about 80% of the data center semiconductor market, is a key supplier in the proposal, according to the report.

The plan also includes support for bolstering the U.S.-Japan semiconductor supply chain through domestic production of wafers and chemicals, critical for chip manufacturing. Both countries view these efforts as vital for economic security amid geopolitical tensions and risks tied to overreliance on Taiwanese foundries, the report added.",https://www.investing.com/news/stock-market-news/japan-offers-to-buy-us-chips-as-part-of-tariff-negotiations-asahi-reports-4066353
NVDA,2025-05-27,17:36,"Munster previews NVIDIA’s earnings, highlights U.S. chip restrictions By Investing.com","Investing.com -- Deepwater Asset Management’s Managing Partner, Gene Munster, recently shared his insights on Nvidia (NASDAQ: )’s forthcoming earnings release, highlighting the impact of U.S. chip restrictions on China and the potential for the ongoing artificial intelligence (AI) buildout.

According to Munster, investors should expect three key takeaways from Nvidia’s earnings results for April and guidance for June. Firstly, the U.S. chip restrictions on China are likely to reduce Nvidia’s revenue by approximately $15 billion over the next three quarters. This, however, sets up easier year-on-year comparisons for calendar year 2026 (CY26) in China. Secondly, the AI expansion is still in its early stages and could partially offset the effects of the export curbs. Lastly, the revenue growth in CY26 is expected to surpass the current Street expectation of 24%.

The U.S. chip curbs are anticipated to lead to downward revisions in Street revenue growth estimates for calendar year 2025 (CY25), from the current expectation of 56% to around 40% year on year. Despite this, underlying GPU demand continues to soar, which investors are likely to view as the most significant update.

In April, the U.S. government imposed new export controls, prohibiting the shipment of high-bandwidth memory (HBM) GPUs to China, effectively sidelining Nvidia’s H20 chip. This led to a one-time $5.5 billion write-off of inventory in the April quarter. Deepwater estimates that about 25% of Nvidia’s FY25 revenue, or $50 billion in CY25, was effectively China-related. This includes $20 billion through authorized channels of H20 sales and another $30 billion going to third parties, many stationed outside of China, that supply China with Nvidia GPUs.

To regain this revenue segment, Nvidia is reportedly fast-tracking a “Blackwell-lite” chip that could ship as soon as June, adding back about $5 billion in revenue each quarter it’s in the market. For the July guide, buy-side models have already marked revenue estimates down to roughly $38 billion, down $7 billion vs. the imprint estimates of $45 billion, to reflect the U.S. curbs.

Munster also pointed out that the demand from non-China customers is exceeding expectations, indicating that the dip is temporary and tied to export paperwork, not end-market weakness. The AI infrastructure spending ramp is intact, with xAI’s ‘Colossus’ data center reportedly targeting roughly one million Blackwell GPUs, which would account for about $30–$40 billion worth of Nvidia hardware over the next two years. If this goes through, xAI alone would account for almost 8% of revenue over the next two years.

Furthermore, Apple (NASDAQ: )’s plans to close the AI gap and step up investment from its current $5 billion AI run rate could add a new 2–4% customer to Nvidia’s book. The Street calls for 56% revenue growth in CY25 and just 26% in CY26, but hyperscaler capex plans suggest CY26 growth could accelerate.

In the long term, owning Nvidia remains the cleanest way to invest in the AI buildout, according to Munster. Street revenue expectations for CY26 are roughly $245 billion, but Deepwater believes they are 10% too low, implying Nvidia trades closer to 20x forward EPS once the upward revisions flow through. If management reiterates that late in CY25, revenue will re-accelerate as additional Blackwell supply hits the channel, then the multiple on Nvidia has room to expand.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",https://www.investing.com/news/stock-market-news/munster-previews-nvidias-earnings-highlights-us-chip-restrictions-93CH-4066274
NVDA,2025-05-27,17:07,Trading Day: Japan spreads long bond relief By Reuters,"By Jamie McGeever

ORLANDO, Florida (Reuters) - TRADING DAY

Making sense of the forces driving global markets

By Jamie McGeever, Markets Columnist

Reasons to be cheerful

A tariff reprieve from U.S. President Donald Trump, a surprise bounce in U.S. consumer confidence and a slide in government bond yields sparked a rally across most markets on Tuesday, particularly U.S. assets, with Wall Street, Treasuries and the dollar all outperforming.

In my column today I look at how much the dollar may need to fall if the Trump administration is to succeed in making a significant dent in the U.S. trade deficit. More on that below, but first, a roundup of the main market moves.

If you have more time to read, here are a few articles I recommend to help you make sense of what happened in markets today. 1. Long bond blues stress the ’bedrock’: Mike Dolan 2. Japan to consider trimming super-long bond issuance,sources say 3. Japan net external assets hit record, but surrendersworld’s top creditor spot 4. Investors see worsening US deficit outlook as tax billheads to Senate 5. Brussels seeks companies’ US spending plans as Trumphails move toward talks

Today’s Key Market Moves * Wall Street has its best day in two weeks, with the S&P500 snapping a four-day losing run to gain 2% and the Nasdaqrising 2.5%. * Every sector on the rises. Consumer cyclicals leadthe way, up 3%, as investors bet on stronger growth. * Japan’s 30-year bond yield slides 16 bps, its biggestfall since August 5 last year, one of its largest ever. The40-year yield’s 25 bps fall is a record. * The 30-year U.S. Treasury yield slumps 9 bps, its biggestfall since April 4. * The rises 0.5%, driven by the greenback’s1% rise against the yen, its best day in two weeks.

Japan spreads long bond relief

Global liquidity returned to more normal levels on Tuesday as UK and U.S. markets re-opened after the long weekend, and investors mostly scooped up whatever they could get their hands on.

There were good reasons to feel bullish: President Trump extending his deadline for imposing 50% tariffs on European Union goods to July 9, relief at the long end of the Japanese Government Bond market, and a spike in U.S. consumer confidence.

There will be more back-and-forth in Trump’s tariff pronouncements in the weeks ahead, and there is a case to make that each positive turn will deliver diminishing returns for markets. The next big deadline is July 9, when Trump’s pause on his reciprocal tariffs with the rest of the world also expires.

Similarly, consumer confidence in the U.S. and elsewhere is liable to be volatile, difficult to predict amid such heightened uncertainty, and susceptible to the tariff headlines of the day.

That said, if Trump’s tariffs deliver a one-off price shock and no lasting inflationary pressure beyond that, consumer confidence may continue to improve. Economists at Citi, for example, forecast year-end inflation of 3.2%, not too much higher than the current rate of around 2.5-2.7% and well below some of the gloomier forecasts of 4% or higher.

Perhaps the most interesting market moves of the day came from Japan, where ultra-long yields clocked some of their steepest one-day falls after sources told Reuters the Ministry of Finance may consider trimming issuance of long-dated paper.

These yields had last week spiked to record highs on growing jitters about Tokyo’s deteriorating public finances and an alarming drop off in investor demand. Tuesday’s rally in JGBs spread to long-dated U.S. bonds, which have also come under heavy selling pressure on concerns about Washington’s fiscal indiscipline and drawn weak demand at auction too.

Analysts at Morgan Stanley on Monday recommended going outright long on 10-year Japanese Government Bonds at 1.505%, which was the yield’s high that day. But they remain more cautious on the long end, despite Tuesday’s rebound.

A more ""lasting solution"" to the recent market turbulence, they argue, will require an increase in Bank of Japan purchases or less supply from the Ministry of Finance. Or both.

Looking ahead to Wednesday, the global session will kick off with an expected interest rate cut in New Zealand, span a 40-year bond auction in Japan and a five-year note sale in the United States, and wrap up with chipmaker Nvidia (NASDAQ: )’s quarterly earnings after the Wall Street close.

Historic dollar fall needed to eliminate US trade deficit

If the United States is to significantly reduce or, whisper it, eliminate its trade deficit, the dollar will probably have to weaken a lot. How much is unclear, though, as history shows large dollar declines are rare and have unpredictable consequences for trade.

Reducing the U.S. trade deficit is the key goal of Trump’s economic agenda because he believes it reflects decades of other countries ""ripping off"" America to the tune of hundreds of billions of dollars annually.

Stephen Miran, chair of the Council of Economic Advisers, published a paper in November titled ""A User’s Guide to Restructuring the Global Trading System"" in which he argued that the dollar is ""persistently over-valued"" from a trade perspective. ""Sweeping tariffs and a shift away from strong dollar policy"" could fundamentally reshape the global trade and financial systems.

If a weaker exchange rate is the Trump administration’s goal, it is on the right track, with the greenback down nearly 10% this year on the back of growing concerns over Washington’s fiscal trajectory and policy credibility, as well as the end of ""U.S. exceptionalism"" and the ""safe haven"" status of Treasuries.

But it is good to remember that a 15% fall in the dollar during Trump’s first term had no impact on the trade deficit, which remained between 2.5% and 3.0% of GDP until the pandemic. Making a dent in the U.S. deficit will therefore require a much bigger move.

WEIGHT OF HISTORY

Reducing the trade deficit will be a challenge, eliminating it without a recession, a historic feat. The United States has run a persistent deficit for the past half-century, as insatiable consumer demand has sucked in goods from around the world and voracious appetite for U.S. assets from overseas has kept capital flowing stateside.

The only exception was in the third quarter of 1980, when the U.S. posted a slender trade surplus of 0.2% of GDP, and trade with the rest of the world almost briefly balanced in 1982 and 1991-92.

But these periods all coincided with - or were the result of - sharp slowdowns in U.S. economic activity that ultimately ended in recession. As growth shrank, import demand slumped and the trade gap narrowed.

The dollar only played a significant role in one of them. In 1987, the trade gap was a then-record 3.1% of GDP. But it had almost disappeared by the early 1990s, largely because of the dollar’s 50% devaluation from 1985-87, its biggest-ever depreciation.

That three-year decline was accelerated by the Plaza Accord in September 1985, a coordinated response between the world’s economic powers to weaken the dollar following its parabolic rise in the first half of the 1980s.

But that does not mean large depreciations always coincide with reductions in the trade deficit.

The dollar’s second-largest decline was a 40% fall between 2002 and mid-2008, just before Lehman Brothers collapsed. But the U.S. trade deficit actually widened throughout most of that period, peaking at a record 6% of GDP in 2005. While it had shrunk by more than three percentage points by 2009, that was due more to plunging imports during the Great Recession than the exchange rate.

These two episodes of deep, protracted dollar depreciation stand out because over the past 50 years, the dollar index has only had two other declines exceeding 20%, in 1977-78 and the early 1990s, and a few other slides of 15-20%. None of these had any discernible impact on the U.S. trade balance.

DEFICIT TO ’VANISH’?

The U.S. administration is correct that the dollar is historically strong today by several broad measures. Given that Trump and Treasury Secretary Scott Bessent seem intent on rebalancing global trade, pressure on the greenback looks unlikely to lift any time soon.

But how much would the dollar have to fall to whittle away the yawning trade deficit, which last year totaled $918 billion, or 3.1% of GDP?

Hedge fund manager Andreas Steno Larsen reckons a 20%-25% depreciation over the next two years would see the deficit ""vanish,"" while Deutsche Bank’s Peter Hooper thinks a 20%-30% depreciation could be enough to ""eventually"" narrow the deficit by about 3% of GDP.

""This means that a significant reversal of the roughly 40% appreciation of the dollar in real (price-adjusted) terms against a broad set of currencies since 2010 could be sufficient to get the current deficit back to a zero balance,"" Hooper wrote last week.

History suggests this may be challenging without a severe economic slowdown. But that’s a risk the administration seems prepared to accept.

What could move markets tomorrow? * Australia CPI inflation (April) * New Zealand interest rate decision * Taiwan GDP (Q1, revised) * India industrial production (April) * Germany unemployment (April) * U.S. 5-year note auction * New York Fed President John Williams speaks at BOJ-hostedconference in Tokyo * Nvidia quarterly earnings after the closing bell

Opinions expressed are those of the author. They do not reflect the views of Reuters News, which, under the Trust Principles, is committed to integrity, independence, and freedom from bias.

(By Jamie McGeever; Editing by Bill Berkrot)",https://www.investing.com/news/economy-news/trading-day-japan-spreads-long-bond-relief-4066219
NVDA,2025-05-27,16:41,Nvidia suppliers ramp up AI server production after technical snag,"Investing.com -- NVIDIA (NASDAQ: ) suppliers, including industry leaders like Foxconn (SS: ), Inventec, Dell (NYSE: ), and Wistron, have overcome technical challenges that previously delayed shipments of Nvidia’s flagship AI data center racks, the Financial Times reported on Tuesday. This development marks a significant stride in the company’s efforts to enhance its global sales initiatives.

The technical issues, which arose toward the end of last year, had impeded the production of the highly anticipated ""Blackwell"" AI servers. These servers are expected to substantially boost computing power for training and utilizing large language models, a promise made by Nvidia’s CEO, Jensen Huang, upon the product’s announcement last year.

The resolution of these technical difficulties is a welcome relief for Nvidia, as it aims to meet its ambitious annual sales targets. The suppliers’ breakthroughs have enabled the commencement of shipments, which is likely to contribute positively to the company’s performance.

Nvidia’s Blackwell AI servers are part of a broader strategy to solidify the chipmaker’s position in the rapidly growing field of artificial intelligence. The successful deployment of these servers is crucial for the company to maintain its competitive edge and fulfill the expectations set by its leadership.

This latest advancement underscores Nvidia’s resilience in addressing production challenges and reaffirms its commitment to delivering cutting-edge technology solutions to its customers. As shipments begin, the market is watching closely to see how this will translate into financial performance for the semiconductor giant in the coming quarters.

All eyes are on NVIDIA ahead of earnings on Wednesday after the close. Shares of the AI leader closed up 3.2% on Tuesday and are up 25% over the last month, as tariff and DeepSeek fears have subsided.",https://www.investing.com/news/stock-market-news/nvidia-suppliers-ramp-up-ai-server-production-after-technical-snag--ft-4066110
NVDA,2025-05-27,16:30,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.78% By Investing.com,"Investing.com – U.S. stocks were higher after the close on Tuesday, as gains in the , and sectors led shares higher.

At the close in NYSE, the rose 1.78%, while the index added 2.05%, and the index added 2.47%.

The best performers of the session on the were Nike Inc (NYSE: ), which rose 4.68% or 2.81 points to trade at 62.83 at the close. Meanwhile, NVIDIA Corporation (NASDAQ: ) added 3.21% or 4.21 points to end at 135.50 and American Express Company (NYSE: ) was up 2.99% or 8.52 points to 293.74 in late trade.

The worst performers of the session were Boeing Co (NYSE: ), which fell 0.67% or 1.37 points to trade at 201.00 at the close. Unitedhealth Group (NYSE: ) declined 0.19% or 0.57 points to end at 295.00 and Coca-Cola Co (NYSE: ) was up 0.01% or 0.01 points to 71.78.

The top performers on the S&P 500 were Hologic Inc (NASDAQ: ) which rose 14.54% to 62.17, Deckers Outdoor Corporation (NYSE: ) which was up 7.83% to settle at 108.96 and Tesla Inc (NASDAQ: ) which gained 6.90% to close at 362.75.

The worst performers were Fair Isaac Corporation (NYSE: ) which was down 11.26% to 1,503.62 in late trade, VeriSign Inc (NASDAQ: ) which lost 3.68% to settle at 269.48 and AutoZone Inc (NYSE: ) which was down 3.42% to 3,695.66 at the close.

The top performers on the NASDAQ Composite were Wheeler Real Estate Investment Trust Inc (NASDAQ: ) which rose 604.73% to 5.13, Sharplink Gaming Ltd (NASDAQ: ) which was up 430.36% to settle at 35.64 and Imunon Inc (NASDAQ: ) which gained 92.25% to close at 2.23.

The worst performers were Rocket Pharmaceuticals Inc (NASDAQ: ) which was down 62.84% to 2.33 in late trade, Jeffs Brands Ltd Unit (NASDAQ: ) which lost 46.71% to settle at 0.41 and Patriot National Bancorp Inc (NASDAQ: ) which was down 36.48% to 3.43 at the close.

Rising stocks outnumbered declining ones on the New York Stock Exchange by 2322 to 467 and 51 ended unchanged; on the Nasdaq Stock Exchange, 2303 rose and 1034 declined, while 101 ended unchanged.

Shares in Rocket Pharmaceuticals Inc (NASDAQ: ) fell to all time lows; losing 62.84% or 3.94 to 2.33. Shares in Sharplink Gaming Ltd (NASDAQ: ) rose to 52-week highs; rising 430.36% or 28.92 to 35.64. Shares in Jeffs Brands Ltd Unit (NASDAQ: ) fell to all time lows; falling 46.71% or 0.35 to 0.41.

The , which measures the implied volatility of S&P 500 options, was down 7.78% to 18.97.

Gold Futures for August delivery was down 1.87% or 63.33 to $3,331.17 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.62% or 0.38 to hit $61.15 a barrel, while the August Brent oil contract fell 0.47% or 0.30 to trade at $63.82 a barrel.

EUR/USD was down 0.48% to 1.13, while USD/JPY rose 1.04% to 144.32.

The US Dollar Index Futures was up 0.62% at 99.48.",https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-178-4066077
NVDA,2025-05-27,16:26,NVIDIA suppliers said to resolve AI ‘rack’ issues,"Risk Disclosure: Trading in financial instruments and/or cryptocurrencies involves high risks including the risk of losing some, or all, of your investment amount, and may not be suitable for all investors. Prices of cryptocurrencies are extremely volatile and may be affected by external factors such as financial, regulatory or political events. Trading on margin increases the financial risks.

Before deciding to trade in financial instrument or cryptocurrencies you should be fully informed of the risks and costs associated with trading the financial markets, carefully consider your investment objectives, level of experience, and risk appetite, and seek professional advice where needed.

Fusion Media would like to remind you that the data contained in this website is not necessarily real-time nor accurate. The data and prices on the website are not necessarily provided by any market or exchange, but may be provided by market makers, and so prices may not be accurate and may differ from the actual price at any given market, meaning prices are indicative and not appropriate for trading purposes. Fusion Media and any provider of the data contained in this website will not accept liability for any loss or damage as a result of your trading, or your reliance on the information contained within this website.

It is prohibited to use, store, reproduce, display, modify, transmit or distribute the data contained in this website without the explicit prior written permission of Fusion Media and/or the data provider. All intellectual property rights are reserved by the providers and/or the exchange providing the data contained in this website.

Fusion Media may be compensated by the advertisers that appear on the website, based on your interaction with the advertisements or advertisers.",https://www.investing.com/news/pro/nvidia-suppliers-said-to-resolve-ai-rack-issues--ft-432SI-4066040
