publish_date,publish_time,title,body_text,url
2025-05-28,03:10,sell Nvidia ahead of earnings? Here’s what our AI model says By Investing.com,"Investing.com -- The moment the market has been holding its breath for is finally upon us. Today, after the market closes, AI powerhouse (NASDAQ: ) is set to report its fiscal Q126 earnings amid conflicting signals.

On the one hand, rising US export curbs due to high commercial tensions with China, as well as dwindling sales in the country, could weigh on the stock. On the other hand, however, a fairly low expectation in comparison to past quarters will likely leave the giant’s top and bottom lines within reach.

Against the volatile backdrop, we turned to our proprietary AI model for stock picking - available exclusively for InvestingPro members for less than $10 a month - for clues on whether it might be time to buy the stock ahead of its bombastic earnings report.

In fact, those who followed our AI’s picks since its launch in 2023 notched a game-changing 226.7% gain on Nvidia stock alone in the period that spanned from November 2023 to December 2024.

The stock was then dropped from our AI’s list in December and went on to move sideways for a full quarter, shedding -1.9% since.

During that period, our AI flagged other buys instead, which helped our users notch a massive 96.7% since launch, nearly doubling their money in less than two years and outpacing the broader by 57.96%.

Some of these other picks that rallied while Nvidia stalled are:

Microchip Technology (NASDAQ: ): 27.62%

Walt Disney Company (NYSE: ): 23.73%

MKS Instruments (NASDAQ: ): 22.79%

Axcelis Technologies (NASDAQ: ): 21.50%

Just to name a few...

Global investors also got their fair share of gains during the period, with names such as:

Thyssenkrupp (OTC: ) (Germany): 149.7%

Indra Sistemas (BME: ) SA (OTC: ): 112.18%

Iveco (BIT: ) (Italy): 96.47%

Now, with Nvidia earnings set for release tonight, our AI’s answer to whether this is the right time to buy the stock is not yet, for Nvidia is not part of our latest list of stock picks for May.

Does this mean that the stock will not do well in its earnings?

Well, not necesarily. What it really implies is that, according to a compilation of more than 150 investment-grade models, our AI found 15 other better bets for the month based on their fundamentals and chose them instead, signaling a better risk-return proposition for these stocks.

Subscribe here to see the full list of stocks now for less than $10 through this link.

*Already a Pro member? Then, jump straight to the picks here.

With the list for June on its way in just a few days, a good report on the fundamental side could also turn our AI model’s favor to the stock again.

Pro members get these picks first, with notifications on the first trading day of each month.

But how does our AI model actually work?

At the start of each month, our AI refreshes each strategy with up to 20 stock picks. These selections are based on a blend of more than 150 well-established financial models.

Some stocks are added, others stay on, and a few are dropped, reflecting how the AI evaluates their medium-term growth potential.

Performance is then tracked using equal weighting across all the stocks in the strategy. You don’t have to mirror that weighting exactly, but it gives a clear picture of how effective the model is at identifying opportunity across the board.

At the end of the day, stock picking is still a game of probabilities. But the key isn’t just finding winners—it’s knowing when to move on from the ones that no longer stack up.

Since launch, the model has done just that—delivering more than a few standout success stories along the way.

In fact, our backtests suggest that investors who follow the strategies over the long run will get even better results. See below:

Source: ProPicks

This means a $100K principal in our strategy would have turned into an eye-popping $2,168,000 by now.

And with the next monthly update for June right around the corner, now would be the perfect time to subscribe to InvestingPro and give yourself the upper hand before it’s too late.",https://www.investing.com/news/stock-market-news/is-it-time-to-buysell-nvidia-ahead-of-earnings-heres-what-our-ai-model-says-4066634
2025-05-28,01:51,Bitcoin price today: steady at $109k amid legislative support at 2025 conference By Investing.com,"Investing.com-- held steady on Wednesday, remaining supported slightly below its recent record high, as investors closely monitored developments from the ongoing Bitcoin 2025 conference in Las Vegas.

The world’s largest cryptocurrency was largely unchanged at $109,030.20 as of 01:41 ET (05:41 GMT).

The token surged to a record high of nearly $112,000 on Thursday last week, but gave some of the gains amid profit-booking and whale trades at peak levels.

Prices were supported near record highs amid regulatory cheer and optimism over increased institutional adoption.

Bitcoin 2025 Conference signals strategic support

The cryptocurrency hovered near its recent record high, buoyed by significant policy announcements and legislative endorsements at the Bitcoin 2025 Conference, which started a day earlier.

At the conference, Bo Hines, the White House Digital Assets Advisor, emphasized the administration’s commitment to Bitcoin, referring to it as ""digital gold."" Hines stated that the U.S. government has no intention of selling its Bitcoin holdings and aims to accumulate more through strategic reserves.

Senator Cynthia Lummis also made headlines by announcing that President Donald Trump supports the BITCOIN Act, a bill proposing the acquisition of up to 1 million BTC over five years.

The legislation, set to be introduced to the Senate floor next week, seeks to formalize the establishment of a Strategic Bitcoin Reserve, initially funded by Bitcoin seized in federal cases.

These developments come in the wake of President Trump’s March 6 executive order, which established the Strategic Bitcoin Reserve and the U.S. Digital Asset Stockpile.

The Bitcoin 2025 conference has attracted significant attention, with industry leaders and policymakers discussing the future of digital assets.

The event’s high-profile announcements have contributed to Bitcoin’s price stability, as investors anticipate increased institutional adoption and government support for the cryptocurrency.

This year’s edition is expected to be the largest to date, drawing over 30,000 attendees, featuring more than 400 speakers, and involving 5,000 participating companies.

Crypto price today: Most altcoins subdued in line with Bitcoin

Most altcoins also saw marginal moves, tracking the tepid performance in the biggest cryptocurrency.

World no.2 crypto rose 2.6% to $2,637.52.

World no. 3 crypto edged 0.4% higher to $2.3060.

was up 0.7% lower, while and were largely muted.

Among meme tokens, edged down 0.2%, while gained 0.5%.",https://www.investing.com/news/cryptocurrency-news/bitcoin-price-today-steady-at-109k-amid-legislative-support-at-2025-conference-4066526
2025-05-28,00:18,Nvidia Asian suppliers advance ahead of Q1 earnings By Investing.com,"Investing.com-- Shares of Nvidia’s Asian suppliers rose on Wednesday, as investors positioned for strong first-quarter earnings from the artificial intelligence major, which also acts as a bellwether for the tech industry.

Chipmakers and chip-adjacent stocks were the top gainers, with South Korea’s Samsung Electronics Co Ltd (KS: ) and SK Hynix Inc (KS: )- who supply Nvidia (NASDAQ: ) with memory chips- up 3.2% and 2.8%, respectively.

Japanese semiconductor testing equipment maker Advantest Corp. (TYO: ) added 1.4%, while Taiwan’s TSMC (TW: ) (NYSE: ) rose 0.5%. Hon Hai Precision Industry Co Ltd (TW: ) (Foxconn), which assembles Nvidia’s chipsets, moved in a flat-to-low range.

Gains in Nvidia’s suppliers tracked an over 3% jump in the firm’s shares on Tuesday, as it and broader tech stocks courted increased bids on improving risk appetite.

Nvidia is forecast to log earnings per share of $0.893 on revenue of $43.12 billion for the three months to April 31, both up substantially from last year, Investing.com data showed.

The company is expected to have benefited greatly from sustained demand as Wall Street’s so-called AI hyperscalers continued to pour billions into data centers and cloud infrastructure.

Focus will be squarely on Nvidia’s outlook, especially as the company grapples with stricter U.S. controls on sales to China. A shift towards AI inference from training, which is less data intensive, as well as increased interest in less demanding AI models, also stand to dampen future chip demand.

Nvidia’s shares have tended to underperform after the company’s earnings over the past three quarters, with its revenue or outlook usually missing some lofty expectations. This underperformance has also spilled over into shares of Nvidia’s suppliers in the past, with markets usually volatile in the run-up and aftermath of Nvidia’s earnings.

Broader Asian tech stocks advanced on Wednesday, tracking overnight gains in their U.S. peers as markets awaited Nvidia’s earnings. Easing U.S. Treasury yields, after a sharp run-up in recent weeks, also aided tech.",https://www.investing.com/news/stock-market-news/nvidia-asian-suppliers-advance-ahead-of-q1-earnings-4066467
2025-05-27,22:52,Asia stocks rise tracking Wall St gains; Tech upbeat before Nvidia earnings By Investing.com,"Investing.com-- Most Asian stocks rose on Wednesday tracking a strong overnight session on Wall Street, as investors cheered President Donald Trump’s postponement of steep trade tariffs against Europe.

Technology stocks led gains for the day, buoyed by stellar earnings from China’s Xiaomi (OTC: ) (HK: ), and as investors piled into the sector before earnings from artificial intelligence major NVIDIA Corporation (NASDAQ: ), which are due later today.

Gains in Asian markets came tracking a sharp overnight jump in Wall Street, as investors also cheered some signs of stability in the bond market. U.S. stock index futures were flat in regional trade, with steady around 5,934.0 points after the surged over 2%.

Some regional markets also lagged, with Australian shares rising marginally after a strong consumer inflation print.

Chinese shares moved in a flat-to-low range as weak earnings from ecommerce giant PDD Holdings (NASDAQ: ) added to concerns over sustained deflation and weak consumer spending in the country.

Tech stocks advance with Nvidia earnings in focus

Japan’s rose 0.6%, while South Korea’s rallied 1.8% to a nine-month high on outsized gains in technology stocks.

Japan’s Advantest Corp. (TYO: )- an Nvidia supplier- rose 2.2%, while South Korea’s SK Hynix Inc (KS: ) and Samsung Electronics Co Ltd (KS: ), who both supply Nvidia with memory chips– rose 2.7% and 3.3%, respectively.

Taiwan’s TSMC (TW: ) and Hon Hai Precision Industry Co Ltd (TW: ) (Foxconn) rose about 0.5% each.

Investors were seen piling into tech, especially in chipmakers and AI-tangential stocks, as they positioned for a strong earnings print from Nvidia.

The AI major is set to report earnings after the U.S. close on Wednesday, and is forecast to clock strong earnings and revenue growth, as it continued to benefit from outsized spending on AI infrastructure, especially by major U.S. companies.

But focus will be on Nvidia’s outlook on AI demand and China, especially as the company grapples with stricter U.S. restrictions on chip exports to Beijing.

China shares lag, deflation concerns outweigh strong Xiaomi earnings

China’s and indexes fell marginally, while Hong Kong’s shed 0.3%.

Concerns over Chinese deflation and weak consumer spending came to fore this week following weak earnings from ecommerce major PDD. The company’s first-quarter profit nearly halved as local sales suffered from heightened competition and weak spending, while its international business, specifically budget marketplace Temu, was hit by heightened uncertainty over U.S. trade tariffs.

PDD’s weak print comes just a week after ecommerce major Alibaba’s earnings underwhelmed.

Concerns over deflation largely offset a strong showing from Xiaomi, which clocked a record first quarter profit. Xiaomi’s shares rose 1.6% in Hong Kong trade.

Broader Asian markets mostly advanced, although gains were limited in several markets. Australia’s rose 0.2%, lagging its regional peers as mildly stronger than expected raised some doubts over when the Reserve Bank of Australia will cut interest rates next.

Singapore’s index rose 0.4%, while Japan’s index rose 0.5%.

for India’s index fell 0.1%, pointing to a weaker open for the index as it struggled to make headway above 25,000 points.",https://www.investing.com/news/stock-market-news/asia-stocks-rise-tracking-wall-st-gains-tech-upbeat-before-nvidia-earnings-4066438
2025-05-27,20:39,"Trump says Golden Dome to cost Canada $61 bln, but free if it gives up sovereignty By Investing.com","Investing.com-- U.S. President Donald Trump said on Tuesday that it would cost Canada $61 billion to be part of his proposed “Golden Dome” missile defense system, but that it would be free if the country became the 51st U.S. state.

“I told Canada, which very much wants to be part of our fabulous Golden Dome System, that it will cost $61 Billion Dollars if they remain a separate, but unequal, Nation, but will cost ZERO DOLLARS if they become our cherished 51st State,” Trump said in a post on Truth.social, claiming that Canada was “considering the offer.”

Trump’s comment comes after Canadian Prime Minister Mark Carney last week expressed some interest in investing in the Golden Dome project, which is slated to cost about $175 billion.

Trump’s comments on Canada’s sovereignty are the latest in the president’s claims that Canada could become the 51st U.S. state- a claim that has been categorically rejected by Canada.

A spokesperson for Carney reiterated the country’s sovereignty, according to a comment carried by the Financial Times.

Canada and the U.S. already have a defense agreement– the North American Aerospace Defense Command (NORAD), which includes measures to detect ballistic missile attacks.

Trump’s proposed Golden Dome system plans to establish interceptors in space to protect the U.S. against advanced threats such as intercontinental ballistic missiles, hypersonic missiles, and long-range cruise missiles.

Trump has vowed to complete the project by the end of his term.",https://www.investing.com/news/economy-news/trump-says-golden-dome-to-cost-canada-61-bln-but-free-if-it-gives-up-sovereignty-4066382
2025-05-27,20:35,"Elon Musk must face lawsuit over his role in DOGE under Trump, judge says By Investing.com","Investing.com-- A federal judge said on Tuesday that a lawsuit brought by 14 U.S. states challenging the legality of Elon Musk’s role in the Department of Government Efficiency (DOGE) under President Donald Trump may proceed.

The suit alleges that Tesla (NASDAQ: ) CEO Musk, classified as a “special Government employee,” functioned as a de facto principal officer of DOGE, an agency created by executive order without congressional authorization, and wielded sweeping authority over federal spending, personnel, and regulations.

The plaintiffs claimed Musk and DOGE unilaterally dismantled agencies, terminated federal contracts, and accessed sensitive systems in violation of the Constitution’s Appointments Clause, the judge stated in a court filing.

In a 42-page opinion, Judge Tanya S. Chutkan denied the defendants’ motion to dismiss the case against Musk and DOGE, allowing the states’ ultra vires claims to move forward. The court found the DOGE entity lacked a statutory or constitutional basis and that Musk’s alleged conduct exceeded lawful bounds.

However, the court dismissed claims against Trump in his official capacity, citing established precedent barring courts from enjoining the president’s discretionary duties.",https://www.investing.com/news/economy-news/elon-musk-must-face-lawsuit-over-his-role-in-doge-under-trump-judge-says-4066381
2025-05-27,20:07,US stock futures steady with Nvidia earnings in focus By Investing.com,"Investing.com-- U.S. stock index futures rose slightly on Tuesday evening with focus squarely on earnings from artificial intelligence major Nvidia, with sentiment upbeat on some trade tariff deescalation and positive consumer data.

Futures steadied after a stellar session on Wall Street, as investors cheered President Donald Trump’s delaying of steep trade tariffs against the European Union, while stronger-than-expected consumer confidence data pointed to resilience in the economy.

Technology stocks also courted heavy buying before Nvidia’s earnings, which are likely to act as a bellwether for the sector. Analysts expect another strong quarter from the chipmaker.

rose 0.1% to 5,939.75 points, while rose 0.1% to 21,476.75 points by 19:14 ET (23:14 GMT) rose 0.1% to 42,465.0 points.

Nvidia Q1 earnings awaited for more AI cues; shares surge

NVIDIA Corporation (NASDAQ: ) is set to report its first-quarter earnings after the bell on Wednesday, with analysts expecting a strong print.

Shares of the AI major surged 3.2% on Tuesday and were flat in after-hours trade.

Nvidia is forecast to post earnings per share of $0.893 on revenue of $43.12 billion for the three months to April 30, both up substantially from last year, Investing.com data showed.

The chipmaker is expected to have benefited from outsized domestic demand, especially as its biggest customers– Wall Street’s so-called AI hyperscalers– continued spending billions on building more data center capacity.

But focus will be on Nvidia’s outlook, which is likely to set the tone for the tech industry going forward in 2025. Investors will also be watching for comments on Nvidia’s China sales, as the company grapples with more U.S. export controls and increased competition in the country.

CEO Jensen Huang recently criticized the U.S. export restrictions, calling them a ""failure,"" and also forecast China becoming a $50 billion market in the coming years.

Wall St rises on Trump tariff delay, strong consumer sentiment

Wall Street clocked strong gains on Tuesday, after Trump’s delaying of 50% tariffs against the EU boosted risk appetite. Trump’s move– which is another instance of the president flip-flopping on his tariff plans– spurred bets that he will not deliver on his agenda of imposing steep reciprocal trade tariffs in July.

Sentiment was also boosted by substantially stronger than expected data for May, which rebounded after five months of declines.

The rebound also comes following a deescalation in trade tensions between the U.S. and China, and as Trump’s administration attempts to reach trade deals with several major economies.

The rose 2.1% to 5,921.54 points, while the surged 2.5% to 19,199.16 points on Tuesday. The rose 1.8% to 42,343.65 points.",https://www.investing.com/news/stock-market-news/us-stock-futures-steady-with-nvidia-earnings-in-focus-4066366
2025-05-27,16:41,Nvidia suppliers ramp up AI server production after technical snag,"Investing.com -- NVIDIA (NASDAQ: ) suppliers, including industry leaders like Foxconn (SS: ), Inventec, Dell (NYSE: ), and Wistron, have overcome technical challenges that previously delayed shipments of Nvidia’s flagship AI data center racks, the Financial Times reported on Tuesday. This development marks a significant stride in the company’s efforts to enhance its global sales initiatives.

The technical issues, which arose toward the end of last year, had impeded the production of the highly anticipated ""Blackwell"" AI servers. These servers are expected to substantially boost computing power for training and utilizing large language models, a promise made by Nvidia’s CEO, Jensen Huang, upon the product’s announcement last year.

The resolution of these technical difficulties is a welcome relief for Nvidia, as it aims to meet its ambitious annual sales targets. The suppliers’ breakthroughs have enabled the commencement of shipments, which is likely to contribute positively to the company’s performance.

Nvidia’s Blackwell AI servers are part of a broader strategy to solidify the chipmaker’s position in the rapidly growing field of artificial intelligence. The successful deployment of these servers is crucial for the company to maintain its competitive edge and fulfill the expectations set by its leadership.

This latest advancement underscores Nvidia’s resilience in addressing production challenges and reaffirms its commitment to delivering cutting-edge technology solutions to its customers. As shipments begin, the market is watching closely to see how this will translate into financial performance for the semiconductor giant in the coming quarters.

All eyes are on NVIDIA ahead of earnings on Wednesday after the close. Shares of the AI leader closed up 3.2% on Tuesday and are up 25% over the last month, as tariff and DeepSeek fears have subsided.",https://www.investing.com/news/stock-market-news/nvidia-suppliers-ramp-up-ai-server-production-after-technical-snag--ft-4066110
2025-05-27,08:32,25% tariff not enough to push Apple to reshore iPhone production,"Investing.com -- A 25% tariff on iPhones imported into the United States is unlikely to drive Apple (NASDAQ: ) to reshore its production, according to Morgan Stanley analysts.

“While ‘time to market’ of a U.S.-produced iPhone is one major impediment, our math says a 25% tariff on iPhone imports isn’t enough incentive for Apple to reshore U.S.-bound iPhone production,” the analysts wrote.

They estimate it would take “a minimum of 2+ years, and several billions” to build new iPhone assembly plants in the U.S.

President Trump reignited tariff concerns last week, threatening a 25% import tax on iPhones.

The move appeared to be a response to Apple’s continued shift of U.S.-bound iPhone assembly to India, away from China.

However, Morgan Stanley said the economics still favor overseas manufacturing. “A U.S.-produced iPhone would be 35% more expensive than a China/India-produced iPhone, much more than the 4-6% price hike needed to offset a 25% import tariff,” the note said.

The bank believes Apple’s defiance could come at a cost. “CEO Tim Cook’s status with the current administration deteriorates from here,” Morgan Stanley warned, adding that Apple now risks further tariff escalation. “Is a 50% tariff enough to shift production to the U.S.?” the bank asked.

The firm noted that it has already factored in 10-30% tariffs on all U.S.-bound imports beyond the June quarter and estimates the proposed 25% smartphone tariff would only reduce Apple’s FY26 EPS by about 11 cents.

Despite the pressure, Morgan Stanley believes Apple could neutralize the threat with further U.S. investment, as part of its previously announced $500 billion commitment.",https://www.investing.com/news/stock-market-news/25-tariff-not-enough-to-push-apple-to-reshore-iphone-production--morgan-stanley-4064984
2025-05-27,08:23,JPM highlights top 6 European investment ideas for next 12–18 months By Investing.com,"Investing.com -- JPMorgan has laid out its top six investment ideas in Europe over the next 12 to 18 months, highlighting a range of sectors it expects to benefit from structural and policy-driven shifts.

First, the Wall Street giant’s strategists, led by Mislav Matejk,a maintain a bullish stance on European defense, citing “increased Defense spending, where European countries are set to shift from an average 2% Defense spending as a share of GDP towards 3.5% later this decade.”

While the group’s valuations appear stretched after strong recent gains, the strategists believe “earnings will deliver” and continue to view the sector as a structural buy.

The second opportunity is linked to Germany’s €500 billion infrastructure fund, which JPMorgan expects to support names across construction materials, industrials, and transportation.

The fund, set to be spent over 12 years, is seen as a key fiscal stimulus driver. Stocks in JPMorgan’s “Germany Whatever It Takes” basket are viewed as well-positioned to benefit from the rollout.

The basket includes stocks such as Siemens (ETR: ), UniCredit SpA (BIT: ), Rheinmetall (ETR: ), Vinci (EPA: ), Siemens Energy AG (ETR: ), and dozens of other stocks.

JPMorgan’s third idea centers on financials. While tactically cautious on banks due to falling rates, the bank sees medium-term upside driven by improving balance sheets, credit flow recovery, and declining cost of equity.

Insurance is also favored, with analysts staying Overweight on this subsector in the medium term, despite short-term valuation concerns.

The fourth theme focuses on beneficiaries of lower energy prices, especially in the chemicals sector. JPMorgan highlights that “chemicals are the only one of the EM-exposed Cyclicals which are starting to perform less poorly,” and reiterates its overweight stance made earlier this year.

Utilities and Telecoms make up the fifth category. JPMorgan sees opportunities in stocks offering high dividend yields, benefiting from higher grid spending and cash flow improvements.

“Our analysts are positive on RWE (LON: ), National Grid (LON: ), and Engie SA (EPA: ),” the note says, while Deutsche Telekom (ETR: ) and Orange SA (EPA: ) are highlighted within telecoms.

Finally, JPMorgan sees value in German small caps. The index has lagged large caps for several years, but the bank believes the underperformance could reverse as fiscal stimulus and industrial exposure provide support.

“MDAX appears attractively priced relative to and is underowned,” the strategists wrote.",https://www.investing.com/news/stock-market-news/jpm-highlights-top-6-european-investment-ideas-for-next-1218-months-4064930
