ticker,publish_date,publish_time,title,url,sentiment,importance,summary,sentiment_score,weighted_score
SPX,2025-05-26,07:12,JPMorgan Announces Cash Distributions for the JPMorgan ETFs By Investing.com,https://www.investing.com/news/press-releases/jpmorgan-announces-cash-distributions-for-the-jpmorgan-etfs-93CH-4063625,Neutral,1,"JPMorgan Asset Management announced the final May 2025 cash distributions for its JEPI and JEPQ ETFs listed on the TSX. Unitholders of record on June 2, 2025, will receive the specified per-unit distributions on June 6, 2025.",0,0
SPX,2025-05-26,06:25,Is this a turning point for markets? By Investing.com,https://www.investing.com/news/stock-market-news/is-this-a-turning-point-for-markets-4063585,Neutral,5,"The article notes the market's resilience in early 2025 despite growth concerns, attributing recent stability to positive trade news and economic data surprises. However, it emphasizes mounting concerns over the U.S. fiscal trajectory and expects continued volatility, with analysts remaining defensively positioned due to sensitivity to economic data and interest rates.",0,0
SPX,2025-05-26,02:31,Take Five: Chips and trouble in bond land By Reuters,https://www.investing.com/news/economy-news/take-five-chips-and-trouble-in-bond-land-4063440,Neutral,5,"The article previews key market events for the week, focusing on Nvidia's earnings report as a test for the recent stock market rebound and highlighting rising volatility and yields in long-term government bonds due to debt concerns. It also covers upcoming global inflation data and central bank meetings that will influence monetary policy expectations.",0,0
SPX,2025-05-25,22:40,Asia stocks mixed amid Trump tariff uncertainty; Japan extends gains By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-mixed-amid-trump-tariff-uncertainty-japan-extends-gains-4063344,Neutral,5,"Asian markets showed mixed reactions to U.S. President Trump's tariff actions, with uncertainty over threats on European goods and iPhones causing varied impacts. While the postponement of European tariffs boosted U.S. futures and Japanese stocks, the threat of iPhone tariffs negatively affected Asian Apple suppliers.",0,0
SPX,2025-05-25,20:41,US stock futures jump as Trump agrees to postpone 50% EU tariffs By Investing.com,https://www.investing.com/news/stock-market-news/us-stock-futures-jump-as-trump-agrees-to-postpone-50-eu-tariffs-4063319,Positive,5,"US stock index futures rose sharply after President Trump agreed to postpone proposed 50% tariffs on the European Union until July 9. This decision offers relief to the market, which had experienced losses on Friday following the initial tariff threat. The article also notes upcoming NVIDIA earnings as another market focus.",1,5
SPX,2025-05-25,19:57,"Trump says he is not happy with Putin over Ukraine strikes, mulls new sanctions By Investing.com",https://www.investing.com/news/economy-news/trump-says-he-is-not-happy-with-putin-over-ukraine-strikes-mulls-new-sanctions-4063306,Neutral,3,U.S. President Donald Trump expressed strong dissatisfaction with Russian President Vladimir Putin following recent deadly strikes in Ukraine and stated he is considering new sanctions against Russia. This marks a shift in Trump's previous tone towards the Kremlin and comes amidst ongoing conflict and prisoner exchanges.,0,0
SPX,2025-05-25,08:59,"Nvidia earnings in focus as rising US yields, debt rattle markets By Reuters",https://www.investing.com/news/stock-market-news/nvidia-earnings-in-focus-as-rising-us-yields-debt-rattle-markets-4063190,Negative,5,"The article highlights market concerns driven by rising US Treasury yields due to increasing federal debt and renewed trade tensions, which have caused stocks to pull back. Amidst these worries, the upcoming earnings report from Nvidia, a major AI bellwether and significant influence on benchmark indexes, is seen as a key event that could potentially impact market sentiment.",-1,-5
SPX,2025-05-25,07:00,Is a U.S. government debt crisis imminent? By Investing.com,https://www.investing.com/news/economy-news/is-a-us-government-debt-crisis-imminent-4059905,Negative,5,"The article highlights escalating concerns about a potential U.S. government debt crisis, driven by factors like a Moody's downgrade, rising Treasury yields, and record national debt fueled by increased fiscal spending. While policymakers have potential tools to address the situation, market watchers are wary of bond investor reactions and the possibility of a crisis, though some analysts suggest it could force fiscal reform and present a long-term stock buying opportunity.",-1,-5
SPX,2025-05-25,04:00,UnitedHealth stock: What is the path from here? By Investing.com,https://www.investing.com/news/pro/unitedhealth-stock-what-is-the-path-from-here-432SI-4063134,Neutral,4,"The provided text consists only of the title ""UnitedHealth stock: What is the path from here?"" and standard financial risk disclaimers and legal notices. It does not contain the actual analysis or content discussing UnitedHealth's stock performance or future prospects.",0,0
SPX,2025-05-24,22:00,What can get the U.S. large-cap pharma sector to work? By Investing.com,https://www.investing.com/news/pro/what-can-get-the-us-largecap-pharma-sector-to-work-432SI-4063049,Neutral,1,"The provided text consists entirely of risk disclosures and disclaimers from the publisher, Investing.com/Fusion Media. It warns about the high risks of trading, data accuracy limitations, and intellectual property rights, but does not contain the analysis of the U.S. large-cap pharma sector suggested by the title.",0,0
