ticker,publish_date,publish_time,title,url,sentiment,importance,summary,sentiment_score,weighted_score
AMZN,2025-05-23,14:36,Amazon.com is sued over alleged sale of contaminated rice By Reuters,https://www.investing.com/news/stock-market-news/amazoncom-is-sued-over-alleged-sale-of-contaminated-rice-4062390,Negative,3,"Amazon is facing a proposed class action lawsuit alleging it sold various types of rice contaminated with high levels of arsenic and other heavy metals, based on a recent study. The lawsuit covers 18 products, including those from Amazon-owned Whole Foods' 365 brand, and seeks at least $5 million in damages for alleged consumer protection violations.",-1,-3
AMZN,2025-05-23,14:14,"Oracle to buy $40 billion of Nvidia chips for OpenAI’s US data center, FT reports By Reuters",https://www.investing.com/news/stock-market-news/oracle-to-buy-40-billion-of-nvidia-chips-for-openais-us-data-center-ft-reports-4062372,Neutral,3,"Oracle plans to spend $40 billion on Nvidia chips to power a new OpenAI data center in Texas, part of the US Stargate Project aimed at boosting domestic AI capabilities. This initiative will help OpenAI reduce dependence on Microsoft and allow Oracle to enhance its cloud computing services to better compete with market leaders.",0,0
AMZN,2025-05-23,09:19,"Amazon not seeing notable impact from tariffs yet, Q2 revenue tracking higher By Investing.com",https://www.investing.com/news/pro/amazon-not-seeing-notable-impact-from-tariffs-yet-q2-revenue-tracking-higher-4061987,Positive,5,"Amazon reports that it is not currently experiencing a significant negative impact from tariffs. Furthermore, the company's second-quarter revenue is reportedly tracking higher.",1,5
AMZN,2025-05-23,09:04,Amazon Com Inc receives Investment Bank Analyst Rating Update By Investing.com,https://www.investing.com/news/pro/da-davidson-maintains-amazoncom-at-buy-with-a-price-target-of-23000-4061961,Neutral,1,"The article title indicates that Amazon (AMZN) has received an updated rating from an investment bank analyst, as reported by Investing.com. However, the body of the article consists solely of risk disclosures and disclaimers, providing no details about the actual rating change or its specifics.",0,0
AMZN,2025-05-23,05:53,Wall St falls as Trump tariff threats spark market uncertainty By Reuters,https://www.investing.com/news/stock-market-news/us-stock-futures-flat-on-debt-worries-as-markets-mull-trumps-tax-bill-4061588,Negative,4,"US stocks experienced a significant decline on Friday and for the week, primarily due to President Trump's renewed threats of 50% tariffs on European goods and potential tariffs on Apple products. This action reignited global trade tensions, increasing market uncertainty and leading to broad losses, particularly in technology, communication services, and consumer discretionary sectors.",-1,-4
AMZN,2025-05-23,05:22,Workday Inc receives Investment Bank Analyst Rating Update By Investing.com,https://www.investing.com/news/pro/jpmorgan-maintains-workday-at-overweight-with-a-price-target-of-29500-4061513,Neutral,1,"The provided text consists of a title indicating that Workday Inc. has received an analyst rating update from an investment bank, followed by standard risk disclosures and disclaimers from the publishing platform. No details about the actual rating update (e.g., upgrade, downgrade, price target) are included.",0,0
AMZN,2025-05-23,05:00,Nike receives Investment Bank Analyst Rating Update By Investing.com,https://www.investing.com/news/pro/jefferies-maintains-nike-at-buy-with-a-price-target-of-11500-4061473,Neutral,1,"The provided text is a standard set of disclaimers from Investing.com/Fusion Media regarding trading risks, data accuracy, intellectual property, and advertising compensation. It does not contain any actual news content about Nike, analyst ratings, or any specific company.",0,0
AMZN,2025-05-22,18:12,Celebrities unite at exclusive Cannes gala to support AIDS research after Trump cuts By Reuters,https://www.investing.com/news/world-news/celebrities-unite-at-exclusive-cannes-gala-to-support-aids-research-after-trump-cuts-4061050,Neutral,1,Celebrities attended the amfAR charity dinner at the Cannes Film Festival to raise money for AIDS research. Attendees expressed concern over potential negative impacts on global health efforts due to recent U.S. funding cuts.,0,0
AMZN,2025-05-22,18:06,Disney seeks to stop YouTube from hiring veteran to oversee sports and media By Reuters,https://www.investing.com/news/stock-market-news/youtube-hires-former-disney-veteran-to-oversee-sports-and-media-4061043,Neutral,1,"Walt Disney has filed a lawsuit against Alphabet's YouTube to prevent it from hiring former Disney executive Justin Connolly as its global head of media and sports. Disney alleges breach of contract, claiming Connolly was under contract until March 2027, while YouTube seeks to leverage his expertise for its expanding media and sports initiatives.",0,0
AMZN,2025-05-22,17:35,"Ackman’s hedge fund Pershing Square bets on Amazon, exits Canadian Pacific By Reuters",https://www.investing.com/news/stock-market-news/ackmans-hedge-fund-pershing-square-bets-on-amazon-exits-canadian-pacific-4061007,Positive,4,"Billionaire investor Bill Ackman's hedge fund, Pershing Square, made a substantial investment in Amazon shares last month. The fund cited confidence in Amazon's continued earnings growth, resilience to tariffs, and management's ability to expand profit margins as reasons for the purchase.",1,4
