publish_date,publish_time,title,url,sentiment,importance,summary,sentiment_score,weighted_score
2025-05-27,10:33,US Consumer bounces back sharply in May By Investing.com,https://www.investing.com/news/economy-news/us-consumer-bounces-back-sharply-in-may-4065501,Positive,4,"Consumer confidence in the U.S. rebounded strongly in May, with significant improvements in expectations for business conditions, jobs, and income. The increase was broad-based across all demographics and political affiliations, driven largely by consumer expectations despite ongoing concerns about inflation and affordability.",1,4
2025-05-27,10:29,Eli Lilly expands pain pipeline with acquisition of SiteOne Therapeutics By Investing.com,https://www.investing.com/news/stock-market-news/eli-lilly-expands-pain-pipeline-with-acquisition-of-siteone-therapeutics-4065495,Positive,4,"Eli Lilly and Company is acquiring SiteOne Therapeutics for up to $1 billion to expand its non-opioid pain treatment pipeline. The acquisition includes STC-004, a promising Phase 2-ready Nav1.8 inhibitor, and aligns with Lilly's ambition to lead in next-generation pain therapeutics.",1,4
2025-05-27,09:41,"Lynx: Risk priced in, Nvidia could surprise to the upside By Investing.com",https://www.investing.com/news/stock-market-news/lynx-risk-priced-in-nvidia-could-surprise-to-the-upside-4065322,Positive,4,"Lynx Equity has raised its price target for Nvidia from $140 to $160, citing that risks are priced in and the company could surprise with upside earnings. The firm highlights Nvidia's resilience, new growth opportunities, and strategic moves to mitigate tariff risks.",1,4
2025-05-27,09:16,Trump Media & Technology Group Announces $2.5B BTC Treasury Deal By Investing.com,https://www.investing.com/news/cryptocurrency-news/trump-media--technology-group-announces-25b-btc-treasury-deal-432SI-4065162,Positive,5,"Trump Media & Technology Group has secured a $2.5 billion deal with institutional investors to create a Bitcoin treasury. The funds will be used to expand the company's reach and defend against financial discrimination, with the Bitcoin investment intended to support various transactions across its platforms.",1,5
2025-05-27,09:15,SoundHound shares jump as Piper Sandler starts coverage at Overweight By Investing.com,https://www.investing.com/news/stock-market-news/soundhound-shares-jump-as-piper-sandler-starts-coverage-at-overweight-4065185,Positive,4,"Piper Sandler initiated coverage on SoundHound AI with an Overweight rating and a $12 price target, highlighting the company's competitive advantage in voice-AI technology and significant market opportunities. The broker sees strong potential in quick-service restaurants and customer experience sectors, with a growing subscription-based revenue model expected to improve financial leverage.",1,4
2025-05-27,08:32,25% tariff not enough to push Apple to reshore iPhone production,https://www.investing.com/news/stock-market-news/25-tariff-not-enough-to-push-apple-to-reshore-iphone-production--morgan-stanley-4064984,Negative,4,Morgan Stanley analysts predict that a 25% tariff on iPhones will not incentivize Apple to move production to the U.S. due to economic and logistical challenges. The bank warns that Apple's defiance could lead to further tariff escalation and potential deterioration in the company's relationship with the U.S. administration.,-1,-4
2025-05-27,08:05,"Next 300 points likely up for the S&P 500, says JPMorgan By Investing.com",https://www.investing.com/news/stock-market-news/next-300-points-likely-up-for-the-sp-500-says-jpmorgan-4064865,Positive,4,"JPMorgan analysts predict that the S&P 500 is likely to rise by 300 points, attributing this bullish outlook to stable macroeconomic data, positive earnings, and a de-escalation of the trade war. The recent market pullback is viewed as a temporary correction rather than a long-term negative trend.",1,4
2025-05-27,07:54,JPMorgan shifts to bullish stance on crypto amid sector tailwinds By Investing.com,https://www.investing.com/news/cryptocurrency-news/jpmorgan-shifts-to-bullish-stance-on-crypto-amid-sector-tailwinds-4064834,Positive,4,"JPMorgan has adopted a bullish stance on digital assets, citing institutional adoption, positive policy developments, and regulatory progress as key drivers. The bank forecasts a 10% return for digital assets, the highest among alternative investments, and has upgraded them to an Overweight position.",1,4
2025-05-27,07:30,New surveys show declining interest in EVs and the Tesla brand around the world By Investing.com,https://www.investing.com/news/stock-market-news/new-surveys-show-declining-interest-in-evs-and-the-tesla-brand-around-the-world-4064783,Negative,4,"New surveys indicate a global decline in consumer interest in Tesla as a preferred electric vehicle (EV) brand, with significant drops in the U.S., China, and Europe. The decrease is attributed to brand saturation, limited vehicle options, affordability issues, and increasing competition from domestic brands. Additionally, Tesla's appeal in the U.S. is becoming more politically polarized, which may impact future sales.",-1,-4
2025-05-27,06:47,Temu owner PDD Holdings shares fall sharply on big Q1 results miss By Investing.com,https://www.investing.com/news/stock-market-news/temu-owner-pdd-holdings-shares-tank-after-big-q1-results-miss-4064614,Negative,5,"PDD Holdings Inc, owner of Temu, reported a significant miss in Q1 earnings and revenue, leading to an 18% drop in share prices. Despite investments in the platform ecosystem, the company's transaction services revenue fell short of projections.",-1,-5
2025-05-27,06:26,Citi sees up to 8% downside for Stoxx 600 on Trump tariff risk By Investing.com,https://www.investing.com/news/stock-market-news/citi-sees-up-to-8-downside-for-stoxx-600-on-trump-tariff-risk-4064531,Negative,5,"Citi analysts project a potential 7-8% drop in the Stoxx 600 index if President Trump's 50% tariff on European goods is implemented. The uncertainty surrounding trade policy has already impacted earnings estimates and market sentiment, with further declines expected if the tariffs materialize.",-1,-5
2025-05-27,04:55,What could be the impact of a 50% tariff on EU economy? By Investing.com,https://www.investing.com/news/economy-news/what-could-be-the-impact-of-a-50tariff-on-eu-economy-4064349,Negative,5,"U.S. President Donald Trump's potential 50% tariff on EU imports could severely impact eurozone growth and escalate trade tensions, according to UBS. The tariffs, if implemented, could lead to a deeper recession and trigger retaliatory measures from the EU, further complicating economic stability.",-1,-5
2025-05-27,03:20,"Higher U.S. futures, new Nvidia chip, falling Tesla sales",https://www.investing.com/news/economy-news/higher-us-futures-new-nvidia-chip-falling-tesla-sales--whats-moving-markets-4064122,Neutral,4,"U.S. stock futures rose due to the postponement of EU tariffs, Nvidia plans to launch a new AI chip in China, Tesla's European sales dropped significantly, and Bitcoin slipped from record highs.",0,0
2025-05-27,02:00,  By Investing.com,https://www.investing.com/news/cryptocurrency-news/bitcoin-price-today-rangebound-at-109k-post-record-high-2025-crypto-summit-eyed-4064028,Neutral,4,"Bitcoin is trading near record highs ahead of the Bitcoin 2025 Conference. Trump Media & Technology Group plans to raise $2.5 billion for a Bitcoin treasury, but its shares fell. Altcoins showed mixed performance.",0,0
2025-05-27,01:40,"Gold prices sink as Trump EU tariff delay spurs some risk, yields retreat By Investing.com",https://www.investing.com/news/commodities-news/gold-prices-sink-as-trump-eu-tariff-delay-spurs-some-risk-yields-retreat-4064017,Negative,4,"Gold prices fell due to a delay in U.S. tariffs on Europe, which boosted risk appetite and stabilized bond yields. Despite this, concerns over long-term tariff impacts and Fed rate decisions persist.",-1,-4
2025-05-27,00:58,"BYD shares slide further from record highs amid price cuts, competition concerns By Investing.com",https://www.investing.com/news/stock-market-news/byd-shares-slide-further-from-record-highs-amid-price-cuts-competition-concerns-4063996,Negative,4,"BYD's Hong Kong listed shares fell 3.6% due to concerns over price cuts, increasing competition, and potential margin pressure. This decline also affected other Chinese EV stocks, with rivals experiencing similar drops.",-1,-4
