publish_date,publish_time,title,url,sentiment,importance,summary,sentiment_score,weighted_score,translate
2025-05-27,10:33,US Consumer bounces back sharply in May By Investing.com,https://www.investing.com/news/economy-news/us-consumer-bounces-back-sharply-in-may-4065501,Positive,5,"US consumer confidence rebounded sharply in May, ending a five-month decline and significantly exceeding forecasts. The improvement was broad-based, driven by better expectations for business conditions, jobs, and income, as well as increased purchasing plans.",1,5,ความเชื่อมั่นผู้บริโภคของสหรัฐฯ ฟื้นตัวอย่างรวดเร็วในเดือนพฤษภาคม ยุติการลดลงต่อเนื่องห้าเดือน และสูงกว่าที่คาดการณ์ไว้อย่างมาก การปรับปรุงนี้เป็นไปในวงกว้าง โดยได้รับแรงหนุนจากความคาดหวังที่ดีขึ้นสำหรับสภาวะทางธุรกิจ การจ้างงาน และรายได้ รวมถึงแผนการซื้อที่เพิ่มขึ้น
2025-05-27,10:29,Eli Lilly expands pain pipeline with acquisition of SiteOne Therapeutics By Investing.com,https://www.investing.com/news/stock-market-news/eli-lilly-expands-pain-pipeline-with-acquisition-of-siteone-therapeutics-4065495,Positive,5,"Eli Lilly is acquiring SiteOne Therapeutics for up to $1 billion to expand its neuroscience pipeline, focusing on non-opioid pain treatments. The deal includes SiteOne's Phase 2-ready Nav1.8 inhibitor, STC-004, aimed at developing addiction-free pain therapies.",1,5,อีไล ลิลลี่ กำลังเข้าซื้อกิจการ ไซท์วัน เทอราพิวติกส์ ด้วยมูลค่าสูงสุด 1 พันล้านดอลลาร์สหรัฐ เพื่อขยายโครงการพัฒนายาด้านประสาทวิทยา โดยมุ่งเน้นไปที่การรักษาอาการปวดที่ไม่ใช่กลุ่มโอปิออยด์ ข้อตกลงนี้รวมถึง STC-004 ซึ่งเป็นสารยับยั้ง Nav1.8 ของ ไซท์วัน ที่พร้อมเข้าสู่ระยะที่ 2 ของการทดลองทางคลินิก โดยมีเป้าหมายเพื่อพัฒนายาบรรเทาอาการปวดที่ไม่ก่อให้เกิดการเสพติด
2025-05-27,09:41,"Lynx: Risk priced in, Nvidia could surprise to the upside By Investing.com",https://www.investing.com/news/stock-market-news/lynx-risk-priced-in-nvidia-could-surprise-to-the-upside-4065322,Positive,5,"Analyst firm Lynx Equity raised its price target for Nvidia and maintains a bullish stance, expecting the stock to break out to new highs after its upcoming earnings report. The firm believes previously highlighted risks are now priced in and sees potential for an upside surprise due to successful navigation of challenges, capacity expansion, new growth vectors like Edge AI, and mitigated tariff risks.",1,5,บริษัทวิเคราะห์ Lynx Equity ปรับเพิ่มราคาเป้าหมายสำหรับ Nvidia และยังคงมุมมองเชิงบวก โดยคาดการณ์ว่าราคาหุ้นจะทำสถิติสูงสุดใหม่หลังจากการประกาศผลประกอบการที่จะมาถึง บริษัทเชื่อว่าความเสี่ยงที่เคยเน้นย้ำไว้ก่อนหน้านี้ได้ถูกรวมเข้าในราคาแล้ว และมองเห็นศักยภาพสำหรับผลประกอบการที่สูงกว่าที่คาดการณ์ไว้ เนื่องจากการรับมือกับความท้าทายที่ประสบความสำเร็จ การขยายกำลังการผลิต ทิศทางการเติบโตใหม่ๆ เช่น Edge AI และความเสี่ยงจากภาษีที่ลดลง
2025-05-27,09:16,Trump Media & Technology Group Announces $2.5B BTC Treasury Deal By Investing.com,https://www.investing.com/news/cryptocurrency-news/trump-media--technology-group-announces-25b-btc-treasury-deal-432SI-4065162,Positive,5,"Trump Media & Technology Group announced a private placement offering to raise approximately $2.5 billion through the sale of common stock and convertible senior secured notes. The company plans to use the proceeds to establish a large Bitcoin treasury, viewing it as a strategic asset for financial freedom and future transactions.",1,5,ทรัมป์ มีเดีย แอนด์ เทคโนโลยี กรุ๊ป ประกาศเสนอขายหุ้นแบบเฉพาะเจาะจงเพื่อระดมทุนประมาณ 2.5 พันล้านดอลลาร์สหรัฐ ผ่านการขายหุ้นสามัญและตั๋วสัญญาใช้เงินอาวุโสแปลงสภาพที่มีหลักทรัพย์ค้ำประกัน บริษัทวางแผนที่จะนำเงินที่ได้ไปจัดตั้งคลัง Bitcoin ขนาดใหญ่ โดยมองว่าเป็นสินทรัพย์เชิงกลยุทธ์เพื่ออิสรภาพทางการเงินและธุรกรรมในอนาคต
2025-05-27,09:15,SoundHound shares jump as Piper Sandler starts coverage at Overweight By Investing.com,https://www.investing.com/news/stock-market-news/soundhound-shares-jump-as-piper-sandler-starts-coverage-at-overweight-4065185,Positive,5,"Piper Sandler initiated coverage on SoundHound AI with an Overweight rating and a $12 price target, viewing the company as a key player in the AI revolution through its voice-AI platform. Analysts highlighted growth opportunities in QSR and CX markets, the benefits of the Amelia acquisition, and the positive impact of transitioning to a subscription model, despite acknowledging challenges in the auto segment.",1,5,"ไปเปอร์ แซนด์เลอร์ เริ่มต้นให้ความคุ้มครองหุ้น SoundHound AI ด้วยเรตติ้ง ""Overweight"" และราคาเป้าหมาย 12 ดอลลาร์ โดยมองว่าบริษัทเป็นผู้เล่นหลักในการปฏิวัติ AI ผ่านแพลตฟอร์ม AI เสียง นักวิเคราะห์เน้นย้ำถึงโอกาสในการเติบโตในตลาด QSR และ CX, ประโยชน์จากการเข้าซื้อกิจการ Amelia และผลกระทบเชิงบวกจากการเปลี่ยนไปใช้รูปแบบการสมัครสมาชิก แม้จะยอมรับถึงความท้าทายในกลุ่มยานยนต์ก็ตาม"
2025-05-27,08:32,25% tariff not enough to push Apple to reshore iPhone production,https://www.investing.com/news/stock-market-news/25-tariff-not-enough-to-push-apple-to-reshore-iphone-production--morgan-stanley-4064984,Neutral,4,"Morgan Stanley analysts believe a 25% US tariff on iPhones is insufficient to incentivize Apple to move production to the US due to significantly higher costs and logistical challenges. While acknowledging political risks and potential tariff escalation, the bank estimates the financial impact of a 25% tariff on future EPS is relatively small.",0,0,นักวิเคราะห์ของมอร์แกน สแตนลีย์เชื่อว่าการเก็บภาษีนำเข้าไอโฟนจากสหรัฐฯ ในอัตราร้อยละ 25 ไม่เพียงพอที่จะจูงใจให้ Apple ย้ายฐานการผลิตไปยังสหรัฐฯ เนื่องจากต้นทุนที่สูงขึ้นอย่างมากและความท้าทายด้านโลจิสติกส์ แม้จะรับทราบถึงความเสี่ยงทางการเมืองและความเป็นไปได้ในการเพิ่มอัตราภาษี แต่ธนาคารประเมินว่าผลกระทบทางการเงินจากการเก็บภาษีร้อยละ 25 ต่อกำไรต่อหุ้นในอนาคตนั้นค่อนข้างน้อย
2025-05-27,08:05,"Next 300 points likely up for the S&P 500, says JPMorgan By Investing.com",https://www.investing.com/news/stock-market-news/next-300-points-likely-up-for-the-sp-500-says-jpmorgan-4064865,Positive,5,"JPMorgan analysts are bullish on the S&P 500, predicting a 300-point move to the upside despite a recent pullback, which they see as a temporary correction. Their positive outlook is driven by stable macro data, positive earnings, and easing trade tensions.",1,5,นักวิเคราะห์ของ JPMorgan มองบวกต่อดัชนี S&P 500 โดยคาดการณ์ว่าจะปรับตัวขึ้น 300 จุด แม้ว่าจะมีการปรับฐานลงมาในช่วงล่าสุด ซึ่งพวกเขาเห็นว่าเป็นการปรับฐานชั่วคราว มุมมองเชิงบวกของพวกเขามีปัจจัยขับเคลื่อนจากข้อมูลเศรษฐกิจมหภาคที่ทรงตัว ผลประกอบการที่เป็นบวก และความตึงเครียดทางการค้าที่คลี่คลายลง
2025-05-27,07:54,JPMorgan shifts to bullish stance on crypto amid sector tailwinds By Investing.com,https://www.investing.com/news/cryptocurrency-news/jpmorgan-shifts-to-bullish-stance-on-crypto-amid-sector-tailwinds-4064834,Positive,1,"JPMorgan has shifted to a bullish stance on digital assets, citing positive catalysts such as anticipated institutional adoption, favorable policy developments, and increasing regulatory clarity. The bank has upgraded digital assets to Overweight in its allocation model, forecasting a 10% return and viewing them as a structural component in portfolios.",1,1,"เจพีมอร์แกนปรับมุมมองเป็นเชิงบวกต่อสินทรัพย์ดิจิทัล โดยอ้างถึงปัจจัยกระตุ้นเชิงบวก เช่น การคาดการณ์การยอมรับในวงกว้างของสถาบัน การพัฒนาด้านนโยบายที่เป็นประโยชน์ และความชัดเจนด้านกฎระเบียบที่เพิ่มขึ้น ธนาคารได้ปรับเพิ่มน้ำหนักสินทรัพย์ดิจิทัลเป็น ""Overweight"" ในแบบจำลองการจัดสรรสินทรัพย์ โดยคาดการณ์ผลตอบแทน 10% และมองว่าเป็นองค์ประกอบเชิงโครงสร้างในพอร์ตการลงทุน"
2025-05-27,07:30,New surveys show declining interest in EVs and the Tesla brand around the world By Investing.com,https://www.investing.com/news/stock-market-news/new-surveys-show-declining-interest-in-evs-and-the-tesla-brand-around-the-world-4064783,Negative,5,"New surveys from UBS and Stifel indicate declining global consumer interest in EVs and the Tesla brand, with significant drops in preference across the US, China, and Europe. Factors cited include market saturation, increased competition, and political polarization in the US, although FSD progress is mentioned as a potential future positive driver.",-1,-5,ผลสำรวจใหม่จาก UBS และ Stifel บ่งชี้ว่าความสนใจของผู้บริโภคทั่วโลกในรถยนต์ไฟฟ้าและแบรนด์ Tesla ลดลง โดยมีการลดลงอย่างมีนัยสำคัญในความนิยมในสหรัฐอเมริกา จีน และยุโรป ปัจจัยที่ถูกอ้างถึง ได้แก่ ตลาดอิ่มตัว การแข่งขันที่เพิ่มขึ้น และความขัดแย้งทางการเมืองในสหรัฐอเมริกา แม้ว่าความคืบหน้าของ FSD จะถูกกล่าวถึงว่าเป็นปัจจัยขับเคลื่อนเชิงบวกในอนาคตที่อาจเกิดขึ้นได้
2025-05-27,06:47,Temu owner PDD Holdings shares fall sharply on big Q1 results miss By Investing.com,https://www.investing.com/news/stock-market-news/temu-owner-pdd-holdings-shares-tank-after-big-q1-results-miss-4064614,Negative,5,"PDD Holdings, owner of Temu, reported first-quarter earnings and revenue that significantly missed analyst expectations, despite revenue growth. Following the report, the company's shares fell sharply by over 18%.",-1,-5,PDD Holdings เจ้าของ Temu รายงานผลประกอบการและรายได้ไตรมาสแรกที่ต่ำกว่าที่นักวิเคราะห์คาดการณ์ไว้อย่างมาก แม้ว่ารายได้จะเติบโตก็ตาม หลังจากการรายงาน หุ้นของบริษัทร่วงลงอย่างรวดเร็วกว่า 18%
