ticker,publish_date,publish_time,title,url,sentiment,importance,summary,translate
news,2025-06-18,21:56,US preparing for potential Iran strike by as soon as this weekend- Bloomberg By Investing.com,https://www.investing.com/news/economy-news/us-preparing-for-iran-strike-by-as-soon-as-this-weekend-bloomberg-4102421,Negative,5,"According to Bloomberg, senior U.S. officials are preparing for a potential strike against Iran as soon as this weekend amidst ongoing conflict between Israel and Iran. This preparation signals a possible major escalation in the Middle Eastern conflict, with the U.S. also increasing its military presence in the region.",อ้างอิงจาก Bloomberg เจ้าหน้าที่ระดับสูงของ U.S. กำลังเตรียมพร้อมสำหรับการโจมตีที่อาจเกิดขึ้นต่ออิหร่านเร็วสุดภายในสุดสัปดาห์นี้ ท่ามกลางความขัดแย้งที่กำลังดำเนินอยู่ระหว่างอิสราเอลและอิหร่าน การเตรียมการนี้ส่งสัญญาณถึงการยกระดับที่สำคัญที่อาจเกิดขึ้นในความขัดแย้งในตะวันออกกลาง โดย U.S. ยังเพิ่มการปรากฏตัวทางทหารในภูมิภาคนี้ด้วย
news,2025-06-18,21:03,"Trump touts stablecoin bill progress, calls for immediate passage By Investing.com",https://www.investing.com/news/cryptocurrency-news/trump-touts-stablecoin-bill-progress-calls-for-immediate-passage-4102406,Positive,5,"Former President Trump is strongly advocating for the swift passage of the GENIUS Act, a bill regulating stablecoins that recently passed the Senate. He believes the bill will establish the U.S. as a leader in digital assets and fulfill promises for crypto-friendly regulation. The news coincided with a significant surge in the stock price of Circle, a major stablecoin operator.",อดีตประธานาธิบดี Trump กำลังสนับสนุนอย่างแข็งขันให้มีการผ่านร่างกฎหมาย GENIUS Act อย่างรวดเร็ว ซึ่งเป็นร่างกฎหมายที่ควบคุม stablecoins ที่เพิ่งผ่านวุฒิสภาไปเมื่อเร็วๆ นี้ เขาเชื่อว่าร่างกฎหมายนี้จะทำให้ U.S. เป็นผู้นำในด้าน digital assets และทำตามสัญญาสำหรับการออกกฎระเบียบที่เป็นมิตรกับ crypto ข่าวดังกล่าวเกิดขึ้นพร้อมกับการพุ่งขึ้นอย่างมีนัยสำคัญของราคาหุ้นของ Circle ซึ่งเป็นผู้ดำเนินการ stablecoin รายใหญ่
news,2025-06-18,20:22,"Apple interested in using AI to design custom chips- Reuters, citing exec By Investing.com",https://www.investing.com/news/stock-market-news/apple-interested-in-using-ai-to-design-custom-chips-reuters-citing-exec-4102398,Positive,4,"Apple's Senior VP of Hardware Technologies, Johny Srouji, indicated the company is interested in using generative AI to assist in designing its custom chips. This aligns with Apple's strategy of leveraging advanced technology for chip development, a process critical to its flagship devices.","Johny Srouji, Senior VP of Hardware Technologies ของ Apple, ได้กล่าวว่าบริษัทมีความสนใจที่จะใช้ generative AI เพื่อช่วยในการออกแบบ custom chips ของบริษัท ซึ่งสอดคล้องกับกลยุทธ์ของ Apple ในการใช้ประโยชน์จากเทคโนโลยีขั้นสูงสำหรับการพัฒนาชิป ซึ่งเป็นกระบวนการที่สำคัญต่ออุปกรณ์เรือธงของบริษัท"
news,2025-06-18,20:07,Meta in talks to buy out AI venture fund for over $1 bln- The Information By Investing.com,https://www.investing.com/news/stock-market-news/meta-in-talks-to-buy-out-ai-venture-fund-for-over-1-bln-the-information-4102391,Positive,5,"Meta Platforms is reportedly in advanced talks to acquire an artificial intelligence venture fund run by Nat Friedman and Daniel Gross for over $1 billion, which would also involve hiring the two investors. This potential deal is part of Meta's broader strategy to aggressively bolster its AI staff and capabilities in the competitive AI industry.",มีรายงานว่า Meta Platforms กำลังอยู่ในขั้นตอนการเจรจาขั้นสูงเพื่อเข้าซื้อกองทุนร่วมลงทุนด้านปัญญาประดิษฐ์ที่บริหารโดย Nat Friedman และ Daniel Gross ในราคามากกว่า 1 พันล้านดอลลาร์ ซึ่งจะเกี่ยวข้องกับการว่าจ้างนักลงทุนทั้งสองคนด้วย ข้อตกลงที่อาจเกิดขึ้นนี้เป็นส่วนหนึ่งของกลยุทธ์ที่กว้างขึ้นของ Meta ในการเสริมสร้างบุคลากรและขีดความสามารถด้าน AI อย่างจริงจังในอุตสาหกรรม AI ที่มีการแข่งขันสูง
news,2025-06-18,17:58,Amazon orders workers to relocate to Seattle and other hubs,https://www.investing.com/news/stock-market-news/amazon-orders-workers-to-relocate-to-seattle-and-other-hubs--bloomberg-93CH-4102269,Negative,3,"Amazon is requiring some corporate employees to relocate to specific hubs like Seattle and Arlington, causing uncertainty and concern among staff already worried about job security and ongoing cost-cutting initiatives. This mandate affects thousands of employees, many of whom are hesitant to move due to personal and family reasons.",Amazon กำลังกำหนดให้พนักงานบริษัทบางส่วนย้ายไปประจำที่ฮับเฉพาะ เช่น Seattle และ Arlington ซึ่งก่อให้เกิดความไม่แน่นอนและความกังวลในหมู่พนักงานที่กังวลอยู่แล้วเกี่ยวกับความมั่นคงในงานและ ongoing cost-cutting initiatives ข้อกำหนดนี้ส่งผลกระทบต่อพนักงานหลายพันคน ซึ่งหลายคนลังเลที่จะย้ายเนื่องจากเหตุผลส่วนตัวและครอบครัว
news,2025-06-18,15:11,OpenAI’s Sam Altman signals summer launch for GPT-5 By Investing.com,https://www.investing.com/news/company-news/openais-sam-altman-signals-summer-launch-for-gpt5-4102022,Positive,5,"OpenAI CEO Sam Altman announced GPT-5 is slated for a summer launch, expected to consolidate current model capabilities into a more powerful, unified system. This release is seen as a pivotal step towards agent-like models and AGI, aiming to simplify user experience and enhance competitive positioning.","CEO ของ OpenAI, Sam Altman ประกาศว่า GPT-5 มีกำหนดเปิดตัวในช่วงฤดูร้อน โดยคาดว่าจะรวมความสามารถของโมเดลปัจจุบันเข้าเป็นระบบที่ทรงพลังและเป็นเอกภาพมากขึ้น การเปิดตัวนี้ถูกมองว่าเป็นก้าวสำคัญสู่โมเดลแบบ agent และ AGI โดยมีเป้าหมายเพื่อลดความซับซ้อนของ user experience และเพิ่มความสามารถในการแข่งขันทางการตลาด"
news,2025-06-18,14:41,Microsoft plans to cut thousands of jobs in sales division,https://www.investing.com/news/stock-market-news/microsoft-plans-to-cut-thousands-of-jobs-in-sales-division--bloomberg-4101993,Negative,5,"Microsoft is reportedly planning to cut thousands of jobs, primarily within its sales division, following the end of its fiscal year in early July. These reductions are part of ongoing cost control efforts as the company increases spending on artificial intelligence initiatives.",มีรายงานว่า Microsoft วางแผนที่จะลดจำนวนพนักงานหลายพันตำแหน่ง โดยส่วนใหญ่อยู่ในฝ่ายขายของบริษัทฯ ภายหลังสิ้นสุดปีงบประมาณในช่วงต้นเดือน July การลดจำนวนพนักงานเหล่านี้เป็นส่วนหนึ่งของความพยายามในการควบคุมค่าใช้จ่ายอย่างต่อเนื่อง ในขณะที่บริษัทฯ เพิ่มการใช้จ่ายในโครงการริเริ่มด้าน artificial intelligence
news,2025-06-18,14:04,"Fed keeps rates steady, but sees fewer cuts next year on stagflation concerns By Investing.com",https://www.investing.com/news/economy-news/fed-keeps-rates-steady-but-sees-fewer-cuts-next-year-on-stagflation-concerns-4101963,Negative,5,"The Federal Reserve kept interest rates unchanged but revised its forecasts, now expecting fewer rate cuts in 2026 and 2027, higher inflation, and slower economic growth, citing concerns about stagflation. The Fed's preferred inflation measure is now expected to be higher in the coming years before reaching the target later.","The Federal Reserve คงอัตราดอกเบี้ยไว้เท่าเดิม แต่ได้ปรับแก้ประมาณการ โดยคาดการณ์ว่าจะมีการปรับลดอัตราดอกเบี้ยน้อยลงในปี 2026 และ 2027, อัตราเงินเฟ้อที่สูงขึ้น และการเติบโตทางเศรษฐกิจที่ช้าลง โดยอ้างถึงความกังวลเกี่ยวกับ stagflation มาตรวัดเงินเฟ้อที่ The Fed ต้องการนั้นคาดว่าจะสูงขึ้นในอีกไม่กี่ปีข้างหน้า ก่อนที่จะไปถึงเป้าหมายในภายหลัง"
news,2025-06-18,12:06,"Circle Internet, Coinbase jump as Senate clears stablecoin bill By Investing.com",https://www.investing.com/news/stock-market-news/circle-internetcoinbase-jump-as-senate-clears-stablecoin-bill-4101800,Positive,5,"The U.S. Senate approved a stablecoin bill, signaling progress toward regulatory clarity for the crypto sector. This news led to significant stock price increases for Circle Internet, the issuer of the USDC stablecoin, and Coinbase.",วุฒิสภาของ U.S. อนุมัติร่างกฎหมาย stablecoin ซึ่งส่งสัญญาณถึงความคืบหน้าไปสู่ความชัดเจนด้านกฎระเบียบสำหรับภาค crypto ข่าวนี้นำไปสู่การเพิ่มขึ้นของราคาหุ้นอย่างมีนัยสำคัญสำหรับ Circle Internet ผู้ออก stablecoin USDC และ Coinbase
news,2025-06-18,10:41,Wolfspeed nears bankruptcy deal with Apollo and other lenders,https://www.investing.com/news/stock-market-news/wolfspeed-nears-bankruptcy-deal-with-apollo-and-other-lenders--bloomberg-93CH-4101604,Negative,5,"Wolfspeed is reportedly nearing a prepackaged bankruptcy deal with lenders, including Apollo, to significantly reduce its debt burden and transfer control. This process aims for a quick Chapter 11 filing after securing creditor approval, allowing the struggling chipmaker to continue operations under new ownership. While shareholders might recover a small percentage, this is a departure from the typical outcome where they lose their entire investment.",มีรายงานว่า Wolfspeed ใกล้บรรลุข้อตกลงล้มละลายสำเร็จรูปกับผู้ให้กู้ ซึ่งรวมถึง Apollo เพื่อลดภาระหนี้สินอย่างมีนัยสำคัญและถ่ายโอนการควบคุม กระบวนการนี้มีเป้าหมายเพื่อยื่น Chapter 11 อย่างรวดเร็วหลังจากได้รับการอนุมัติจากเจ้าหนี้ ทำให้ผู้ผลิตชิปที่กำลังประสบปัญหา สามารถดำเนินงานต่อไปภายใต้เจ้าของใหม่ได้ ในขณะที่ผู้ถือหุ้นอาจได้รับคืนเพียงเล็กน้อย แต่สิ่งนี้แตกต่างไปจากผลลัพธ์ทั่วไปที่พวกเขาเสียเงินลงทุนทั้งหมด
