title,url,publish_date,publish_time,source,ticker,sentiment,importance,summary,translate
Verse8 Officially Launches: AI-Powered Game Platform Opens to Players and Creators,https://www.globenewswire.com/news-release/2025/07/15/3115393/0/en/Verse8-Officially-Launches-AI-Powered-Game-Platform-Opens-to-Players-and-Creators.html,2025-07-15,09:00,GlobeNewswire Inc.,news,Positive,5,"Planetarium Labs has officially launched Verse8, an AI-powered platform enabling users to create and publish games using simple text prompts. The platform is designed for ease of access, requiring no downloads or installations for players or creators.","Planetarium Labs ได้เปิดตัวอย่างเป็นทางการ Verse8, an AI-powered platform ที่ช่วยให้ผู้ใช้สร้างและเผยแพร่เกมได้โดยใช้ simple text prompts. The platform ถูกออกแบบมาเพื่อให้เข้าถึงได้ง่าย ไม่ต้องใช้ downloads หรือ installations สำหรับผู้เล่นหรือผู้สร้าง"
Michelin : Scope Ratings et Moody’s confirment tous deux les notes de crédit solides de Michelin,https://www.globenewswire.com/news-release/2025/07/15/3115394/0/fr/Michelin-Scope-Ratings-et-Moody-s-confirment-tous-deux-les-notes-de-cr%C3%A9dit-solides-de-Michelin.html,2025-07-15,09:00,GlobeNewswire Inc.,news,Positive,4,"Credit rating agencies Scope Ratings and Moody's reaffirmed Michelin's solid credit ratings in July 2025. Both agencies maintained a stable outlook, citing the company's strong financial profile and brand reputation.",Credit rating agencies Scope Ratings และ Moody's ยืนยัน credit ratings ที่แข็งแกร่งของ Michelin อีกครั้งในเดือนกรกฎาคม 2025 ทั้งสองแห่งคง stable outlook ไว้ โดยอ้างถึง financial profile ที่แข็งแกร่งและ brand reputation ของบริษัท
The Glimpse Group Provides Preliminary Unaudited Q4 Fiscal Year ’25 Results: 100% Organic Revenue Growth ($3.5MM) And Positive EBITDA,https://www.globenewswire.com/news-release/2025/07/15/3115392/0/en/The-Glimpse-Group-Provides-Preliminary-Unaudited-Q4-Fiscal-Year-25-Results-100-Organic-Revenue-Growth-3-5MM-And-Positive-EBITDA.html,2025-07-15,09:00,GlobeNewswire Inc.,news,Positive,5,"The Glimpse Group announced preliminary unaudited results for Q4 FY'25, reporting 100% organic revenue growth, reaching $3.5 million. The company also achieved positive EBITDA for the quarter, primarily driven by contracts with the Department of Defense.",The Glimpse Group ประกาศผลประกอบการเบื้องต้นที่ยังไม่ได้ตรวจสอบสำหรับ Q4 FY'25 โดยรายงานว่ามี organic revenue growth 100% แตะระดับ 3.5 ล้านดอลลาร์ บริษัทยังทำได้ positive EBITDA สำหรับไตรมาสนี้ ซึ่งส่วนใหญ่มาจากสัญญาจาก the Department of Defense
Michelin: Scope Ratings and Moody’s both affirm Michelin’s strong credit ratings,https://www.globenewswire.com/news-release/2025/07/15/3115394/0/en/Michelin-Scope-Ratings-and-Moody-s-both-affirm-Michelin-s-strong-credit-ratings.html,2025-07-15,09:00,GlobeNewswire Inc.,news,Positive,3,"Credit rating agencies Scope and Moody's both affirmed Michelin's 'A' credit rating in July 2025. They highlighted the company's solid business profile, attractive margins, and strong brand recognition as key factors for the strong rating.","Credit rating agencies Scope และ Moody's ยืนยันทั้งคู่ Michelin's 'A' credit rating ใน July 2025. พวกเขาเน้นย้ำ solid business profile ของบริษัท, attractive margins, และ strong brand recognition เป็นปัจจัยสำคัญสำหรับ the strong rating."
"ESET Research uncovers variants of AsyncRAT, popular choice of cybercriminals",https://www.globenewswire.com/news-release/2025/07/15/3115389/0/en/ESET-Research-uncovers-variants-of-AsyncRAT-popular-choice-of-cybercriminals.html,2025-07-15,09:00,GlobeNewswire Inc.,news,Neutral,3,"ESET Research analyzed AsyncRAT, a remote access tool frequently used by cybercriminals. Their analysis uncovered new variants and demonstrated how the tool's accessibility allows criminals to easily deploy sophisticated malware.",ESET Research ได้วิเคราะห์ AsyncRAT ซึ่งเป็น remote access tool ที่อาชญากรไซเบอร์ใช้บ่อย การวิเคราะห์ของพวกเขาได้ค้นพบ variants ใหม่ๆ และแสดงให้เห็นว่าความเข้าถึงง่ายของ tool นี้ช่วยให้อาชญากรสามารถ deploy sophisticated malware ได้อย่างง่ายดาย
"Asia-Pacific Advanced Millimeter-Wave Reflectors and Repeaters Market Report 2025-2033, Competitive Analysis of Prominent Players - Dai Nippon Printing, TMY Technology, FRTek, SOLiD, and Mitsubishi",https://www.globenewswire.com/news-release/2025/07/15/3115387/28124/en/Asia-Pacific-Advanced-Millimeter-Wave-Reflectors-and-Repeaters-Market-Report-2025-2033-Competitive-Analysis-of-Prominent-Players-Dai-Nippon-Printing-TMY-Technology-FRTek-SOLiD-and-.html,2025-07-15,08:58,GlobeNewswire Inc.,news,Positive,4,"A new market report projects substantial growth for the Asia-Pacific millimeter-wave reflectors and repeaters market, from $11.6 million in 2024 to $195.3 million by 2033. This growth is expected to be driven by advancements in 5G networks, satellite communications, and defense radar. The report identifies Dai Nippon Printing, TMY Technology, FRTek, SOLiD, and Mitsubishi as prominent players in this expanding market.","รายงานการตลาดฉบับใหม่คาดการณ์การเติบโตอย่างมีนัยสำคัญสำหรับตลาด Asia-Pacific millimeter-wave reflectors and repeaters จาก $11.6 million ใน 2024 เป็น $195.3 million ภายในปี 2033 การเติบโตนี้คาดว่าจะขับเคลื่อนโดยความก้าวหน้าใน 5G networks, satellite communications, และ defense radar รายงานระบุว่า Dai Nippon Printing, TMY Technology, FRTek, SOLiD, และ Mitsubishi เป็นผู้เล่นที่โดดเด่นในตลาดที่กำลังขยายตัวนี้"
Middlefield Canadian Income PCC - Holding ( s )  in Company,https://www.benzinga.com/pressreleases/25/07/g46409444/middlefield-canadian-income-pcc-holding-s-in-company,2025-07-15,08:48,Benzinga,news,Neutral,1,"The news title suggests a report on Middlefield Canadian Income PCC's holdings. However, the body of the article contains only unrelated advertisements and no actual information about the company's holdings or activities.",หัวข้อข่าวบ่งชี้ว่า รายงานเกี่ยวกับ Middlefield Canadian Income PCC's holdings อย่างไรก็ตาม เนื้อหาของบทความ มีเพียงแค่ โฆษณาที่ไม่เกี่ยวข้อง และไม่มีข้อมูลจริงเกี่ยวกับ holdings หรือ กิจกรรมของบริษัท
Bitget Launchpool to List Pump.fun  ( PUMP )  with over 123M in Token Rewards,https://www.benzinga.com/pressreleases/25/07/g46409430/bitget-launchpool-to-list-pump-fun-pump-with-over-123m-in-token-rewards,2025-07-15,08:45,Benzinga,news,Positive,5,"Bitget, a major cryptocurrency exchange, has announced the listing of the pump.fun (PUMP) token on its Launchpool platform. This exclusive campaign will offer participants the opportunity to earn a share of over 123 million PUMP tokens.",Bitget ซึ่งเป็น major cryptocurrency exchange ได้ประกาศ listing pump.fun (PUMP) token บน Launchpool platform ของตน campaign สุด exclusive นี้จะมอบโอกาสให้ผู้เข้าร่วมได้ earn ส่วนแบ่งของ PUMP tokens กว่า 123 million
"Fed Chair Powell's Potential Dismissal Could Trigger A 'Collapse' Of The Currency And The Bond Market, Deutsche Bank Warns - Deutsche Bank  ( NYSE:DB ) ",https://www.benzinga.com/markets/macro-economic-events/25/07/46409385/trumps-ouster-of-fed-chair-powell-could-trigger-collapse-of-currency-and-bond-marke,2025-07-15,08:36,Benzinga,news,Negative,2,"Deutsche Bank has issued a warning through a research note suggesting that the potential dismissal of Federal Reserve Chair Jerome Powell by President Trump could lead to a ""collapse"" in the U.S. currency and bond markets. The bank's global head of FX research authored the note titled ""What if?"".","Deutsche Bank ได้ออกคำเตือนผ่าน research note โดยชี้ว่าการปลด Federal Reserve Chair Jerome Powell โดย President Trump ที่อาจเกิดขึ้น อาจนำไปสู่ ""collapse"" ในตลาดสกุลเงินสหรัฐฯ และ bond markets. The bank's global head of FX research เป็นผู้เขียน note titled ""What if?""."
Form 8.3 - [MARLOWE PLC - 14 07 2025] -  ( CGWL ) ,https://www.benzinga.com/pressreleases/25/07/g46409339/form-8-3-marlowe-plc-14-07-2025-cgwl,2025-07-15,08:31,Benzinga,news,Neutral,4,"The article is a Form 8.3 regulatory filing for Marlowe PLC under the Takeover Code. It is a public disclosure by a person holding 1% or more of relevant securities, detailing their opening positions and dealings.",บทความนี้คือ Form 8.3 regulatory filing สำหรับ Marlowe PLC ภายใต้ Takeover Code เป็น public disclosure โดยบุคคลที่ถือ 1% หรือมากกว่าของ relevant securities ซึ่งให้รายละเอียดเกี่ยวกับ opening positions และ dealings ของพวกเขา
