title,body_text,url,publish_date,publish_time,source,ticker
"The Most Accurate Way to Play Game Boy Games Is Available Again, but There’s a Catch","Palmer Luckey, the man who took a career crafting VR headsets and turned it into a company that sells weapons of war to the U.S. military, also makes a Game Boy-like handheld. The ModRetro Chromatic,… [+4776 chars]",https://gizmodo.com/the-most-accurate-way-to-play-game-boy-games-is-available-again-but-theres-a-catch-2000628013,2025-07-11,14:17,Gizmodo.com,news
"Trump to assess Texas flood damage today. And, DOGE has access to farmers' payments","Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+6451 chars]",https://www.npr.org/2025/07/11/g-s1-77166/up-first-newsletter-texas-floods-trump-doge-usda-brazil-tariffs,2025-07-11,11:09,NPR,news
Quickly! These are the 5 tech deals you need to jump on before Prime Day ends,"Prime Day week is more than halfway done, which means there isn't much time to get in on some hot deals. We've already seen some devices run out of stock, which is great for anyone who bought them, b… [+3745 chars]",https://www.androidcentral.com/phones/quickly-these-are-the-5-tech-deals-you-need-to-jump-on-before-prime-day-ends,2025-07-10,23:13,Android Central,news
"Best Prime Day Beauty Deals 2025: Hair, Skin, and Dental Care","Amazon Prime Day runs from July 8 to 11, and its a feeding frenzy for beauty steals, so Im here to help you spend your money semi-responsibly. Ive combed through countless hot tools, dental devices, … [+7473 chars]",https://www.wired.com/story/prime-day-beauty-deals-july-2025-2/,2025-07-10,19:56,Wired,news
Is this a glitch? The Pixel Watch 3 price keeps dropping during Prime Day,"The Google Pixel Watch 3 was my favorite Android smartwatch I reviewed last year, and the first choice of most of my Android-loving colleagues. Most of them paid the full $350–400 for one, and may fe… [+2305 chars]",https://www.androidcentral.com/wearables/google-pixel-watch/is-this-a-glitch-the-pixel-watch-3-price-keeps-dropping-during-prime-day,2025-07-10,19:13,Android Central,news
16 Best Prime Day Board Game Deals for Kids of All Ages (2025),"With summer vacations still stretching off into the distance, taking advantage of Prime Day board game deals or snagging some discounted toys could be a very smart move. The WIRED Reviews team has a … [+7726 chars]",https://www.wired.com/story/prime-day-toy-deals-july-2025-2/,2025-07-10,18:59,Wired,news
"Galaxy Chromebook Is Cheaper Than AirPods, Samsung Is Clearing Out All Remaining Stock","Samsung is an electronics giant that retails everything from smartphones to laptops and TVs. Prime Day includes nearly the entire Samsung range at discounted prices, and one of those is the Galaxy Ch… [+2131 chars]",https://gizmodo.com/galaxy-chromebook-is-cheaper-than-airpods-samsung-is-clearing-out-all-remaining-stock-2000627377,2025-07-10,14:35,Gizmodo.com,news
Add Custom Backgrounds to Messages in iOS 26,"Apple's iOS 26 finally brings custom conversation backgrounds to the Messages app, letting you personalize your chats with photos, colors, or images generated by Image Playground. Third-party messagi… [+2224 chars]",https://www.macrumors.com/how-to/add-custom-backgrounds-to-messages-ios/,2025-07-10,14:17,MacRumors,news
Anker who? This triple-port Voltme 100W GaN charger costs less than $30 with this deal,"Chargers with a lot of power and ports cost a pretty penny, especially the ones from name brands like Anker. This bombastic Prime Day deal knocks down the price of the fantastic Voltme 100W GaN III C… [+2042 chars]",https://www.androidcentral.com/accessories/power-charging/anker-who-this-triple-port-voltme-100w-gan-charger-costs-less-than-usd30-with-this-deal,2025-07-10,04:54,Android Central,news
Meta Offered Apple AI Executive Over $200 Million to Leave,"Meta offered one of Apple's top artificial intelligence executives over $200 million to lure him away from the company, Bloomberg reports.
Ruoming Pang, who until recently led Apple's foundation mod… [+1780 chars]",https://www.macrumors.com/2025/07/10/meta-offered-apple-ai-executive-over-200-million/,2025-07-10,04:20,MacRumors,news
Apple Remains in Trump's Crosshairs as Trade Advisor Again Criticizes China Reliance,"U.S. trade director Peter Navarro took aim at Apple again today, causing the company's stock to briefly drop. In an interview with Fox Business, Navarro said that Apple thinks that it is ""too big to … [+3165 chars]",https://www.macrumors.com/2025/07/09/apple-trump-china-reliance/,2025-07-09,21:26,MacRumors,news
Nvidia Beats Apple to $4 Trillion Market Value,"Nvidia today became the first public company to hit a $4 trillion market value as shares briefly rose to $164. Stock has dropped back to around $163 per share, so the company is now hovering at the $… [+791 chars]",https://www.macrumors.com/2025/07/09/nvidia-4-trillion-market-value/,2025-07-09,20:06,MacRumors,news
"The Galaxy Z Flip 7 is here, so now's the perfect time to hop on this Galaxy Z Flip 6 deal before everyone else does","Samsung finally launched the Galaxy Z Flip 7, and it looks like a fantastic phone. You know what else is a great phone? The Galaxy Z Flip 6. Last year's flip phone just received a massive $300 Prime … [+2212 chars]",https://www.androidcentral.com/phones/samsung-galaxy/nows-the-perfect-time-to-hop-on-this-galaxy-z-flip-6-deal-before-everyone-else-does,2025-07-09,19:07,Android Central,news
"Taking $1,220 off a Pixel Fold sounds like a Prime Day deal, but it's from somewhere else","When Google launched its first foldable phone just two short years ago, it drew the attention of tons of tech fans who were clamoring to get a book-style foldable with the cameras of a Pixel phone. B… [+2254 chars]",https://www.androidcentral.com/phones/google-pixel/google-pixel-fold-prime-day-deal-2025,2025-07-09,17:23,Android Central,news
Don't forget to stock up on batteries for your Android TV remote while Prime Day deals last,"You must have bought a fair amount of tech, gadgets, and accessories during the ongoing Prime Day shopping festivities. If you've got a smart Android TV, Chromecast, or any sort of dongle that comes … [+1427 chars]",https://www.androidcentral.com/accessories/power-charging/dont-forget-to-stock-up-on-batteries-for-your-android-tv-remote-while-prime-day-deals-last,2025-07-09,17:04,Android Central,news
