date,company,ticker,estimate_eps,estimate_revenue,market_cap,outtime
2025-05-27,PDD Holdings DRC,PDD,19.44,102.98B,169.28B,Before Market
2025-05-28,NVIDIA,NVDA,0.8925,43.12B,3.2T,After Market
2025-05-28,Salesforce Inc,CRM,2.54,9.75B,262.06B,After Market
2025-05-28,Synopsys,SNPS,3.39,1.6B,77.13B,After Market
2025-05-28,Agilent Technologies,A,1.27,1.63B,30.94B,After Market
2025-05-28,HP Inc,HPQ,0.7927,13.07B,26.38B,After Market
2025-05-28,Nordson,NDSN,2.36,672.95M,11.01B,After Market
2025-05-29,Dell Tech,DELL,1.69,23.14B,76.62B,After Market
2025-05-29,Marvell,MRVL,0.612,1.88B,52.43B,After Market
2025-05-29,Zscaler,ZS,0.7564,666.4M,39.32B,After Market
2025-05-29,NetApp,NTAP,1.89,1.72B,19.93B,After Market
2025-05-29,Ulta Beauty,ULTA,5.75,2.79B,18.38B,After Market
2025-05-29,Hormel Foods,HRL,0.3481,2.92B,16.19B,Before Market
2025-05-29,Cooper,COO,0.9282,995.95M,15.76B,After Market
2025-05-29,Best Buy,BBY,1.07,8.75B,14.8B,N/A
2025-05-30,Costco,COST,4.24,63.11B,447.45B,N/A
