currency,date,time,intensity,event
USD,2025/05/22,00:30:00,2,การประมูลพันธบัตรอายุ 20 ปี
BRL,2025/05/22,00:30:00,1,ดัชนีกระแสการแลกเปลี่ยนเงินตราต่างประเทศของบราซิล
AUD,2025/05/22,06:00:00,1,ดัชนี PMI ภาคการผลิต  ( พ.ค.)
AUD,2025/05/22,06:00:00,1,ดัชนี PMI ภาคบริการ  ( พ.ค.)
JPY,2025/05/22,06:50:00,1,ยอดคำสั่งซื้อเครื่องจักรกล (ปีต่อปี)  (มี.ค.)
JPY,2025/05/22,06:50:00,1,ยอดคำสั่งซื้อสินค้าประเภทเครื่องจักร (เดือนต่อเดือน)  (มี.ค.)
JPY,2025/05/22,06:50:00,1,ยอดการซื้อตราสารหนี้ต่างประเทศ
JPY,2025/05/22,06:50:00,1,การลงทุนจากต่างประเทศในหุ้นญี่ปุ่น
SGD,2025/05/22,07:00:00,1,ดัชนีจีดีพีของสิงคโปร์ (ปีต่อปี)  (ไตรมาส 1)
SGD,2025/05/22,07:00:00,1,ดัชนีจีดีพีของสิงคโปร์ (ไตรมาสต่อไตรมาส)  (ไตรมาส 1)
JPY,2025/05/22,07:30:00,1,ดัชนี PMI ภาคการผลิต  ( พ.ค.)
JPY,2025/05/22,07:30:00,2,ดัชนี PMI ภาคบริการ  ( พ.ค.)
JPY,2025/05/22,08:30:00,2,คำกล่าวของโนกุจิ (Noguchi) สมาชิกคณะกรรมกามการของ BoJ
NZD,2025/05/22,09:00:00,2,ประกาศงบประมาณประจำปี
NZD,2025/05/22,09:00:00,1,ดุลงบประมาณ  (ม.ค.)
NZD,2025/05/22,09:00:00,1,พยากรณ์หนี้สุทธิ  (ม.ค.)
NZD,2025/05/22,09:00:00,1,การพยากรณ์ทางเศรษฐกิจ  (ม.ค.)
INR,2025/05/22,12:00:00,1,ดัชนี PMI ภาคการผลิตจากสถาบัน Nikkei  ( พ.ค.)
INR,2025/05/22,12:00:00,1,ดัชนี PMI ภาคการบริการของอินเดียจากสถาบัน Nikkei  ( พ.ค.)
EUR,2025/05/22,12:00:00,1,อัตราการว่างงานของฟินแลนด์  (เม.ย.)
GBP,2025/05/22,13:00:00,1,มูลค่ารวมของการกู้ยืมสาธารณะ  (เม.ย.)
GBP,2025/05/22,13:00:00,1,เงินสดสุทธิที่ต้องให้มีของภาครัฐ  (เม.ย.)
NOK,2025/05/22,13:00:00,1,อัตราการว่างงานของนอร์เวย์  (เม.ย.)
EUR,2025/05/22,13:45:00,1,การสำรวจภาวะธุรกิจของฝรั่งเศส  ( พ.ค.)
GBP,2025/05/22,14:15:00,1,การแถลงของนางบรีเดน แห่งธนาคารกลางอังกฤษ
EUR,2025/05/22,14:15:00,2,ดัชนี PMI ภาคการผลิตของฝรั่งเศส  ( พ.ค.)
EUR,2025/05/22,14:15:00,1,ดัชนีผู้จัดการฝ่ายจัดซื้อของฝรั่งเศส  ( พ.ค.)
EUR,2025/05/22,14:15:00,2,ดัชนี PMI ภาคการบริการของฝรั่งเศส  ( พ.ค.)
EUR,2025/05/22,14:30:00,1,ดัชนี PMI รวมของเยอรมนี  ( พ.ค.)
EUR,2025/05/22,14:30:00,2,ดัชนี PMI ภาคการผลิตของเยอรมนี  ( พ.ค.)
EUR,2025/05/22,14:30:00,2,ดัชนี PMI  ภาคการบริการของเยอรมนี  ( พ.ค.)
EUR,2025/05/22,15:00:00,2,การคาดการณ์ธุรกิจของเยอรมนี  ( พ.ค.)
EUR,2025/05/22,15:00:00,2,การประเมินภาวะเศรษฐกิจปัจจุบันของเยอรมนี  ( พ.ค.)
EUR,2025/05/22,15:00:00,2,ดัชนีบรรยากาศทางธุรกิจของเยอรมนีจากสถาบัน Ifo  ( พ.ค.)
EUR,2025/05/22,15:00:00,2,ดัชนี PMI ภาคการผลิต  ( พ.ค.)
EUR,2025/05/22,15:00:00,2,ดัชนี PMI รวมจาก S&P Global  ( พ.ค.)
EUR,2025/05/22,15:00:00,2,ดัชนี PMI ภาคการบริการ  ( พ.ค.)
GBP,2025/05/22,15:30:00,1,คำกล่าวของนายฮาวเซอร์แห่งธนาคารกลางอังกฤษ
GBP,2025/05/22,15:30:00,2,ดัชนี PMI แบบผสมของเยอรมนี  ( พ.ค.)
GBP,2025/05/22,15:30:00,1,ดัชนี PMI ภาคการผลิต  ( พ.ค.)
GBP,2025/05/22,15:30:00,2,ดัชนี PMI ภาคการบริการ  ( พ.ค.)
HKD,2025/05/22,15:30:00,1,ดัชนีราคาผู้บริโภค (CPI) (เดือนต่อเดือน)  (เม.ย.)
HKD,2025/05/22,15:30:00,1,ดัชนีราคาผู้บริโภคของฮ่องกง (ปีต่อปี)  (เม.ย.)
EUR,2025/05/22,16:00:00,1,การประมูลพันธบัตร OAT ของฝรั่งเศสอายุ 6 ปี
EUR,2025/05/22,16:00:00,1,การประมูลพันธบัตร OAT ของฝรั่งเศสอายุ 7 ปี
EUR,2025/05/22,16:00:00,1,การประมูลพันธบัตร Bonos ของสเปน อายุ 3 ปี
EUR,2025/05/22,16:00:00,1,การประมูลพันธบัตร Obligacion ของสเปน อายุ 7 ปี
GBP,2025/05/22,17:00:00,1,ดัชนียอดคำสั่งซื้อแนวโน้มอุตสาหกรรมจากสถาบัน CBI  ( พ.ค.)
EUR,2025/05/22,17:00:00,1,รายงานประจำเดือนของธนาคารกลางเยอรมนี
GBP,2025/05/22,17:50:00,1,การแถลงของนางบรีเดน แห่งธนาคารกลางอังกฤษ
EUR,2025/05/22,18:30:00,2,ธนาคารกลางยุโรปจะตีพิมพ์รายงานการประชุมนโยบายการเงิน
GBP,2025/05/22,19:00:00,1,BoE MPC Member Dhingra Speaks
BRL,2025/05/22,19:00:00,1,การประชุมสภาการเงินแห่งชาติของธนาคารกลางบราซิล (BCB)
GBP,2025/05/22,19:30:00,2,คำกล่าวของพิล (Pill) สมาชิก MPC ของ BoE
USD,2025/05/22,19:30:00,1,กิจกรรมระดับชาติของธนาคารกลางรัฐชิคาโก  (เม.ย.)
USD,2025/05/22,19:30:00,2,จำนวนคนที่ยื่นขอรับสวัสดิการว่างงานต่อเนื่อง
USD,2025/05/22,19:30:00,3,จำนวนคนที่ยื่นขอรับสวัสดิการว่างงานครั้งแรก
USD,2025/05/22,19:30:00,1,การยื่นขอรับสวัสดิการว่างงาน ระยะเฉลี่ย 4 สัปดาห์
CAD,2025/05/22,19:30:00,1,ดัชนีราคาสินค้าจากโรงงาน (IPPI) (เดือนต่อเดือน)  (เม.ย.)
CAD,2025/05/22,19:30:00,1,ดัชนีราคาสินค้าภาคอุตสาหกรรม (IPPI) (ปีต่อปี)  (เม.ย.)
CAD,2025/05/22,19:30:00,2,ดัชนีราคาวัตถุดิบ (RMPI) (เดือนต่อเดือน)  (เม.ย.)
CAD,2025/05/22,19:30:00,1,ดัชนีราคาวัตถุดิบ (RMPI) (ปีต่อปี)  (เม.ย.)
EUR,2025/05/22,20:00:00,1,ดัชนีบรรยากาศธุรกิจของเบลเยียมจากธนาคารกลางเบลเยียม  ( พ.ค.)
EUR,2025/05/22,20:30:00,2,คำกล่าวของนาเจล (Nagel) ประธานธนาคาร Buba ของเยอรมนี
USD,2025/05/22,20:45:00,3,ดัชนีผู้จัดการฝ่ายจัดซื้อ (PMI) ภาคการผลิต  ( พ.ค.)
USD,2025/05/22,20:45:00,2,ดัชนี PMI รวมจาก S&P Global  ( พ.ค.)
USD,2025/05/22,20:45:00,3,ดัชนีผู้จัดการฝ่ายจัดซื้อ (PMI) ภาคการบริการ  ( พ.ค.)
USD,2025/05/22,21:00:00,3,ยอดขายบ้านมือสอง (Existing Home Sales)  (เม.ย.)
USD,2025/05/22,21:00:00,2,ยอดขายบ้านมือสอง (Existing Home Sales) (เดือนต่อเดือน)  (เม.ย.)
USD,2025/05/22,21:30:00,1,รายงานปริมาณก๊าซสำรอง
USD,2025/05/22,22:00:00,1,ดัชนี KC Fed Composite Index  ( พ.ค.)
USD,2025/05/22,22:00:00,1,ดัชนีการผลิตจากธนาคารกลางรัฐแคนซัส  ( พ.ค.)
EUR,2025/05/22,22:00:00,2,แถลงการณ์ของนายเอลเดอร์สัน (Elderson) แห่ง ECB
USD,2025/05/22,22:30:00,1,การประมูลตั๋วเงินคลังอายุ 4 สัปดาห์
USD,2025/05/22,22:30:00,1,การประมูลตั๋วเงินคลังอายุ 8 สัปดาห์
EUR,2025/05/22,22:35:00,2,คำกล่าวของ เด กินโดส (De Guindos) แห่งธนาคารกลางยุโรป
USD,2025/05/22,23:00:00,2,การประมูลพันธบัตร TIPS อายุ 10 ปี
