publish_date,publish_time,title,body_text,url
2025-07-09,02:30,Bitcoin price today: sticks near $109k as traders await tariff fallout By Investing.com,"Investing.com-- gained slightly on Wednesday, continuing its tepid moves as investors remain sidelined amid new U.S. tariff announcements and looked ahead to the upcoming “crypto week” in mid-July for potential regulatory clarity.

The world’s largest cryptocurrency rose 0.4% to $108,720.20 as of 02:25 ET (06:25 GMT).

The token has traded mostly flat since last week, as traders refrained from making significant moves due to ongoing uncertainty surrounding U.S. trade agreements.

Investors await more Trump tariff action

President Trump said on Tuesday that he would impose a 50% tariff on imported and would soon roll out long-promised duties on semiconductors and pharmaceuticals.

A day earlier, he started sending tariff letters, where he notified 14 countries that sharply higher tariffs would take effect on August 1.

The tariff letters outlined a 25% levy on all goods from Japan and South Korea, while some nations face up to 40% tariffs.

Late Tuesday, Trump wrote on social media, “We will be releasing a minimum of 7 Countries having to do with trade, tomorrow morning, with an additional number of Countries being released in the afternoon.”

He provided no further details, while investors turned cautious in anticipation of a new wave of tariffs.

New tariffs have stoked fears of a global economic slowdown, leading investors to reduce exposure to riskier assets like cryptocurrencies.

Looking ahead, investors are focused on “Crypto Week” starting July 14, when U.S. lawmakers in Washington are expected to push forward at least three major bills aimed at regulating digital assets.

Trump Media files for another crypto ETF

Trump Media & Technology Group Corp (NASDAQ: ) filed with the U.S. Securities and Exchange Commission on Tuesday seeking approval to launch a new ""Crypto Blue Chip ETF"" later this year.

The proposed product would hold a mix of major digital assets, including Bitcoin, Ethereum, Solana, and , allowing mainstream investors to access crypto without owning tokens directly.

Approval would mark a notable expansion of Trump-linked ventures into cryptocurrency investing.

The news comes after Trump Media last month filed for two ETFs.

Crypto price today: most altcoins gain, Polygon jumps 7%

Most altcoins gained on Wednesday, tracking modest gains in the biggest cryptocurrency.

World no.2 crypto rose 2.6% to $2,626.69.

World no. 3 crypto jumped 3.2% to $2.337.

rose 2.4%, and climbed 3.5%, while Polygon surged 7.2%.

Among meme tokens, added 2.4%, while rose 1.6%.",https://www.investing.com/news/cryptocurrency-news/bitcoin-price-today-sticks-near-109k-as-traders-await-tariff-fallout-4127533
2025-07-09,01:34,Gold prices pressured by dollar strength; Copper hits record high on Trump tariff By Investing.com,"Investing.com-- Gold prices fell in Asian trade on Wednesday, seeing limited safe haven demand as uncertainty over U.S. trade tariffs and interest rates pushed traders towards the dollar.

U.S. copper prices were an outlier among major metals, rallying to record highs after President Donald Trump threatened to impose a 50% tariff on imports of the red metal.

London copper futures sank on Tuesday and Wednesday.

Broader metal prices also broadly retreated amid pressure from a stronger dollar, which largely maintained its rebound from recent three-year lows.

fell 0.2% to $3,294.88 an ounce, while for September fell 0.4% to $3,303.20/oz by 00:55 ET (04:55 GMT).

Gold, metal prices pressured by dollar recovery

Gold was close to its weakest level in nine days, as uncertainty over Trump’s trade tariffs did not translate into haven demand for the yellow metal as seen earlier.

Traders were seen pivoting into a heavily discounted dollar, which sustained a rebound from recent three-year lows amid growing bets that the Federal Reserve will not cut interest rates in the near-term, following strong payrolls data from last week.

Uncertainty over Trump’s tariffs also kept traders biased towards the dollar, as the president began issuing letters outlining steep tariffs against several major economies this week.

The Fed has warned that Trump’s tariffs at their intended levels could push up U.S. inflation, lessening the chances of interest rate cuts in the coming months.

Strength in the weighed on broader metal prices, with the precious metals sector being vulnerable to profit-taking after logging strong gains through June.

Platinum and silver prices were nursing some losses this week after racing to multi-year highs in June. fell 1.1% to $1,376.35/oz, while rose slightly to $36.838/oz.

US copper prices hit record highs on Trump tariff threat

U.S. rose 2.6% to $5.6457 a pound on Wednesday, after hitting a record high of $5.8955 a pound on Tuesday.

U.S. prices of the red metal were boosted chiefly by bets on tighter domestic supplies, after Trump threatened to impose a 50% tariff on copper imports. Such a move stands to greatly benefit domestic copper producers, the most prominent being Freeport-McMoran (NYSE: ).

Trump said the move was aimed at shoring up domestic copper production and reducing the U.S.’ reliance on imports of the red metal. Copper has come increasingly into focus over its role in electricity transmission and electric vehicles, both of which are crucial to the green energy transition.

Copper prices outside the U.S., however, slid on concerns over weaker U.S. import demand. Benchmark on the London Metal Exchange fell 1.6% to a near three-week low of $9,644.45 a ton.

Concerns over softer demand in top importer China also weighed, following a mixed inflation print from the country.",https://www.investing.com/news/commodities-news/gold-prices-pressured-by-dollar-strength-copper-hits-record-high-on-trump-tariff-4127491
2025-07-09,00:42,Apple to bid for Formula 1 rights in US amid success of Brad Pitt film- FT By Investing.com,"Investing.com-- Apple Inc (NASDAQ: ) is in talks to acquire the U.S. rights to broadcast Formula 1 after the success of its movie based on the race car series, the Financial Times reported on Wednesday.

The iPhone maker plans to challenge Disney-ESPN’s current role as the F1 broadcaster in America when the contract becomes available for bidding next year, the FT report said, citing two people familiar with the discussions.

The move comes following the box office success of Apple-produced F1 starring Brad Pitt, the company’s first major theatrical hit since it began producing original content for its Apple TV+ streaming service.

F1 generated just over $300 million at the box office, against a reported budget of between $200 million and $300 million.

Apple’s interest in F1 also comes as the company seeks to gain a greater foothold in the live sports streaming market. The iPhone maker had in 2022 struck a deal with Major League Baseball to broadcast Friday night games, as well as a deal with North America’s Major League Soccer.

F1 is yet to decide on its future broadcasting plans, and ESPN may still retain the rights, the FT report said. ESPN held an exclusive period to negotiate a deal with the car racing series, although that window closed without a deal last year.",https://www.investing.com/news/stock-market-news/apple-to-bid-for-formula-1-rights-in-us-amid-success-of-brad-pitt-film-ft-4127454
2025-07-08,23:34,"Super Micro to ramp up Europe manufacturing amid AI demand, CEO Liang tells CNBC By Investing.com","Investing.com-- Super Micro Computer Inc (NASDAQ: ) plans to increase its investment in Europe and ramp up its manufacturing of artificial intelligence servers in the region, CEO Charles Liang told CNBC in an interview aired on Wednesday.

Liang flagged fast-growing demand in Europe for more AI infrastructure, of which the company’s servers are a key component. Super Micro sells servers packed with Nvidia (NASDAQ: ) chips, which are used to provide computing power for generative AI models.

“Because the demand in Europe is growing very fast, so I already decided, indeed, [there’s] already a plan to invest more in Europe, including manufacturing,” Liang told CNBC.

“The demand is global, and the demand will continue to improve in (the) next many years.”

Super Micro currently has manufacturing facilities in the Netherlands, but could build new units elsewhere in Europe.

Super Micro rode a wave of increasing AI demand over the past two years, amid rapidly growing adoption of gen AI technology. Server infrastructure plays a key role in running AI models.

But the company’s shares hit a snag in 2024 on concerns over its accounting and financial statements, especially after it delayed filing its 2024 financial report.

These fears, however, were assuaged after Super Micro filed its 2024 financial report in February this year.

Super Micro shares are trading up about 63% so far in 2025, but are down roughly 60% from an early-2024 record high.",https://www.investing.com/news/stock-market-news/super-micro-to-ramp-up-europe-manufacturing-amid-ai-demand-ceo-liang-tells-cnbc-4127426
2025-07-08,22:47,"Asia stocks dither amid Trump tariff fears, mixed China inflation By Investing.com","Investing.com-- Most Asian stocks moved in a flat-to-low range on Wednesday as investors remained uncertain over the full scope of U.S. President Donald Trump’s trade tariffs, while mixed inflation data from China also weighed.

Asian markets took a weak lead-in from Wall Street, which logged a muted overnight session as Trump threatened more trade tariffs, this time on and pharmaceutical imports. Trump’s threat came after he began issuing letters to major economies outlining U.S. tariffs on their imports.

were flat in Asian trade.

Regional markets were also caught off guard by the Reserve Bank of Australia not cutting rates as expected on Tuesday, with Australian stocks extending their losses.

China shares muted, HK dips after middling inflation data

China’s and indexes rose about 0.2% apiece, while Hong Kong’s index sank about 0.9%.

Government data released on Wednesday showed Chinese inflation improved marginally in June, beating expectations but still remaining relatively subdued.

While consumer inflation did take some support from government subsidies and e-commerce shopping events in June, Capital Economics analysts expect this boost to fade out in the coming months.

inflation shrank more than expected and marked a 33rd consecutive month of contraction. The print was also at its lowest level since July 2023.

Wednesday’s inflation data showed China’s deflationary trend still remained largely in play, despite efforts by Beijing to shore up local spending. Local producers are also grappling with sluggish overseas demand, amid relatively high U.S. tariffs on the country.

China on Tuesday warned that U.S. against reigniting a trade war between the two countries, especially as Trump harshened his tariff rhetoric this week.

Asia stocks rangebound as Trump tariff jitters persist

Broader Asian markets moved in a tight range on Wednesday, as traders sought more clarity on Trump’s tariff plans. The president on Monday released letters outlining steep tariffs against several Asian economies, although he also postponed the effective date of his tariffs to August 1 from July 9.

This spurred some hopes that trade deals with Washington could be reached, although the outlook still remained unclear.

South Korea’s rose 0.2% and Japan’s rose 0.3% on Wednesday, while the traded flat.

Australia’s fell 0.3% as Trump’s copper tariff threat pressured local mining stocks. Australian shares were also rattled by the RBA unexpectedly on Tuesday, against broad market expectations for a 25 basis point cut.

Singapore’s index rose 0.2%, while for India’s index pointed to a flat open. India was not named in Trump’s first batch of tariff letters, spurring some hopes that a Washington-New Delhi trade deal was near.",https://www.investing.com/news/stock-market-news/asia-stocks-dither-amid-trump-tariff-fears-mixed-china-inflation-4127419
2025-07-08,17:43,China’s ambitious AI push faces supply roadblock in Nvidia chip haul,"Investing.com -- Chinese tech firms have laid out plans to install more than 115,000 Nvidia (NASDAQ: ) AI chips in at least three dozen data centers across remote western provinces, including a massive compound in Xinjiang, according to a Bloomberg News analysis. That level of infrastructure, if established, could be sufficient to support advanced artificial intelligence systems on par with foundational models like DeepSeek.

The proposed expansion marks a striking ambition by Beijing to build up domestic computing power, even as restrictions from Washington threaten to stall such aspirations. Amid President Xi Jinping’s calls for breakthroughs in core technologies, AI R&D has emerged as a focal point for civil and military innovation.

Yet the supply chain for this endeavor remains cloaked in uncertainty. The Nvidia chips in question are subject to stringent U.S. export controls, first imposed in 2022, and cannot be legally sold to China without government-issued licenses, which have not been granted to date.

The filings reviewed by Bloomberg omit details on how Chinese companies intend to acquire the restricted chips lawfully. Moreover, both the companies named and government officials in Beijing have declined to explain their sourcing strategies, raising questions about feasibility and compliance.

To assess the plausibility of such a large-scale acquisition, Bloomberg interviewed more than a dozen individuals familiar with U.S. investigations into unauthorized chip exports, as well as sources with insight into the Chinese black market. None had prior knowledge of the plan to concentrate so many high-end chips in a facility in Xinjiang.

All sources confirmed the likely presence of some banned Nvidia semiconductors in China, but uniformly expressed skepticism about the country’s ability to coordinate a covert network capable of delivering such high volumes undetected. The consensus, they said, was that any current underground trade couldn’t sustain an operation of this scale.

Estimates among U.S. investigators and officials vary widely, underscoring the lack of reliable data on exports and ending-use monitoring. While some contacts cited tens of thousands of chips potentially in circulation, with Bloomberg reporting, “Two senior Biden administration officials said they believe there are around 25,000 banned Nvidia chips in China — a number that, one of them added, would not be terribly concerning.”

Even at that level, officials noted that such a volume of high-end chips would be sufficient to operate only a mid-sized data center, far short of the scale outlined in Chinese planning documents. Without a clear pipeline to legally acquire chips at scale, China’s AI goals may remain constrained by the limits of global semiconductor governance.",https://www.investing.com/news/stock-market-news/chinas-ambitious-ai-push-faces-supply-roadblock-in-nvidia-chip-haul--bloomberg-4127359
2025-07-08,16:37,Apple names Sabih Khan as chief operating officer By Investing.com,"Apple Inc. (NASDAQ: ) announced that Sabih Khan will become chief operating officer later this month, succeeding Jeff Williams in a planned leadership transition.

Khan, who has been with Apple for 30 years and currently serves as senior vice president of Operations, will take over the COO role from Williams, who will continue reporting to CEO Tim Cook while overseeing the design team and Apple Watch alongside health initiatives until his retirement later this year.

The design team will report directly to Cook after Williams retires, according to the company’s press release.

""Sabih is a brilliant strategist who has been one of the central architects of Apple’s supply chain,"" said Cook. ""While overseeing Apple’s supply chain, he has helped pioneer new technologies in advanced manufacturing, overseen the expansion of Apple’s manufacturing footprint in the United States, and helped ensure that Apple can be nimble in response to global challenges.""

Khan joined Apple’s executive team as senior vice president of Operations in 2019 and has managed the company’s global supply chain for six years. His responsibilities include product quality, planning, procurement, manufacturing, logistics, and product fulfillment functions.

Williams, who has been with Apple for 27 years, built the company’s supply chain and led development of the Apple Watch. He also architected Apple’s health strategy and has overseen the design team in recent years.

""I have a deep love for Apple. Working with all of the amazing people at this company has been a privilege of a lifetime,"" Williams said. ""Beginning next year, I plan to spend more time with friends and family, including five grandchildren and counting.""

Before joining Apple in 1995, Khan worked at GE Plastics as an applications development engineer. He holds bachelor’s degrees in economics and mechanical engineering from Tufts University and a master’s degree in mechanical engineering from Rensselaer Polytechnic Institute.",https://www.investing.com/news/assorted/apple-names-sabih-khan-as-chief-operating-officer-432SI-4127275
2025-07-08,16:25,Jeff Bezos sells nearly 3 million Amazon shares By Investing.com,"Risk Disclosure: Trading in financial instruments and/or cryptocurrencies involves high risks including the risk of losing some, or all, of your investment amount, and may not be suitable for all investors. Prices of cryptocurrencies are extremely volatile and may be affected by external factors such as financial, regulatory or political events. Trading on margin increases the financial risks.

Before deciding to trade in financial instrument or cryptocurrencies you should be fully informed of the risks and costs associated with trading the financial markets, carefully consider your investment objectives, level of experience, and risk appetite, and seek professional advice where needed.

Fusion Media would like to remind you that the data contained in this website is not necessarily real-time nor accurate. The data and prices on the website are not necessarily provided by any market or exchange, but may be provided by market makers, and so prices may not be accurate and may differ from the actual price at any given market, meaning prices are indicative and not appropriate for trading purposes. Fusion Media and any provider of the data contained in this website will not accept liability for any loss or damage as a result of your trading, or your reliance on the information contained within this website.

It is prohibited to use, store, reproduce, display, modify, transmit or distribute the data contained in this website without the explicit prior written permission of Fusion Media and/or the data provider. All intellectual property rights are reserved by the providers and/or the exchange providing the data contained in this website.

Fusion Media may be compensated by the advertisers that appear on the website, based on your interaction with the advertisements or advertisers.",https://www.investing.com/news/assorted/jeff-bezos-sells-nearly-3-million-amazon-shares-432SI-4127250
2025-07-08,08:04,"These could be the 5 biggest pain trades in the second half, HSBC says By Investing.com","Investing.com - Many investor views have become widely held in the early days of the second half of 2025, potentially leaving markets vulnerable if these opinions reverse, according to analysts at HSBC.

In a note to clients, the brokerage said a ""broad-based melt-up"" has been continuing in risk assets, referring to a rapid jump in stocks underpinned by investor enthusiasm rather than by wider market fundamentals.

The passage of a sweeping U.S. budget bill last week, White House trade negotiations, relatively lower Treasury yields, and resilient labor demand have all been ""defying doom-and-gloom calls"" and ""record-high"" policy uncertainty, the analysts said.

At the same time, they predicted that tariff-related headlines are unlikely to cause the stock and bond market ructions experienced after the unveiling of President Donald Trump’s punishing ""Liberation Day"" duties in early April.

Against this backdrop, ""a lot of views going into the second half have become quite consensus,"" the HSBC analysts said, adding that some of their indicators have shown increased signs that these positions are now becoming ""stretched,"" possibly exposing these to quick reversals.

This has raised the possibility of several ""pain trades,"" or a market movement that inflicts losses on the majority of investors positioned in a particular direction, arising in the final six months of 2025, the analysts argued.

An outperformance in U.S. equities against the rest of the world -- after questions have swirled around the allure of American assets for months -- would be one of these trades, they said.

U.S. and global growth not decelerating strongly in the face of tariff-fueled uncertainty, as predicted by many economists, may be another, as well as a comeback in the beleaguered U.S. dollar.

Yield curve ""flatteners"" would be yet one more, especially amid the recent popularity of a trade involving bullish bets on short-dated Treasuries and a reduction of longer-dated exposure. These ""steepener"" trades push yields on longer-dated Treasuries higher than short-term maturities.

Finally, an unwinding of the emerging market carry trade -- a tactic that calls for borrowing in low-yielding currencies to invest in higher-yielding EM ones -- was cited as another potential ""pain trade"" candidate.",https://www.investing.com/news/stock-market-news/these-could-be-the-5-biggest-pain-trades-in-the-second-half-hsbc-says-4126375
2025-07-08,07:24,’It’s dangerous to underestimate Corporate America’: BofA ups S&P 500 target By Investing.com,"Investing.com -- Bank of America raised its year-end target to 6,300 from 5,600, citing the resilience of U.S. corporations despite persistent macroeconomic uncertainty.

In a note Tuesday, the bank’s analysts wrote, “It’s dangerous to underestimate Corporate America,” and admitted, “Mea culpa for ignoring our own advice (above) on Liberation Day.”

The firm also introduced a 12-month target of 6,600, saying a lower equity risk premium (ERP) assumption now offsets the headwinds from elevated sovereign yields.

“The resiliency of large public companies in the face of macro uncertainty leads us to lower our equity risk premium (ERP) assumption,” BofA said.

While acknowledging that “policy uncertainty is near all-time highs and sovereign yields are at multi-decade highs,” BofA believes the outlook is brighter for equities than bonds.

“Price return is only half the story – dividends are likely to contribute more from here,” the analysts wrote. “Aging demographics and sticky inflation create a compelling supply/demand case for inflation-proof income and easily favors stocks over bonds.”

In the near term, BofA noted that momentum could slow, saying the S&P 500’s run “into Q3” lacks an obvious catalyst. “Negative guidance and revisions in April/May have improved to average levels but economic surprises have broken down,” it said.

However, looking further ahead, BofA is more constructive: “Deregulation and a pick-up in business investment could buoy markets ahead of mid-term elections.”

Even with modest long-term price returns projected from today’s elevated multiples, BofA remains bullish. “Corporate transparency has remained intact,” the analysts concluded, adding that since COVID, “corporates either adapted or dropped out of the index.”",https://www.investing.com/news/stock-market-news/its-dangerous-to-underestimate-corporate-america-bofa-ups-sp-500-target-4126179
