publish_date,publish_time,title,url,sentiment,importance,summary,sentiment_score,weighted_score
2025-05-27,10:33,US Consumer bounces back sharply in May By Investing.com,https://www.investing.com/news/economy-news/us-consumer-bounces-back-sharply-in-may-4065501,Positive,4,"Consumer confidence rebounded sharply in May, ending a five-month decline, with improvements in expectations for business conditions, jobs, income, and stock prices. The rebound was broad-based across demographics and fueled by optimism around the U.S.-China trade deal.",1,4
2025-05-27,10:29,Eli Lilly expands pain pipeline with acquisition of SiteOne Therapeutics By Investing.com,https://www.investing.com/news/stock-market-news/eli-lilly-expands-pain-pipeline-with-acquisition-of-siteone-therapeutics-4065495,Positive,4,"Eli Lilly is acquiring SiteOne Therapeutics for up to $1 billion to expand its neuroscience pipeline, focusing on non-opioid pain treatments like the Phase 2-ready drug STC-004. The deal aligns with Lilly's strategy to lead in next-generation pain therapies and diversify beyond its diabetes and oncology portfolio.",1,4
2025-05-27,09:41,"Lynx: Risk priced in, Nvidia could surprise to the upside By Investing.com",https://www.investing.com/news/stock-market-news/lynx-risk-priced-in-nvidia-could-surprise-to-the-upside-4065322,Positive,5,"Lynx Equity raises Nvidia's price target to $160, citing potential upside from muted investor expectations, resolved production issues, and new growth opportunities in Edge AI. The firm highlights mitigated tariff risks and strong future revenue drivers like the Stargight project and AI client funding.",1,5
2025-05-27,09:16,Trump Media & Technology Group Announces $2.5B BTC Treasury Deal By Investing.com,https://www.investing.com/news/cryptocurrency-news/trump-media--technology-group-announces-25b-btc-treasury-deal-432SI-4065162,Positive,5,"Trump Media & Technology Group announced a $2.5 billion private placement offering ($1.5B in common stock and $1.0B in convertible notes) to fund a Bitcoin treasury, positioning it as one of the largest public company BTC holdings. The move aims to expand its financial flexibility, support strategic acquisitions, and align with its ""America First"" economic vision.",1,5
2025-05-27,09:15,SoundHound shares jump as Piper Sandler starts coverage at Overweight By Investing.com,https://www.investing.com/news/stock-market-news/soundhound-shares-jump-as-piper-sandler-starts-coverage-at-overweight-4065185,Positive,4,"Piper Sandler initiated coverage on SoundHound AI with an Overweight rating and a $12 price target, citing its leadership in voice-AI technology and a $30 billion addressable market by 2027. The stock rose 5% premarket, though auto sector challenges remain a near-term risk.",1,4
2025-05-27,08:32,25% tariff not enough to push Apple to reshore iPhone production,https://www.investing.com/news/stock-market-news/25-tariff-not-enough-to-push-apple-to-reshore-iphone-production--morgan-stanley-4064984,Negative,3,"Morgan Stanley analysts argue that a 25% tariff on iPhones imported into the U.S. is insufficient to prompt Apple to reshore production, citing high costs and logistical challenges. The article also highlights potential political risks and financial impacts, including higher consumer prices and strained relations with the current administration.",-1,-3
2025-05-27,08:05,"Next 300 points likely up for the S&P 500, says JPMorgan By Investing.com",https://www.investing.com/news/stock-market-news/next-300-points-likely-up-for-the-sp-500-says-jpmorgan-4064865,Positive,4,"JPMorgan analysts predict a 300-point upside for the S&P 500, citing stable macro data, positive earnings, and trade war de-escalation as key drivers, despite recent market volatility.",1,4
2025-05-27,07:54,JPMorgan shifts to bullish stance on crypto amid sector tailwinds By Investing.com,https://www.investing.com/news/cryptocurrency-news/jpmorgan-shifts-to-bullish-stance-on-crypto-amid-sector-tailwinds-4064834,Positive,4,"JPMorgan has shifted to a bullish stance on digital assets, citing institutional adoption, positive policy developments, and regulatory clarity as key tailwinds. The bank forecasts a 10% return for digital assets, the highest among alternative investments, and upgrades them to Overweight while cutting exposure to other alternatives.",1,4
2025-05-27,07:30,New surveys show declining interest in EVs and the Tesla brand around the world By Investing.com,https://www.investing.com/news/stock-market-news/new-surveys-show-declining-interest-in-evs-and-the-tesla-brand-around-the-world-4064783,Negative,4,"Recent surveys indicate declining consumer interest in Tesla and EVs globally, with Tesla losing market preference in the U.S., China, and Europe due to brand saturation, affordability concerns, and political polarization. Despite potential long-term catalysts like Full Self-Driving (FSD) progress, near-term sentiment and demand challenges dominate the narrative.",-1,-4
2025-05-27,06:47,Temu owner PDD Holdings shares fall sharply on big Q1 results miss By Investing.com,https://www.investing.com/news/stock-market-news/temu-owner-pdd-holdings-shares-tank-after-big-q1-results-miss-4064614,Negative,5,"PDD Holdings (owner of Temu) reported Q1 earnings and revenue that significantly missed analyst expectations, leading to an 18% drop in its stock price. While revenue grew 10% year-over-year, both EPS and transaction services revenue fell short of forecasts, overshadowing a slight beat in online marketing services revenue.",-1,-5
2025-05-27,06:26,Citi sees up to 8% downside for Stoxx 600 on Trump tariff risk By Investing.com,https://www.investing.com/news/stock-market-news/citi-sees-up-to-8-downside-for-stoxx-600-on-trump-tariff-risk-4064531,Negative,4,"Citi analysts warn that European equities, particularly the Stoxx 600, could face a 7-8% decline if Trump's proposed 50% tariffs on EU goods are enacted. Earnings growth estimates for European companies have already dropped due to heightened geopolitical risks, and further deterioration is likely if tariffs escalate. The uncertainty is dampening market sentiment and could lead to more significant equity declines.",-1,-4
2025-05-27,04:55,What could be the impact of a 50% tariff on EU economy? By Investing.com,https://www.investing.com/news/economy-news/what-could-be-the-impact-of-a-50tariff-on-eu-economy-4064349,Negative,4,"The article discusses the potential economic impact of a 50% U.S. tariff on EU imports, which could significantly slow eurozone growth, trigger a technical recession, and escalate trade tensions. UBS warns of near-term volatility, weaker performance in later quarters, and risks of disinflation turning into inflation if the EU retaliates.",-1,-4
2025-05-27,03:20,"Higher U.S. futures, new Nvidia chip, falling Tesla sales",https://www.investing.com/news/economy-news/higher-us-futures-new-nvidia-chip-falling-tesla-sales--whats-moving-markets-4064122,Neutral,4,"The article covers multiple market-moving events: U.S. stock futures rose due to postponed EU tariffs, Nvidia plans a new AI chip for China, Tesla's European sales dropped sharply, Bitcoin retreated from highs, and oil prices stabilized ahead of an OPEC+ meeting.",0,0
2025-05-27,02:00,  By Investing.com,https://www.investing.com/news/cryptocurrency-news/bitcoin-price-today-rangebound-at-109k-post-record-high-2025-crypto-summit-eyed-4064028,Positive,4,"Bitcoin edged higher near record levels amid regulatory optimism and institutional adoption, while the upcoming Bitcoin 2025 conference is expected to boost market interest. Trump Media & Technology Group announced plans to raise $2.5 billion for a Bitcoin treasury, though its shares fell 7%. Altcoins traded mixed, largely tracking Bitcoin's movements.",1,4
2025-05-27,01:40,"Gold prices sink as Trump EU tariff delay spurs some risk, yields retreat By Investing.com",https://www.investing.com/news/commodities-news/gold-prices-sink-as-trump-eu-tariff-delay-spurs-some-risk-yields-retreat-4064017,Negative,3,"Gold prices declined in Asian trading due to improved risk appetite following Trump's delay of EU tariffs and a retreat in bond yields, though losses were cushioned by dollar weakness. Broader metal prices also fell amid profit-taking and stabilizing Treasury yields.",-1,-3
